OD600,control,control,control,MMC,MMC,MMC,CSP,CSP,CSP,CSP_twice,CSP_twice,CSP_twice
00:00:00,0.083,0.086,0.087,0.088,0.088,0.087,0.089,0.087,0.094,0.098,0.098,0.086
00:30:00,0.086,0.09,0.093,0.095,0.093,0.092,0.094,0.093,0.1,0.104,0.096,0.094
01:00:00,0.09,0.094,0.098,0.093,0.094,0.096,0.09,0.091,0.094,0.099,0.099,0.092
01:30:00,0.1,0.103,0.109,0.107,0.108,0.109,0.089,0.088,0.096,0.097,0.099,0.095
02:00:00,0.135,0.14,0.142,0.12,0.118,0.119,0.095,0.092,0.099,0.104,0.102,0.099
02:30:00,0.183,0.188,0.19,0.124,0.126,0.12,0.105,0.102,0.112,0.115,0.114,0.107
03:00:00,0.248,0.267,0.27,0.125,0.131,0.119,0.125,0.12,0.132,0.132,0.136,0.128
03:30:00,0.355,0.361,0.38,0.122,0.134,0.11,0.158,0.148,0.162,0.151,0.158,0.142
04:00:00,0.463,0.457,0.495,0.124,0.142,0.113,0.201,0.194,0.201,0.191,0.192,0.179
04:30:00,0.484,0.497,0.505,0.13,0.15,0.116,0.259,0.261,0.261,0.235,0.237,0.211
05:00:00,0.498,0.492,0.504,0.139,0.166,0.123,0.344,0.338,0.35,0.306,0.307,0.271
05:30:00,0.506,0.497,0.51,0.154,0.189,0.131,0.442,0.421,0.441,0.386,0.387,0.32
06:00:00,0.517,0.52,0.522,0.174,0.214,0.141,0.456,0.45,0.468,0.439,0.442,0.396
06:30:00,0.539,0.534,0.532,0.194,0.242,0.159,0.457,0.448,0.45,0.433,0.433,0.406
07:00:00,0.539,0.539,0.551,0.22,0.265,0.178,0.48,0.465,0.477,0.451,0.44,0.45
07:30:00,0.55,0.556,0.559,0.223,0.283,0.202,0.487,0.466,0.484,0.467,0.442,0.464
08:00:00,0.548,0.548,0.548,0.245,0.303,0.219,0.502,0.49,0.495,0.474,0.458,0.471
08:30:00,0.555,0.546,0.547,0.275,0.317,0.232,0.509,0.509,0.512,0.497,0.468,0.481
09:00:00,0.548,0.533,0.527,0.295,0.315,0.239,0.521,0.501,0.512,0.5,0.467,0.486
09:30:00,0.554,0.522,0.545,0.305,0.3,0.277,0.51,0.496,0.504,0.497,0.465,0.49
10:00:00,0.549,0.533,0.532,0.3,0.298,0.305,0.503,0.483,0.498,0.489,0.448,0.48
10:30:00,0.541,0.529,0.539,0.294,0.297,0.311,0.508,0.476,0.499,0.489,0.455,0.477
11:00:00,0.521,0.527,0.528,0.297,0.305,0.304,0.508,0.477,0.5,0.484,0.448,0.486
11:30:00,0.535,0.523,0.532,0.3,0.31,0.291,0.509,0.48,0.496,0.488,0.443,0.485
12:00:00,0.537,0.523,0.531,0.3,0.313,0.293,0.501,0.474,0.492,0.479,0.439,0.488
12:30:00,0.528,0.501,0.523,0.302,0.308,0.289,0.499,0.471,0.484,0.481,0.437,0.479
13:00:00,0.511,0.508,0.528,0.306,0.31,0.295,0.496,0.472,0.484,0.485,0.433,0.482
13:30:00,0.519,0.51,0.513,0.304,0.302,0.299,0.496,0.47,0.479,0.471,0.434,0.473
14:00:00,0.509,0.505,0.512,0.308,0.303,0.297,0.492,0.468,0.476,0.467,0.425,0.462
14:30:00,0.499,0.486,0.506,0.301,0.304,0.302,0.493,0.464,0.472,0.469,0.421,0.462
15:00:00,0.496,0.479,0.495,0.307,0.305,0.301,0.482,0.449,0.471,0.463,0.419,0.457
15:30:00,0.489,0.46,0.482,0.307,0.301,0.306,0.479,0.446,0.464,0.465,0.42,0.45
16:00:00,0.479,0.446,0.475,0.303,0.299,0.304,0.471,0.442,0.461,0.466,0.413,0.444
16:30:00,0.467,0.446,0.459,0.307,0.301,0.309,0.47,0.441,0.453,0.45,0.411,0.442
17:00:00,0.455,0.429,0.447,0.31,0.298,0.315,0.459,0.43,0.451,0.454,0.404,0.44
17:30:00,0.438,0.409,0.434,0.308,0.299,0.311,0.454,0.424,0.441,0.447,0.401,0.431
18:00:00,0.431,0.398,0.422,0.309,0.301,0.318,0.446,0.412,0.434,0.437,0.398,0.425
18:30:00,0.41,0.387,0.394,0.317,0.306,0.317,0.436,0.402,0.427,0.428,0.388,0.414
19:00:00,0.397,0.374,0.387,0.312,0.311,0.32,0.418,0.389,0.407,0.42,0.38,0.401
19:30:00,0.384,0.36,0.371,0.317,0.308,0.326,0.408,0.383,0.398,0.414,0.377,0.399
20:00:00,0.372,0.351,0.356,0.32,0.314,0.316,0.399,0.372,0.387,0.405,0.368,0.378
20:30:00,0.357,0.334,0.34,0.313,0.306,0.322,0.386,0.36,0.375,0.391,0.353,0.376
