OD600,control,control,control,MMC,MMC,MMC,CSP,CSP,CSP,CSP_twice,CSP_twice,CSP_twice
00:00:00,0.109,0.119,0.122,0.116,0.112,0.11,0.116,0.11,0.112,0.114,0.111,0.118
00:30:00,0.148,0.157,0.166,0.154,0.149,0.149,0.152,0.143,0.147,0.142,0.135,0.148
01:00:00,0.19,0.224,0.227,0.221,0.21,0.209,0.212,0.202,0.197,0.2,0.195,0.204
01:30:00,0.306,0.329,0.327,0.297,0.285,0.285,0.273,0.266,0.27,0.269,0.262,0.276
02:00:00,0.421,0.449,0.472,0.377,0.369,0.358,0.38,0.364,0.351,0.347,0.331,0.352
02:30:00,0.471,0.516,0.519,0.373,0.364,0.381,0.483,0.448,0.447,0.444,0.426,0.441
03:00:00,0.474,0.527,0.534,0.343,0.323,0.337,0.49,0.47,0.47,0.462,0.449,0.457
03:30:00,0.476,0.541,0.554,0.332,0.312,0.322,0.498,0.476,0.485,0.479,0.456,0.458
04:00:00,0.472,0.55,0.559,0.312,0.298,0.309,0.503,0.485,0.501,0.497,0.462,0.466
04:30:00,0.489,0.566,0.57,0.305,0.289,0.298,0.509,0.494,0.497,0.49,0.466,0.452
05:00:00,0.523,0.567,0.572,0.295,0.279,0.287,0.52,0.507,0.511,0.502,0.497,0.452
05:30:00,0.535,0.57,0.577,0.284,0.271,0.278,0.52,0.506,0.508,0.496,0.489,0.444
06:00:00,0.543,0.572,0.57,0.274,0.263,0.27,0.521,0.507,0.509,0.498,0.489,0.458
06:30:00,0.55,0.576,0.573,0.272,0.258,0.266,0.526,0.511,0.515,0.502,0.489,0.48
07:00:00,0.544,0.577,0.574,0.269,0.255,0.262,0.529,0.517,0.523,0.507,0.498,0.509
07:30:00,0.559,0.572,0.574,0.265,0.25,0.262,0.53,0.519,0.522,0.507,0.498,0.523
08:00:00,0.555,0.565,0.569,0.264,0.249,0.254,0.519,0.508,0.513,0.501,0.487,0.52
08:30:00,0.559,0.559,0.559,0.259,0.245,0.254,0.51,0.503,0.511,0.497,0.489,0.52
09:00:00,0.546,0.545,0.552,0.252,0.239,0.247,0.496,0.494,0.502,0.492,0.482,0.524
09:30:00,0.55,0.541,0.54,0.243,0.231,0.24,0.485,0.485,0.497,0.485,0.472,0.525
10:00:00,0.551,0.533,0.53,0.238,0.226,0.235,0.474,0.474,0.487,0.476,0.47,0.514
10:30:00,0.538,0.518,0.513,0.23,0.218,0.228,0.462,0.464,0.481,0.473,0.463,0.513
11:00:00,0.531,0.502,0.497,0.221,0.212,0.218,0.447,0.449,0.465,0.455,0.454,0.512
11:30:00,0.523,0.497,0.493,0.216,0.207,0.216,0.447,0.45,0.463,0.455,0.446,0.492
12:00:00,0.511,0.487,0.488,0.213,0.202,0.208,0.434,0.436,0.448,0.436,0.431,0.471
12:30:00,0.499,0.469,0.467,0.204,0.194,0.201,0.422,0.425,0.438,0.427,0.42,0.486
13:00:00,0.499,0.46,0.462,0.201,0.191,0.199,0.419,0.42,0.433,0.424,0.419,0.488
13:30:00,0.488,0.447,0.445,0.193,0.186,0.192,0.406,0.404,0.416,0.407,0.404,0.472
14:00:00,0.461,0.439,0.449,0.193,0.184,0.19,0.402,0.398,0.407,0.4,0.398,0.469
14:30:00,0.451,0.426,0.437,0.186,0.178,0.184,0.394,0.389,0.403,0.391,0.393,0.462
15:00:00,0.446,0.414,0.428,0.184,0.174,0.182,0.383,0.378,0.385,0.378,0.378,0.445
15:30:00,0.426,0.403,0.424,0.179,0.173,0.178,0.372,0.366,0.376,0.369,0.372,0.447
16:00:00,0.413,0.389,0.407,0.175,0.168,0.174,0.357,0.352,0.36,0.352,0.356,0.425
16:30:00,0.408,0.381,0.391,0.171,0.165,0.171,0.349,0.34,0.349,0.342,0.349,0.418
17:00:00,0.394,0.37,0.378,0.169,0.163,0.168,0.335,0.326,0.335,0.33,0.339,0.405
17:30:00,0.379,0.355,0.364,0.165,0.159,0.164,0.323,0.312,0.322,0.316,0.322,0.387
18:00:00,0.374,0.346,0.357,0.163,0.155,0.162,0.312,0.301,0.309,0.305,0.315,0.375
18:30:00,0.362,0.336,0.344,0.161,0.157,0.158,0.299,0.29,0.298,0.294,0.306,0.366
19:00:00,0.355,0.321,0.328,0.156,0.152,0.156,0.285,0.277,0.285,0.283,0.297,0.365
19:30:00,0.351,0.313,0.316,0.155,0.15,0.153,0.275,0.267,0.276,0.273,0.283,0.361
20:00:00,0.339,0.304,0.311,0.154,0.147,0.153,0.267,0.256,0.265,0.265,0.277,0.358
20:30:00,0.336,0.292,0.297,0.15,0.146,0.15,0.257,0.25,0.255,0.255,0.27,0.354
