OD600,11930_ivr,11930_ivr,11930_ivr,11930_ivr_dutkanpheS,11930_ivr_dutkanpheS,11930_ivr_dutkanpheS,11930_ivr_dutkanpheS,11930_ivr_dutkanpheS,11930_ivr_dutkanpheS,11930_ivr_modified_csRNA,11930_ivr_modified_csRNA,11930_ivr_modified_csRNA,11930_2kb_normal_seq,11930_2kb_normal_seq,11930_2kb_normal_seq
00:00:00,-0.006,-0.007,-0.006,-0.005,-0.006,-0.006,-0.004,-0.005,-0.004,-0.007,-0.006,-0.004,-0.002,-0.0006,0.0008
00:30:00,-0.002,-0.005,-0.004,-0.003,-0.004,-0.004,-0.003,-0.003,-0.002,-0.004,-0.003,-0.002,-0.002,-0.000266667,0.004
01:00:00,-0.003,-0.006,-0.004,-0.003,-0.004,-0.004,-0.004,-0.003,-0.003,-0.005,-0.004,-0.002,-0.002,-0.001,0.004
01:30:00,-0.003,-0.005,-0.004,-0.003,-0.004,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.001,-0.002,-0.000766667,0.004
02:00:00,-0.002,-0.005,-0.004,-0.002,-0.003,-0.003,-0.003,-0.002,-0.001,-0.004,-0.004,-0.002,-0.002,-0.000566667,0.005
02:30:00,-0.004,-0.006,-0.005,-0.003,-0.004,-0.003,-0.003,-0.003,-0.002,-0.005,-0.005,-0.003,-0.002,-0.000733333,0.003
03:00:00,-0.002,-0.006,-0.004,-0.002,-0.003,-0.002,-0.003,-0.003,-0.002,-0.004,-0.004,-0.002,-0.000233333,-0.000233333,0.003
03:30:00,-0.002,-0.005,-0.004,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,-0.004,-0.003,-0.002,-0.000033333,0.000466667,0.004
04:00:00,-0.003,-0.006,-0.004,-0.002,-0.002,0.000333333,-0.004,-0.002,-0.001,-0.005,-0.004,-0.002,0.000833333,0.003,0.004
04:30:00,-0.001,-0.006,-0.003,-0.000933333,0.001,0.003,-0.000933333,-0.000633333,-0.000233333,-0.003,-0.003,-0.002,0.005,0.006,0.008
05:00:00,-0.000033333,-0.004,-0.002,0.001,0.003,0.007,0.000066667,0.000566667,0.001,-0.003,-0.002,-0.000833333,0.011,0.011,0.015
05:30:00,0.0009,-0.0004,0.005,0.005,0.007,0.011,0.003,0.002,0.003,-0.002,-0.0007,0.0009,0.02,0.023,0.026
06:00:00,0.003,0.008,0.013,0.009,0.011,0.019,0.005,0.005,0.005,0.002,0.003,0.006,0.038,0.045,0.044
06:30:00,0.01,0.018,0.029,0.013,0.018,0.029,0.007,0.01,0.009,0.008,0.011,0.011,0.076,0.09,0.081
07:00:00,0.029,0.045,0.068,0.021,0.028,0.042,0.014,0.018,0.017,0.022,0.024,0.029,0.152,0.176,0.143
07:30:00,0.056,0.081,0.114,0.034,0.041,0.055,0.022,0.026,0.027,0.043,0.043,0.059,0.255,0.305,0.3
08:00:00,0.094,0.136,0.214,0.043,0.056,0.071,0.032,0.039,0.04,0.073,0.079,0.089,0.406,0.404,0.414
08:30:00,0.159,0.223,0.29,0.053,0.075,0.087,0.043,0.044,0.051,0.117,0.13,0.139,0.459,0.476,0.507
09:00:00,0.247,0.305,0.395,0.067,0.091,0.106,0.053,0.057,0.066,0.174,0.21,0.217,0.479,0.478,0.47
09:30:00,0.323,0.366,0.429,0.082,0.12,0.131,0.071,0.073,0.085,0.241,0.301,0.302,0.507,0.505,0.513
10:00:00,0.41,0.429,0.473,0.103,0.142,0.154,0.088,0.093,0.111,0.313,0.394,0.377,0.528,0.539,0.536
10:30:00,0.486,0.467,0.507,0.129,0.168,0.176,0.111,0.115,0.128,0.405,0.42,0.418,0.556,0.542,0.551
11:00:00,0.514,0.489,0.528,0.149,0.194,0.2,0.125,0.136,0.153,0.471,0.442,0.46,0.563,0.577,0.569
11:30:00,0.522,0.507,0.542,0.181,0.226,0.226,0.146,0.154,0.173,0.52,0.468,0.474,0.562,0.581,0.581
12:00:00,0.55,0.533,0.567,0.207,0.254,0.253,0.167,0.168,0.194,0.512,0.48,0.493,0.582,0.582,0.577
12:30:00,0.564,0.545,0.572,0.244,0.272,0.281,0.192,0.19,0.217,0.536,0.489,0.503,0.582,0.592,0.582
13:00:00,0.558,0.531,0.568,0.275,0.309,0.296,0.216,0.209,0.239,0.542,0.505,0.511,0.588,0.595,0.583
13:30:00,0.544,0.523,0.564,0.308,0.332,0.313,0.237,0.226,0.26,0.551,0.514,0.514,0.584,0.588,0.58
14:00:00,0.539,0.521,0.554,0.34,0.355,0.312,0.26,0.245,0.288,0.543,0.512,0.514,0.576,0.579,0.564
14:30:00,0.536,0.507,0.543,0.348,0.343,0.326,0.285,0.281,0.317,0.537,0.513,0.508,0.571,0.575,0.566
15:00:00,0.527,0.506,0.531,0.361,0.348,0.341,0.343,0.336,0.346,0.522,0.507,0.504,0.56,0.564,0.554
15:30:00,0.525,0.5,0.538,0.363,0.354,0.348,0.36,0.36,0.375,0.532,0.498,0.505,0.553,0.559,0.549
16:00:00,0.525,0.496,0.53,0.38,0.362,0.35,0.395,0.392,0.395,0.528,0.5,0.507,0.554,0.558,0.546
16:30:00,0.52,0.496,0.528,0.397,0.37,0.351,0.42,0.409,0.399,0.524,0.501,0.498,0.553,0.556,0.541
17:00:00,0.521,0.496,0.523,0.402,0.374,0.35,0.434,0.405,0.403,0.529,0.489,0.488,0.548,0.546,0.538
17:30:00,0.521,0.489,0.522,0.394,0.364,0.356,0.433,0.415,0.407,0.53,0.493,0.492,0.545,0.548,0.535
18:00:00,0.524,0.483,0.519,0.397,0.372,0.353,0.44,0.425,0.416,0.534,0.491,0.488,0.544,0.54,0.536
18:30:00,0.52,0.485,0.515,0.398,0.374,0.357,0.439,0.435,0.439,0.531,0.495,0.486,0.536,0.539,0.531
19:00:00,0.516,0.482,0.514,0.398,0.368,0.361,0.443,0.438,0.442,0.524,0.492,0.488,0.53,0.541,0.527
19:30:00,0.52,0.481,0.518,0.394,0.375,0.367,0.456,0.444,0.452,0.533,0.487,0.493,0.537,0.538,0.527
20:00:00,0.515,0.469,0.503,0.397,0.363,0.378,0.46,0.455,0.458,0.528,0.484,0.486,0.53,0.531,0.523
20:30:00,0.503,0.47,0.506,0.39,0.367,0.372,0.472,0.466,0.453,0.518,0.477,0.481,0.529,0.526,0.522
