OD600,RMV8_Znregcat_no_GD_Mitomycin,RMV8_Znregcat_no_GD_Mitomycin,RMV8_Znregcat_no_GD_Mitomycin,RMV8_Znregcat_prophage_KO_GD_Mitomycin,RMV8_Znregcat_prophage_KO_GD_Mitomycin,RMV8_Znregcat_prophage_KO_GD_Mitomycin
00:00:00,0.125,0.123,0.123,0.125,0.138,0.129
00:30:00,0.144,0.145,0.141,0.145,0.148,0.148
01:00:00,0.164,0.165,0.164,0.169,0.171,0.17
01:30:00,0.184,0.19,0.186,0.189,0.186,0.196
02:00:00,0.204,0.218,0.199,0.207,0.201,0.227
02:30:00,0.221,0.232,0.204,0.215,0.216,0.244
03:00:00,0.242,0.258,0.216,0.238,0.222,0.272
03:30:00,0.27,0.286,0.236,0.259,0.242,0.299
04:00:00,0.28,0.293,0.258,0.262,0.248,0.289
04:30:00,0.275,0.293,0.256,0.271,0.247,0.289
05:00:00,0.27,0.286,0.246,0.26,0.234,0.283
05:30:00,0.266,0.28,0.241,0.253,0.237,0.279
06:00:00,0.269,0.284,0.244,0.256,0.259,0.287
06:30:00,0.267,0.281,0.238,0.252,0.275,0.3
07:00:00,0.269,0.286,0.24,0.261,0.284,0.313
07:30:00,0.271,0.29,0.244,0.263,0.285,0.323
08:00:00,0.27,0.286,0.245,0.261,0.281,0.328
08:30:00,0.269,0.283,0.24,0.257,0.275,0.327
09:00:00,0.273,0.288,0.243,0.262,0.28,0.337
09:30:00,0.269,0.285,0.241,0.258,0.273,0.33
10:00:00,0.268,0.283,0.238,0.257,0.281,0.333
10:30:00,0.265,0.278,0.237,0.255,0.277,0.326
11:00:00,0.26,0.275,0.236,0.255,0.279,0.337
11:30:00,0.258,0.268,0.23,0.25,0.278,0.334
12:00:00,0.254,0.265,0.228,0.248,0.28,0.33
12:30:00,0.248,0.26,0.226,0.244,0.295,0.328
13:00:00,0.244,0.253,0.218,0.239,0.294,0.32
13:30:00,0.238,0.248,0.216,0.235,0.304,0.305
14:00:00,0.233,0.243,0.213,0.233,0.314,0.301
14:30:00,0.226,0.235,0.207,0.227,0.311,0.29
15:00:00,0.222,0.23,0.203,0.221,0.316,0.283
15:30:00,0.215,0.224,0.198,0.218,0.32,0.277
16:00:00,0.212,0.22,0.193,0.215,0.319,0.265
16:30:00,0.207,0.213,0.191,0.21,0.323,0.262
17:00:00,0.201,0.207,0.187,0.205,0.323,0.255
17:30:00,0.199,0.204,0.181,0.202,0.313,0.251
18:00:00,0.194,0.2,0.179,0.197,0.305,0.248
18:30:00,0.19,0.193,0.177,0.193,0.293,0.243
19:00:00,0.185,0.191,0.172,0.191,0.279,0.234
