OD600,RMV8_Znregcat_no_GD,RMV8_Znregcat_no_GD,RMV8_Znregcat_no_GD,RMV8_Znregcat_prophage_KO_GD,RMV8_Znregcat_prophage_KO_GD,RMV8_Znregcat_prophage_KO_GD
00:00:00,0.12,0.132,0.127,0.123,0.125,0.126
00:30:00,0.141,0.151,0.146,0.141,0.146,0.149
01:00:00,0.163,0.176,0.169,0.162,0.166,0.173
01:30:00,0.194,0.202,0.202,0.192,0.202,0.202
02:00:00,0.242,0.251,0.255,0.245,0.253,0.251
02:30:00,0.303,0.319,0.314,0.305,0.312,0.308
03:00:00,0.354,0.368,0.363,0.352,0.354,0.355
03:30:00,0.357,0.368,0.372,0.362,0.377,0.377
04:00:00,0.364,0.385,0.385,0.37,0.383,0.384
04:30:00,0.363,0.395,0.393,0.371,0.386,0.388
05:00:00,0.378,0.413,0.401,0.375,0.394,0.396
05:30:00,0.399,0.411,0.405,0.379,0.396,0.397
06:00:00,0.421,0.414,0.416,0.382,0.404,0.408
06:30:00,0.434,0.423,0.417,0.384,0.41,0.412
07:00:00,0.438,0.425,0.424,0.388,0.417,0.416
07:30:00,0.439,0.425,0.427,0.388,0.419,0.421
08:00:00,0.44,0.426,0.428,0.388,0.422,0.423
08:30:00,0.443,0.424,0.431,0.387,0.422,0.422
09:00:00,0.432,0.426,0.432,0.388,0.424,0.424
09:30:00,0.438,0.421,0.427,0.383,0.419,0.42
10:00:00,0.437,0.424,0.428,0.381,0.421,0.42
10:30:00,0.437,0.422,0.428,0.378,0.419,0.416
11:00:00,0.441,0.42,0.426,0.373,0.417,0.415
11:30:00,0.447,0.419,0.424,0.371,0.414,0.413
12:00:00,0.453,0.418,0.425,0.368,0.413,0.41
12:30:00,0.447,0.419,0.423,0.364,0.412,0.41
13:00:00,0.441,0.416,0.421,0.361,0.409,0.408
13:30:00,0.444,0.416,0.419,0.356,0.404,0.404
14:00:00,0.438,0.411,0.414,0.351,0.404,0.402
14:30:00,0.45,0.402,0.412,0.348,0.398,0.397
15:00:00,0.439,0.399,0.409,0.343,0.397,0.394
15:30:00,0.448,0.395,0.403,0.338,0.393,0.389
16:00:00,0.445,0.389,0.396,0.336,0.387,0.383
16:30:00,0.434,0.385,0.392,0.329,0.383,0.379
17:00:00,0.444,0.38,0.389,0.323,0.379,0.375
17:30:00,0.442,0.378,0.382,0.319,0.374,0.369
18:00:00,0.427,0.372,0.376,0.314,0.367,0.362
18:30:00,0.431,0.365,0.368,0.306,0.359,0.358
19:00:00,0.431,0.361,0.359,0.3,0.352,0.349
