OD600,RMV8_no_GD,RMV8_no_GD,RMV8_no_GD,RMV8_GD,RMV8_GD,RMV8_GD
00:00:00,0.129,0.138,0.129,0.131,0.126,0.129
00:30:00,0.142,0.152,0.145,0.14,0.143,0.145
01:00:00,0.161,0.169,0.163,0.16,0.159,0.164
01:30:00,0.183,0.193,0.187,0.173,0.182,0.184
02:00:00,0.221,0.23,0.228,0.219,0.22,0.224
02:30:00,0.273,0.289,0.286,0.277,0.277,0.283
03:00:00,0.32,0.342,0.343,0.331,0.345,0.349
03:30:00,0.341,0.351,0.353,0.343,0.34,0.348
04:00:00,0.341,0.346,0.35,0.346,0.355,0.351
04:30:00,0.354,0.358,0.356,0.35,0.35,0.363
05:00:00,0.376,0.372,0.366,0.36,0.363,0.362
05:30:00,0.375,0.38,0.371,0.372,0.367,0.379
06:00:00,0.386,0.381,0.376,0.371,0.373,0.379
06:30:00,0.389,0.385,0.376,0.365,0.367,0.378
07:00:00,0.393,0.38,0.377,0.36,0.369,0.369
07:30:00,0.39,0.382,0.377,0.365,0.369,0.365
08:00:00,0.395,0.376,0.371,0.361,0.37,0.364
08:30:00,0.395,0.378,0.37,0.358,0.36,0.359
09:00:00,0.402,0.376,0.37,0.354,0.353,0.355
09:30:00,0.401,0.372,0.367,0.359,0.356,0.353
10:00:00,0.404,0.378,0.368,0.366,0.354,0.353
10:30:00,0.411,0.385,0.371,0.368,0.353,0.354
11:00:00,0.405,0.392,0.374,0.373,0.36,0.359
11:30:00,0.4,0.382,0.378,0.382,0.368,0.362
12:00:00,0.398,0.396,0.379,0.389,0.374,0.371
12:30:00,0.391,0.401,0.386,0.389,0.376,0.38
13:00:00,0.402,0.4,0.391,0.393,0.385,0.381
13:30:00,0.395,0.409,0.386,0.391,0.383,0.386
14:00:00,0.395,0.411,0.388,0.392,0.384,0.382
14:30:00,0.396,0.409,0.393,0.388,0.386,0.383
15:00:00,0.399,0.4,0.388,0.388,0.385,0.38
15:30:00,0.394,0.4,0.388,0.383,0.39,0.377
16:00:00,0.397,0.399,0.385,0.384,0.382,0.382
16:30:00,0.397,0.397,0.386,0.386,0.383,0.37
17:00:00,0.392,0.396,0.381,0.385,0.381,0.372
17:30:00,0.394,0.392,0.379,0.384,0.376,0.366
18:00:00,0.379,0.394,0.381,0.374,0.376,0.364
18:30:00,0.385,0.385,0.375,0.379,0.37,0.361
19:00:00,0.385,0.375,0.371,0.372,0.364,0.357
