OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.114,0.118,0.12,0.128,0.138,0.137,0.1,0.104,0.103
00:30:00,0.149,0.154,0.151,0.162,0.175,0.164,0.123,0.13,0.125
01:00:00,0.093,0.153,0.158,0.156,0.176,0.203,0.171,0.175,0.133
01:30:00,0.208,0.217,0.22,0.208,0.225,0.222,0.157,0.161,0.161
02:00:00,0.29,0.317,0.313,0.28,0.294,0.284,0.198,0.207,0.196
02:30:00,0.407,0.434,0.438,0.338,0.379,0.357,0.241,0.247,0.242
03:00:00,0.509,0.566,0.579,0.43,0.469,0.444,0.292,0.299,0.294
03:30:00,0.551,0.602,0.604,0.517,0.559,0.539,0.363,0.381,0.369
04:00:00,0.563,0.614,0.627,0.546,0.591,0.576,0.45,0.457,0.453
04:30:00,0.571,0.62,0.652,0.562,0.605,0.601,0.517,0.533,0.535
05:00:00,0.612,0.638,0.665,0.568,0.609,0.613,0.527,0.566,0.538
05:30:00,0.623,0.64,0.66,0.574,0.609,0.606,0.545,0.562,0.543
06:00:00,0.639,0.635,0.664,0.577,0.611,0.615,0.551,0.562,0.546
06:30:00,0.64,0.629,0.659,0.573,0.607,0.613,0.555,0.563,0.549
07:00:00,0.645,0.625,0.651,0.566,0.599,0.607,0.556,0.563,0.546
07:30:00,0.632,0.621,0.648,0.558,0.592,0.601,0.55,0.557,0.54
08:00:00,0.63,0.616,0.643,0.551,0.584,0.591,0.542,0.551,0.532
08:30:00,0.63,0.616,0.642,0.544,0.576,0.584,0.534,0.541,0.522
09:00:00,0.627,0.612,0.641,0.539,0.569,0.577,0.528,0.534,0.515
09:30:00,0.634,0.605,0.637,0.531,0.563,0.57,0.52,0.525,0.509
10:00:00,0.617,0.6,0.636,0.526,0.558,0.564,0.512,0.517,0.501
10:30:00,0.628,0.594,0.629,0.519,0.549,0.56,0.506,0.509,0.497
11:00:00,0.63,0.59,0.628,0.514,0.542,0.551,0.496,0.501,0.491
11:30:00,0.624,0.583,0.623,0.504,0.533,0.544,0.491,0.492,0.485
12:00:00,0.603,0.579,0.618,0.499,0.526,0.539,0.485,0.485,0.476
12:30:00,0.614,0.576,0.617,0.491,0.523,0.529,0.476,0.48,0.47
13:00:00,0.621,0.571,0.61,0.484,0.515,0.523,0.467,0.471,0.46
13:30:00,0.608,0.564,0.605,0.473,0.505,0.515,0.463,0.464,0.455
14:00:00,0.616,0.557,0.601,0.467,0.498,0.509,0.456,0.457,0.447
14:30:00,0.6,0.552,0.593,0.457,0.492,0.5,0.446,0.446,0.438
15:00:00,0.607,0.544,0.586,0.447,0.481,0.492,0.439,0.436,0.432
15:30:00,0.582,0.536,0.578,0.438,0.471,0.482,0.431,0.432,0.424
16:00:00,0.579,0.53,0.571,0.429,0.461,0.47,0.419,0.418,0.414
16:30:00,0.575,0.52,0.562,0.417,0.451,0.461,0.411,0.409,0.406
17:00:00,0.57,0.51,0.556,0.407,0.442,0.45,0.404,0.402,0.396
17:30:00,0.563,0.499,0.546,0.396,0.43,0.438,0.393,0.391,0.383
18:00:00,0.54,0.491,0.535,0.383,0.417,0.427,0.381,0.381,0.376
18:30:00,0.532,0.478,0.523,0.371,0.405,0.414,0.37,0.368,0.365
19:00:00,0.517,0.471,0.511,0.355,0.393,0.4,0.359,0.358,0.353
19:30:00,0.502,0.457,0.5,0.344,0.379,0.386,0.346,0.345,0.341
