OD600,control,control,control,5ng_µl_MMC,5ng_µl_MMC,5ng_µl_MMC,10ng_µl_MMC,10ng_µl_MMC,10ng_µl_MMC
00:00:00,0.015,0.03,0.025,-0.017,0.019,-0.000733,-0.003,-0.03,-0.016
00:30:00,0.207,0.217,0.214,0.148,0.161,0.166,0.105,0.107,0.119
00:41:00,0.269,0.284,0.282,0.166,0.174,0.171,0.097,0.102,0.108
01:11:00,0.379,0.393,0.385,0.164,0.179,0.181,0.09,0.094,0.1
01:41:00,0.508,0.517,0.504,0.173,0.19,0.194,0.084,0.087,0.095
02:11:00,0.603,0.639,0.637,0.192,0.203,0.214,0.08,0.083,0.096
02:41:00,0.616,0.633,0.627,0.217,0.235,0.243,0.081,0.083,0.095
03:11:00,0.646,0.637,0.633,0.277,0.29,0.295,0.081,0.083,0.1
03:41:00,0.648,0.646,0.655,0.344,0.358,0.359,0.088,0.089,0.108
04:11:00,0.665,0.662,0.658,0.426,0.44,0.429,0.1,0.1,0.119
04:41:00,0.676,0.679,0.679,0.421,0.44,0.434,0.118,0.118,0.143
05:11:00,0.678,0.679,0.698,0.422,0.445,0.446,0.148,0.151,0.173
05:41:00,0.668,0.67,0.693,0.474,0.505,0.508,0.198,0.198,0.217
06:11:00,0.658,0.653,0.676,0.522,0.545,0.555,0.267,0.272,0.282
06:41:00,0.644,0.63,0.674,0.544,0.568,0.572,0.354,0.359,0.358
07:11:00,0.628,0.616,0.668,0.545,0.566,0.584,0.367,0.375,0.393
07:41:00,0.604,0.599,0.663,0.542,0.556,0.586,0.438,0.402,0.481
08:11:00,0.578,0.579,0.65,0.54,0.564,0.593,0.491,0.489,0.553
08:41:00,0.559,0.566,0.635,0.545,0.57,0.605,0.513,0.522,0.546
09:11:00,0.534,0.545,0.637,0.545,0.576,0.61,0.541,0.547,0.551
09:41:00,0.514,0.537,0.633,0.542,0.57,0.614,0.543,0.552,0.558
10:11:00,0.496,0.521,0.618,0.537,0.566,0.601,0.556,0.559,0.539
10:41:00,0.483,0.507,0.609,0.535,0.564,0.617,0.546,0.564,0.561
11:11:00,0.471,0.495,0.596,0.53,0.559,0.592,0.562,0.565,0.565
11:41:00,0.459,0.486,0.574,0.526,0.556,0.595,0.55,0.569,0.547
12:11:00,0.442,0.475,0.58,0.521,0.551,0.592,0.563,0.564,0.543
12:41:00,0.431,0.467,0.564,0.519,0.55,0.59,0.568,0.567,0.542
13:11:00,0.417,0.458,0.545,0.519,0.548,0.578,0.561,0.573,0.549
13:41:00,0.402,0.445,0.535,0.517,0.547,0.573,0.56,0.568,0.548
14:11:00,0.388,0.439,0.525,0.516,0.548,0.57,0.545,0.555,0.55
14:41:00,0.375,0.423,0.504,0.51,0.542,0.54,0.54,0.551,0.551
15:11:00,0.365,0.412,0.5,0.512,0.55,0.542,0.541,0.529,0.531
15:41:00,0.351,0.4,0.486,0.502,0.552,0.553,0.526,0.524,0.506
16:11:00,0.339,0.386,0.468,0.492,0.544,0.535,0.513,0.513,0.539
16:41:00,0.327,0.373,0.452,0.49,0.536,0.535,0.495,0.511,0.513
17:11:00,0.314,0.362,0.435,0.479,0.531,0.518,0.485,0.497,0.513
17:41:00,0.303,0.345,0.415,0.476,0.52,0.512,0.483,0.484,0.483
18:11:00,0.292,0.332,0.392,0.474,0.511,0.493,0.47,0.468,0.508
