OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,-0.058,-0.054,-0.057,-0.061,-0.048,-0.049,-0.061,-0.064,-0.057
00:30:00,0.111,0.118,0.135,0.105,0.116,0.117,0.103,0.101,0.104
01:00:00,0.169,0.202,0.201,0.183,0.185,0.181,0.182,0.192,0.125
01:30:00,0.191,0.213,0.229,0.149,0.156,0.158,0.108,0.103,0.112
02:00:00,0.276,0.294,0.306,0.158,0.167,0.171,0.096,0.096,0.103
02:30:00,0.403,0.408,0.416,0.188,0.189,0.195,0.101,0.095,0.103
03:00:00,0.523,0.534,0.542,0.225,0.237,0.239,0.108,0.102,0.111
03:30:00,0.532,0.541,0.552,0.279,0.292,0.299,0.124,0.116,0.12
04:00:00,0.556,0.533,0.545,0.353,0.365,0.366,0.145,0.136,0.146
04:30:00,0.581,0.539,0.532,0.407,0.424,0.428,0.184,0.169,0.185
05:00:00,0.575,0.565,0.547,0.402,0.415,0.421,0.233,0.224,0.234
05:30:00,0.633,0.613,0.589,0.397,0.409,0.414,0.303,0.291,0.3
06:00:00,0.644,0.654,0.633,0.418,0.414,0.429,0.366,0.36,0.369
06:30:00,0.657,0.649,0.631,0.471,0.458,0.484,0.362,0.353,0.366
07:00:00,0.659,0.656,0.634,0.518,0.511,0.526,0.424,0.356,0.378
07:30:00,0.636,0.677,0.64,0.539,0.541,0.554,0.478,0.394,0.431
08:00:00,0.65,0.679,0.651,0.548,0.566,0.567,0.514,0.448,0.48
08:30:00,0.632,0.689,0.656,0.569,0.57,0.582,0.531,0.486,0.501
09:00:00,0.628,0.68,0.661,0.569,0.568,0.582,0.535,0.497,0.522
09:30:00,0.635,0.69,0.649,0.57,0.562,0.579,0.527,0.514,0.537
10:00:00,0.624,0.679,0.649,0.569,0.561,0.579,0.55,0.529,0.536
10:30:00,0.61,0.681,0.647,0.561,0.559,0.574,0.552,0.521,0.547
11:00:00,0.603,0.667,0.644,0.545,0.545,0.568,0.553,0.537,0.545
11:30:00,0.595,0.664,0.646,0.536,0.535,0.559,0.552,0.541,0.551
12:00:00,0.583,0.657,0.644,0.526,0.512,0.542,0.561,0.528,0.551
12:30:00,0.579,0.657,0.635,0.51,0.491,0.527,0.547,0.509,0.552
13:00:00,0.561,0.657,0.643,0.501,0.491,0.52,0.536,0.499,0.528
13:30:00,0.557,0.648,0.638,0.493,0.484,0.517,0.521,0.477,0.514
14:00:00,0.543,0.645,0.641,0.481,0.474,0.504,0.509,0.455,0.494
14:30:00,0.535,0.634,0.632,0.471,0.463,0.491,0.497,0.434,0.484
15:00:00,0.522,0.608,0.63,0.459,0.451,0.479,0.487,0.417,0.463
15:30:00,0.511,0.595,0.623,0.456,0.43,0.466,0.465,0.403,0.442
16:00:00,0.493,0.575,0.613,0.451,0.424,0.455,0.448,0.377,0.427
16:30:00,0.481,0.57,0.598,0.436,0.416,0.449,0.421,0.364,0.42
17:00:00,0.462,0.553,0.586,0.422,0.402,0.437,0.4,0.347,0.398
17:30:00,0.449,0.54,0.564,0.413,0.392,0.429,0.39,0.337,0.404
18:00:00,0.436,0.521,0.548,0.406,0.381,0.42,0.387,0.327,0.381
18:30:00,0.416,0.498,0.535,0.406,0.37,0.414,0.389,0.315,0.363
19:00:00,0.404,0.484,0.514,0.394,0.358,0.402,0.367,0.308,0.352
19:30:00,0.383,0.461,0.497,0.376,0.343,0.384,0.348,0.297,0.346
