mutants,ADbyAB
2743_T0,0.018505215
2743_T0,0.018298347
2743_T0,0.018256865
2743_T20,0.018690662
2743_T20,0.017756845
2743_T20,0.017116862
2743_T60,0.01489651
2743_T60,0.013945225
2743_T60,0.014813404
2743_T120,0.013883647
2743_T120,0.013200933
2743_T120,0.012883937
2743_T20_CSP,0.016226873
2743_T20_CSP,0.015483801
2743_T20_CSP,0.015749774
2743_T60_CSP,0.017361085
2743_T60_CSP,0.016466602
2743_T60_CSP,0.01592414
2743_T120_CSP,0.014993803
2743_T120_CSP,0.014812654
2743_T120_CSP,0.015048868
2743_T20_MMC,0.015028202
2743_T20_MMC,0.018341643
2743_T20_MMC,0.017202723
2743_T60_MMC,0.217850167
2743_T60_MMC,0.221022824
2743_T60_MMC,0.219700284
2743_T120_MMC,0.312787242
2743_T120_MMC,0.313943211
2743_T120_MMC,0.312568611
2743_T0,0.012749492
2743_T0,0.01190585
2743_T0,0.012893589
2743_T20,0.013727645
2743_T20,0.010801682
2743_T20,0.009063755
2743_T60,0.008888433
2743_T60,0.008565587
2743_T60,0.009535721
2743_T120,0.008364647
2743_T120,0.014488482
2743_T120,0.010165668
2743_T20_CSP,0.010184599
2743_T20_CSP,0.009586404
2743_T20_CSP,0.01065683
2743_T60_CSP,0.008829637
2743_T60_CSP,0.007707223
2743_T60_CSP,0.008010985
2743_T120_CSP,0.00875666
2743_T120_CSP,0.008140681
2743_T120_CSP,0.008158044
2743_T20_MMC,0.013054327
2743_T20_MMC,0.011245665
2743_T20_MMC,0.012886932
2743_T60_MMC,0.093680781
2743_T60_MMC,0.091824709
2743_T60_MMC,0.080966691
2743_T120_MMC,0.175948935
2743_T120_MMC,0.190760256
2743_T120_MMC,0.178494299
2743_T0,0.012888391
2743_T0,0.013988208
2743_T0,0.013983012
2743_T20,0.010840842
2743_T20,0.011041495
2743_T20,0.010506379
2743_T60,0.01439349
2743_T60,0.014925542
2743_T60,0.014365979
2743_T120,0.011201339
2743_T120,0.011134179
2743_T120,0.010690136
2743_T20_CSP,0.011991699
2743_T20_CSP,0.012581274
2743_T20_CSP,0.012039255
2743_T60_CSP,0.0124713
2743_T60_CSP,0.011536448
2743_T60_CSP,0.012005902
2743_T120_CSP,0.011842902
2743_T120_CSP,0.011896044
2743_T120_CSP,0.011475907
2743_T20_MMC,0.011485555
2743_T20_MMC,0.011135149
2743_T20_MMC,0.011451313
2743_T60_MMC,0.150552704
2743_T60_MMC,0.143156344
2743_T60_MMC,0.146337096
2743_T120_MMC,0.26179102
2743_T120_MMC,0.272655933
2743_T120_MMC,0.271188543
