OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.132,0.139,0.136,0.136,0.144,0.132,0.133,0.136,0.135,0.131,0.13,0.125,0.127,0.128,0.127,0.129,0.125,0.122,0.126,0.124,0.127,0.123,0.121,0.127
00:30:00,0.169,0.172,0.171,0.168,0.173,0.156,0.157,0.161,0.157,0.162,0.161,0.158,0.17,0.16,0.159,0.168,0.164,0.162,0.167,0.162,0.16,0.159,0.153,0.166
01:00:00,0.222,0.228,0.233,0.222,0.229,0.208,0.21,0.209,0.204,0.22,0.219,0.224,0.214,0.213,0.218,0.231,0.224,0.222,0.209,0.199,0.194,0.215,0.21,0.221
01:30:00,0.3,0.315,0.321,0.303,0.316,0.285,0.271,0.272,0.278,0.305,0.303,0.314,0.287,0.282,0.285,0.292,0.29,0.282,0.235,0.231,0.236,0.295,0.288,0.307
02:00:00,0.39,0.398,0.409,0.382,0.396,0.361,0.339,0.336,0.36,0.385,0.383,0.389,0.377,0.365,0.384,0.368,0.362,0.357,0.278,0.268,0.269,0.379,0.359,0.386
02:30:00,0.42,0.438,0.444,0.435,0.448,0.414,0.41,0.417,0.422,0.422,0.409,0.413,0.439,0.438,0.441,0.399,0.384,0.388,0.324,0.304,0.293,0.419,0.394,0.41
03:00:00,0.426,0.448,0.471,0.446,0.461,0.422,0.451,0.448,0.452,0.447,0.427,0.429,0.429,0.448,0.471,0.411,0.397,0.4,0.36,0.352,0.345,0.434,0.406,0.423
03:30:00,0.438,0.466,0.488,0.442,0.465,0.415,0.474,0.471,0.464,0.456,0.432,0.429,0.436,0.465,0.486,0.406,0.388,0.378,0.372,0.362,0.355,0.44,0.41,0.424
04:00:00,0.447,0.479,0.495,0.436,0.45,0.402,0.481,0.48,0.476,0.482,0.451,0.442,0.437,0.468,0.492,0.385,0.368,0.364,0.369,0.364,0.359,0.468,0.42,0.432
04:30:00,0.466,0.507,0.504,0.424,0.443,0.384,0.512,0.513,0.508,0.507,0.487,0.468,0.45,0.495,0.501,0.383,0.367,0.365,0.391,0.38,0.382,0.487,0.437,0.453
05:00:00,0.504,0.515,0.512,0.406,0.433,0.368,0.525,0.53,0.524,0.522,0.53,0.48,0.474,0.509,0.514,0.375,0.362,0.36,0.402,0.388,0.389,0.5,0.476,0.464
05:30:00,0.518,0.525,0.519,0.39,0.422,0.35,0.534,0.535,0.524,0.524,0.535,0.489,0.505,0.525,0.52,0.374,0.356,0.359,0.407,0.394,0.391,0.506,0.51,0.473
06:00:00,0.514,0.537,0.527,0.378,0.412,0.334,0.551,0.552,0.542,0.539,0.549,0.496,0.509,0.54,0.531,0.37,0.355,0.355,0.421,0.408,0.407,0.527,0.518,0.481
06:30:00,0.526,0.541,0.533,0.362,0.402,0.318,0.563,0.559,0.552,0.544,0.549,0.493,0.514,0.538,0.534,0.367,0.352,0.355,0.428,0.413,0.415,0.531,0.508,0.475
07:00:00,0.505,0.534,0.53,0.348,0.385,0.3,0.553,0.557,0.541,0.532,0.522,0.482,0.509,0.529,0.531,0.361,0.345,0.347,0.429,0.411,0.41,0.52,0.488,0.461
07:30:00,0.528,0.525,0.525,0.329,0.371,0.288,0.561,0.566,0.55,0.534,0.524,0.487,0.512,0.526,0.528,0.358,0.347,0.349,0.438,0.422,0.424,0.521,0.477,0.46
08:00:00,0.543,0.523,0.524,0.312,0.357,0.271,0.572,0.579,0.559,0.532,0.536,0.494,0.502,0.515,0.522,0.348,0.339,0.341,0.439,0.422,0.422,0.515,0.471,0.454
08:30:00,0.554,0.51,0.512,0.293,0.344,0.251,0.554,0.562,0.549,0.524,0.56,0.497,0.518,0.506,0.513,0.342,0.328,0.331,0.427,0.411,0.41,0.511,0.473,0.446
09:00:00,0.55,0.5,0.5,0.274,0.324,0.23,0.535,0.543,0.531,0.515,0.558,0.494,0.516,0.502,0.508,0.331,0.323,0.323,0.428,0.411,0.41,0.511,0.483,0.439
09:30:00,0.552,0.496,0.492,0.253,0.304,0.209,0.532,0.537,0.527,0.511,0.562,0.499,0.534,0.489,0.492,0.317,0.308,0.312,0.418,0.4,0.402,0.504,0.493,0.432
10:00:00,0.545,0.486,0.482,0.232,0.284,0.191,0.507,0.513,0.503,0.502,0.566,0.497,0.533,0.487,0.487,0.306,0.297,0.298,0.41,0.394,0.394,0.5,0.505,0.424
10:30:00,0.547,0.48,0.47,0.213,0.266,0.174,0.491,0.505,0.493,0.503,0.569,0.5,0.527,0.48,0.468,0.292,0.283,0.286,0.398,0.384,0.388,0.495,0.512,0.427
11:00:00,0.549,0.471,0.455,0.195,0.243,0.159,0.473,0.479,0.466,0.484,0.559,0.484,0.527,0.475,0.465,0.281,0.275,0.279,0.392,0.378,0.38,0.49,0.519,0.413
11:30:00,0.546,0.46,0.448,0.18,0.224,0.147,0.45,0.456,0.446,0.477,0.556,0.483,0.525,0.458,0.451,0.271,0.263,0.265,0.387,0.37,0.371,0.486,0.522,0.414
12:00:00,0.552,0.447,0.437,0.165,0.206,0.137,0.429,0.435,0.426,0.47,0.549,0.483,0.519,0.44,0.441,0.258,0.253,0.256,0.38,0.362,0.367,0.484,0.524,0.405
12:30:00,0.549,0.434,0.426,0.154,0.19,0.129,0.402,0.409,0.397,0.46,0.539,0.48,0.509,0.432,0.429,0.248,0.243,0.246,0.371,0.356,0.355,0.474,0.522,0.398
13:00:00,0.547,0.421,0.418,0.145,0.177,0.123,0.379,0.386,0.374,0.453,0.537,0.487,0.499,0.424,0.423,0.242,0.238,0.238,0.368,0.353,0.353,0.475,0.518,0.398
13:30:00,0.54,0.413,0.41,0.135,0.165,0.117,0.357,0.364,0.357,0.447,0.532,0.496,0.486,0.42,0.417,0.235,0.23,0.232,0.363,0.349,0.346,0.469,0.523,0.395
14:00:00,0.545,0.406,0.402,0.129,0.154,0.111,0.339,0.34,0.334,0.44,0.521,0.484,0.496,0.418,0.408,0.225,0.221,0.223,0.355,0.34,0.339,0.462,0.525,0.391
14:30:00,0.537,0.397,0.393,0.122,0.146,0.11,0.321,0.323,0.316,0.436,0.52,0.476,0.506,0.411,0.398,0.223,0.217,0.218,0.35,0.334,0.335,0.454,0.524,0.388
15:00:00,0.529,0.39,0.385,0.119,0.139,0.106,0.302,0.306,0.305,0.431,0.513,0.488,0.496,0.403,0.39,0.212,0.207,0.211,0.342,0.328,0.328,0.45,0.523,0.398
15:30:00,0.536,0.387,0.377,0.116,0.135,0.105,0.281,0.282,0.278,0.418,0.502,0.484,0.491,0.403,0.387,0.212,0.207,0.209,0.337,0.33,0.322,0.445,0.522,0.39
16:00:00,0.535,0.38,0.367,0.112,0.127,0.101,0.262,0.265,0.264,0.407,0.488,0.484,0.49,0.397,0.381,0.206,0.2,0.203,0.322,0.318,0.315,0.43,0.514,0.407
16:30:00,0.524,0.372,0.36,0.111,0.126,0.102,0.255,0.256,0.253,0.401,0.485,0.489,0.487,0.39,0.373,0.202,0.197,0.198,0.323,0.312,0.311,0.427,0.509,0.427
17:00:00,0.525,0.365,0.352,0.109,0.123,0.102,0.243,0.244,0.242,0.392,0.473,0.496,0.479,0.387,0.37,0.197,0.192,0.194,0.316,0.307,0.303,0.413,0.498,0.468
17:30:00,0.518,0.356,0.344,0.107,0.118,0.1,0.233,0.235,0.231,0.381,0.459,0.508,0.469,0.38,0.363,0.192,0.19,0.191,0.312,0.301,0.297,0.405,0.479,0.468
18:00:00,0.514,0.35,0.337,0.106,0.117,0.101,0.223,0.226,0.224,0.37,0.448,0.512,0.481,0.377,0.353,0.19,0.184,0.187,0.302,0.296,0.291,0.39,0.469,0.504
18:30:00,0.501,0.34,0.326,0.107,0.117,0.1,0.221,0.22,0.221,0.362,0.442,0.513,0.469,0.367,0.347,0.184,0.182,0.181,0.297,0.291,0.287,0.379,0.455,0.506
19:00:00,0.487,0.33,0.315,0.106,0.115,0.099,0.212,0.214,0.212,0.345,0.427,0.517,0.475,0.363,0.341,0.181,0.179,0.179,0.287,0.285,0.28,0.36,0.434,0.505
19:30:00,0.467,0.321,0.304,0.104,0.113,0.098,0.207,0.208,0.207,0.332,0.408,0.517,0.485,0.357,0.334,0.178,0.176,0.176,0.282,0.278,0.271,0.345,0.415,0.508
20:00:00,0.448,0.308,0.292,0.104,0.112,0.098,0.202,0.202,0.201,0.319,0.395,0.518,0.474,0.346,0.327,0.173,0.171,0.172,0.273,0.268,0.262,0.329,0.396,0.495
