mutants,ADbyAB
2743_dprA_T0,0.013206169
2743_dprA_T0,0.013470772
2743_dprA_T0,0.013760023
2743_dprA_T20,0.011280963
2743_dprA_T20,0.010685845
2743_dprA_T20,0.011388641
2743_dprA_T20_CSP,0.009483577
2743_dprA_T20_CSP,0.012569613
2743_dprA_T20_CSP,0.011068858
2743_dprA_T20_MMC,0.011553642
2743_dprA_T20_MMC,0.010910809
2743_dprA_T20_MMC,0.011144945
2743_dprA_T60,0.010969596
2743_dprA_T60,0.009168625
2743_dprA_T60,0.010064255
2743_dprA_T60_CSP,0.011758252
2743_dprA_T60_CSP,0.010948461
2743_dprA_T60_CSP,0.009220686
2743_dprA_T60_MMC,0.056962947
2743_dprA_T60_MMC,0.06791818
2743_dprA_T60_MMC,0.054779318
2743_dprA_T120,0.012334385
2743_dprA_T120,0.011893076
2743_dprA_T120,0.010257007
2743_dprA_T120_CSP,0.014457816
2743_dprA_T120_CSP,0.013135487
2743_dprA_T120_CSP,0.010868029
2743_dprA_T120_MMC,0.091498243
2743_dprA_T120_MMC,0.09479533
2743_dprA_T120_MMC,0.089473868
2743_dprA_T0,0.005434461
2743_dprA_T0,0.005795184
2743_dprA_T0,0.00561177
2743_dprA_T20,0.004654867
2743_dprA_T20,0.004307935
2743_dprA_T20,0.004541024
2743_dprA_T20_CSP,0.004589056
2743_dprA_T20_CSP,0.0048554
2743_dprA_T20_CSP,0.004883016
2743_dprA_T20_MMC,0.003213189
2743_dprA_T20_MMC,0.003161213
2743_dprA_T20_MMC,0.00302902
2743_dprA_T60,0.003758548
2743_dprA_T60,0.003708073
2743_dprA_T60,0.003895455
2743_dprA_T60_CSP,0.00384668
2743_dprA_T60_CSP,0.003819472
2743_dprA_T60_CSP,0.003693154
2743_dprA_T60_MMC,0.04231036
2743_dprA_T60_MMC,0.041301156
2743_dprA_T60_MMC,0.042040747
2743_dprA_T120,0.004310858
2743_dprA_T120,0.003440004
2743_dprA_T120,0.003949873
2743_dprA_T120_CSP,0.012952413
2743_dprA_T120_CSP,0.013351737
2743_dprA_T120_CSP,0.012242254
2743_dprA_T120_MMC,0.074821251
2743_dprA_T120_MMC,0.077585734
2743_dprA_T120_MMC,0.079979975
2743_dprA_T0,0.004068787
2743_dprA_T0,0.004195884
2743_dprA_T0,0.004127901
