mutants,gene,fold_change
2743_dprA_T0,rpoA,0.97102771665939
2743_dprA_T0,rpoA,1.01691998104096
2743_dprA_T0,rpoA,1.01270182559439
2743_dprA_T0,comEA,1.06470525551027
2743_dprA_T0,comEA,1.22951067338999
2743_dprA_T0,comEA,0.76390213676512
2743_dprA_T0,recA,0.91974561188325
2743_dprA_T0,recA,1.18854225228791
2743_dprA_T0,recA,0.91478208355046
2743_dprA_T20,rpoA,1.00089412105730
2743_dprA_T20,rpoA,0.97221464482098
2743_dprA_T20,rpoA,1.02765923359811
2743_dprA_T20,comEA,1.33235856304892
2743_dprA_T20,comEA,0.74184958650434
2743_dprA_T20,comEA,0.82279288688468
2743_dprA_T20,recA,0.65976948149642
2743_dprA_T20,recA,0.64629213106874
2743_dprA_T20,recA,0.72405543304343
2743_dprA_T60,rpoA,0.98850896706547
2743_dprA_T60,rpoA,1.02850329601691
2743_dprA_T60,rpoA,0.98358648024581
2743_dprA_T60,comEA,1.30837957524160
2743_dprA_T60,comEA,1.61524542351608
2743_dprA_T60,comEA,1.47450647986039
2743_dprA_T60,recA,1.06857336233856
2743_dprA_T60,recA,1.14235335115953
2743_dprA_T60,recA,0.91091171966535
2743_dprA_T120,rpoA,1.09396036607762
2743_dprA_T120,rpoA,1.00000661038848
2743_dprA_T120,rpoA,0.91410627367914
2743_dprA_T120,comEA,2.16283645077536
2743_dprA_T120,comEA,1.66631587504986
2743_dprA_T120,comEA,2.03523866330909
2743_dprA_T120,recA,2.60011308596891
2743_dprA_T120,recA,2.16145578773255
2743_dprA_T120,recA,3.84791395338478
2743_dprA_T20_CSP,rpoA,0.99298599536602
2743_dprA_T20_CSP,rpoA,0.86048628673096
2743_dprA_T20_CSP,rpoA,1.17034545088254
2743_dprA_T20_CSP,comEA,329.15236890621200
2743_dprA_T20_CSP,comEA,272.09685206785800
2743_dprA_T20_CSP,comEA,271.24203549060700
2743_dprA_T20_CSP,recA,86.51642765413970
2743_dprA_T20_CSP,recA,83.97342706082880
2743_dprA_T20_CSP,recA,92.15920009288390
2743_dprA_T60_CSP,rpoA,0.98302228004712
2743_dprA_T60_CSP,rpoA,1.02942698539716
2743_dprA_T60_CSP,rpoA,0.98819275236926
2743_dprA_T60_CSP,comEA,293.35904540292800
2743_dprA_T60_CSP,comEA,287.83721936724300
2743_dprA_T60_CSP,comEA,238.33464386039100
2743_dprA_T60_CSP,recA,72.60866279460410
2743_dprA_T60_CSP,recA,68.69452717858130
2743_dprA_T60_CSP,recA,67.36622856466240
2743_dprA_T120_CSP,rpoA,0.98196884696221
2743_dprA_T120_CSP,rpoA,0.97755183025684
2743_dprA_T120_CSP,rpoA,1.04174894908574
2743_dprA_T120_CSP,comEA,174.97280046179800
2743_dprA_T120_CSP,comEA,146.97049863835900
2743_dprA_T120_CSP,comEA,128.43785636744100
2743_dprA_T120_CSP,recA,40.05630507460440
2743_dprA_T120_CSP,recA,56.90638866924240
2743_dprA_T120_CSP,recA,56.53556793856160
2743_dprA_T0,rpoA,0.950650333547148
2743_dprA_T0,rpoA,0.970284698338913
2743_dprA_T0,rpoA,1.084128063873290
2743_dprA_T0,comEA,1.051758514381850
2743_dprA_T0,comEA,0.968108968171734
2743_dprA_T0,comEA,0.982110364754198
2743_dprA_T0,recA,0.999931254550063
2743_dprA_T0,recA,1.017675838653200
2743_dprA_T0,recA,0.982697426850923
2743_dprA_T20,rpoA,0.922700293688204
2743_dprA_T20,rpoA,0.991068535028172
2743_dprA_T20,rpoA,1.093542466425820
2743_dprA_T20,comEA,1.879129765600360
2743_dprA_T20,comEA,1.858312818383030
2743_dprA_T20,comEA,1.968577865253020
2743_dprA_T20,recA,2.591105182798550
2743_dprA_T20,recA,2.930640746172060
2743_dprA_T20,recA,2.605312400632420
2743_dprA_T20_CSP,rpoA,0.957823593823546
2743_dprA_T20_CSP,rpoA,0.955596210456506
2743_dprA_T20_CSP,rpoA,1.092548247249540
2743_dprA_T20_CSP,comEA,34.531757020994700
2743_dprA_T20_CSP,comEA,35.849694788450300
