mutants,BCbyrpoA
2743_dprA_T0_zncat,0.325770536
2743_dprA_T0_zncat,0.409746609
2743_dprA_T0_zncat,0.380771387
2743_dprA_T20_zncat,0.245199413
2743_dprA_T20_zncat,0.196793764
2743_dprA_T20_zncat,0.216309022
2743_dprA_T20_CSP_zncat,0.344019149
2743_dprA_T20_CSP_zncat,0.282703631
2743_dprA_T20_CSP_zncat,0.24521794
2743_dprA_T120_zncat,1.116222614
2743_dprA_T120_zncat,1.268921154
2743_dprA_T120_zncat,0.707009287
2743_dprA_T120_CSP_zncat,1.182136342
2743_dprA_T120_CSP_zncat,1.280401998
2743_dprA_T120_CSP_zncat,0.562638387
2743_dprA_T0_zncat,1.407889736
2743_dprA_T0_zncat,1.788844862
2743_dprA_T0_zncat,1.659596252
2743_dprA_T20_zncat,1.870632021
2743_dprA_T20_zncat,1.916769132
2743_dprA_T20_zncat,2.026084257
2743_dprA_T20_CSP_zncat,1.531253303
2743_dprA_T20_CSP_zncat,0.763952126
2743_dprA_T20_CSP_zncat,1.445175324
2743_dprA_T120_zncat,1.62709083
2743_dprA_T120_zncat,1.849989642
2743_dprA_T120_zncat,1.798608405
2743_dprA_T120_CSP_zncat,0.943220138
2743_dprA_T120_CSP_zncat,0.82378773
2743_dprA_T120_CSP_zncat,0.846892594
2743_dprA_T60_zncat,2.402848896
2743_dprA_T60_zncat,2.379796117
2743_dprA_T60_zncat,2.514421686
2743_dprA_T60_CSP_zncat,1.957499812
2743_dprA_T60_CSP_zncat,1.968578642
2743_dprA_T60_CSP_zncat,1.917566135
2743_dprA_T60_zncat,0.672393785
2743_dprA_T60_zncat,0.608440466
2743_dprA_T60_zncat,0.633194536
2743_dprA_T60_CSP_zncat,0.348936115
2743_dprA_T60_CSP_zncat,0.452801328
2743_dprA_T60_CSP_zncat,0.424060705
2743_dprA_T0_zncat,1.065997194
2743_dprA_T0_zncat,1.048331121
2743_dprA_T0_zncat,1.03734939
2743_dprA_T20_zncat,1.103533253
2743_dprA_T20_zncat,0.969702739
2743_dprA_T20_zncat,1.237832986
2743_dprA_T60_zncat,0.213191091
2743_dprA_T60_zncat,0.39643651
2743_dprA_T60_zncat,0.615477516
2743_dprA_T120_zncat,1.115020614
2743_dprA_T120_zncat,1.118111104
2743_dprA_T120_zncat,1.190189284
2743_dprA_T20_CSP_zncat,0.410139235
2743_dprA_T20_CSP_zncat,0.313426299
2743_dprA_T20_CSP_zncat,0.403978358
2743_dprA_T60_CSP_zncat,1.262474041
2743_dprA_T60_CSP_zncat,1.420545686
2743_dprA_T60_CSP_zncat,1.289236648
2743_dprA_T120_CSP_zncat,0.984227724
2743_dprA_T120_CSP_zncat,0.923544579
2743_dprA_T120_CSP_zncat,1.060325027
2743_dprA_T20_MMC_zncat,0.829796871
2743_dprA_T20_MMC_zncat,0.86291144
2743_dprA_T20_MMC_zncat,0.703651673
2743_dprA_T60_MMC_zncat,1.007067319
2743_dprA_T60_MMC_zncat,1.201485075
2743_dprA_T60_MMC_zncat,1.139218289
2743_dprA_T120_MMC_zncat,0.845853765
2743_dprA_T120_MMC_zncat,1.030565657
2743_dprA_T120_MMC_zncat,0.802673018
2743_dprA_T0_zncat,1.951394029
2743_dprA_T0_zncat,1.946364084
2743_dprA_T0_zncat,1.062394683
2743_dprA_T20_MMC_zncat,1.323584532
2743_dprA_T20_MMC_zncat,1.087519178
2743_dprA_T20_MMC_zncat,1.157618189
2743_dprA_T60_MMC_zncat,1.527955183
2743_dprA_T60_MMC_zncat,1.127497374
2743_dprA_T60_MMC_zncat,1.394308587
2743_dprA_T120_MMC_zncat,0.664186613
2743_dprA_T120_MMC_zncat,0.577071747
2743_dprA_T0_zncat,0.328853863
2743_dprA_T0_zncat,0.270951247
2743_dprA_T0_zncat,0.130358339
2743_dprA_T20_MMC_zncat,0.524090358
2743_dprA_T20_MMC_zncat,0.441152897
2743_dprA_T60_MMC_zncat,0.212118942
2743_dprA_T60_MMC_zncat,0.581829995
2743_dprA_T60_MMC_zncat,0.423932085
2743_dprA_T120_MMC_zncat,1.245056514
2743_dprA_T120_MMC_zncat,1.051255444
