OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.1,0.11,0.106,0.111,0.105,0.103,0.132,0.128,0.131,0.106,0.114,0.102,0.101,0.104,0.102,0.1,0.107,0.105,0.106,0.101,0.101,0.104,0.102,0.105
00:30:00,0.112,0.12,0.118,0.118,0.115,0.113,0.142,0.139,0.133,0.116,0.121,0.114,0.113,0.116,0.112,0.115,0.122,0.118,0.117,0.113,0.114,0.117,0.113,0.114
01:00:00,0.138,0.144,0.146,0.144,0.139,0.141,0.162,0.159,0.153,0.146,0.147,0.143,0.134,0.144,0.14,0.142,0.15,0.144,0.136,0.133,0.133,0.146,0.143,0.14
01:30:00,0.188,0.196,0.196,0.188,0.184,0.185,0.199,0.191,0.188,0.188,0.192,0.19,0.176,0.188,0.185,0.173,0.178,0.173,0.171,0.165,0.17,0.191,0.181,0.191
02:00:00,0.266,0.273,0.285,0.252,0.253,0.257,0.255,0.252,0.237,0.273,0.263,0.264,0.241,0.25,0.252,0.206,0.201,0.198,0.226,0.218,0.225,0.264,0.258,0.262
02:30:00,0.369,0.374,0.402,0.341,0.35,0.362,0.338,0.354,0.302,0.388,0.352,0.35,0.323,0.346,0.35,0.238,0.234,0.229,0.32,0.308,0.308,0.362,0.354,0.35
03:00:00,0.425,0.429,0.455,0.434,0.459,0.454,0.451,0.452,0.421,0.454,0.408,0.417,0.418,0.432,0.426,0.259,0.249,0.247,0.42,0.407,0.408,0.411,0.401,0.402
03:30:00,0.45,0.437,0.466,0.448,0.452,0.458,0.472,0.463,0.458,0.473,0.432,0.441,0.427,0.443,0.439,0.272,0.249,0.248,0.438,0.429,0.429,0.43,0.414,0.415
04:00:00,0.47,0.447,0.48,0.452,0.463,0.464,0.471,0.469,0.453,0.47,0.438,0.454,0.44,0.46,0.457,0.291,0.262,0.264,0.461,0.448,0.451,0.449,0.426,0.422
04:30:00,0.485,0.479,0.501,0.464,0.471,0.48,0.492,0.472,0.471,0.503,0.464,0.48,0.464,0.47,0.474,0.288,0.263,0.259,0.468,0.455,0.457,0.47,0.442,0.424
05:00:00,0.517,0.512,0.529,0.501,0.487,0.503,0.506,0.507,0.499,0.531,0.515,0.507,0.48,0.489,0.484,0.287,0.263,0.257,0.475,0.466,0.471,0.494,0.482,0.464
05:30:00,0.536,0.524,0.544,0.521,0.508,0.511,0.532,0.509,0.514,0.543,0.522,0.519,0.494,0.503,0.498,0.292,0.265,0.263,0.493,0.482,0.486,0.509,0.502,0.486
06:00:00,0.545,0.535,0.554,0.536,0.52,0.527,0.545,0.53,0.527,0.557,0.531,0.537,0.506,0.515,0.509,0.29,0.263,0.257,0.5,0.489,0.493,0.526,0.513,0.482
06:30:00,0.549,0.543,0.563,0.539,0.527,0.53,0.556,0.524,0.519,0.558,0.532,0.537,0.522,0.522,0.518,0.296,0.267,0.255,0.506,0.499,0.502,0.524,0.522,0.502
07:00:00,0.546,0.541,0.563,0.543,0.526,0.534,0.536,0.532,0.515,0.568,0.534,0.535,0.526,0.521,0.517,0.298,0.275,0.259,0.515,0.504,0.51,0.526,0.525,0.5
