OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.147,0.159,0.173,0.155,0.154,0.153,0.179,0.164,0.166,0.168,0.171,0.151,0.149,0.151,0.152,0.151,0.153,0.151,0.169,0.162,0.186,0.161,0.163,0.163
00:30:00,0.189,0.186,0.209,0.184,0.17,0.182,0.186,0.175,0.178,0.159,0.17,0.172,0.183,0.178,0.182,0.181,0.164,0.185,0.171,0.169,0.185,0.17,0.163,0.18
01:00:00,0.256,0.259,0.277,0.25,0.231,0.245,0.231,0.221,0.222,0.201,0.221,0.238,0.25,0.245,0.255,0.252,0.232,0.254,0.214,0.224,0.243,0.238,0.216,0.238
01:30:00,0.352,0.352,0.377,0.342,0.316,0.339,0.308,0.31,0.292,0.307,0.319,0.332,0.332,0.331,0.34,0.342,0.298,0.337,0.296,0.319,0.306,0.323,0.307,0.326
02:00:00,0.449,0.459,0.474,0.432,0.412,0.438,0.389,0.401,0.388,0.408,0.405,0.421,0.439,0.429,0.438,0.428,0.386,0.422,0.392,0.407,0.393,0.429,0.386,0.423
02:30:00,0.545,0.54,0.554,0.524,0.497,0.534,0.486,0.5,0.479,0.524,0.501,0.493,0.53,0.51,0.512,0.493,0.433,0.469,0.488,0.512,0.476,0.526,0.486,0.512
03:00:00,0.556,0.574,0.585,0.552,0.524,0.564,0.534,0.54,0.525,0.538,0.524,0.516,0.57,0.553,0.573,0.519,0.462,0.503,0.544,0.575,0.545,0.549,0.515,0.534
03:30:00,0.561,0.573,0.599,0.547,0.527,0.565,0.551,0.55,0.536,0.555,0.555,0.52,0.573,0.553,0.577,0.525,0.48,0.512,0.554,0.593,0.558,0.562,0.537,0.526
04:00:00,0.568,0.58,0.596,0.55,0.527,0.553,0.578,0.577,0.564,0.568,0.552,0.519,0.569,0.55,0.579,0.524,0.469,0.511,0.574,0.587,0.576,0.562,0.537,0.524
04:30:00,0.554,0.596,0.609,0.554,0.518,0.571,0.598,0.597,0.577,0.584,0.552,0.527,0.572,0.554,0.592,0.52,0.471,0.511,0.575,0.595,0.591,0.587,0.553,0.531
05:00:00,0.578,0.599,0.612,0.535,0.503,0.539,0.587,0.585,0.589,0.588,0.565,0.518,0.578,0.563,0.595,0.516,0.472,0.508,0.591,0.607,0.591,0.596,0.553,0.531
05:30:00,0.582,0.616,0.62,0.52,0.487,0.525,0.609,0.597,0.598,0.603,0.566,0.514,0.595,0.578,0.603,0.51,0.468,0.503,0.591,0.6,0.601,0.605,0.555,0.53
06:00:00,0.586,0.613,0.639,0.497,0.467,0.512,0.621,0.615,0.617,0.597,0.571,0.523,0.599,0.584,0.606,0.508,0.465,0.496,0.596,0.615,0.618,0.611,0.559,0.535
06:30:00,0.588,0.627,0.629,0.467,0.443,0.486,0.617,0.618,0.61,0.579,0.592,0.519,0.607,0.591,0.606,0.493,0.457,0.481,0.591,0.604,0.61,0.605,0.578,0.529
