OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.092,0.131,0.131,0.145,0.138,0.149,0.165,0.168,0.173,0.135,0.127,0.11,0.126,0.117,0.129,0.154,0.154,0.169,0.17,0.141,0.141,0.138,0.136,0.119
00:30:00,0.102,0.117,0.112,0.107,0.114,0.115,0.139,0.144,0.144,0.112,0.109,0.111,0.144,0.116,0.111,0.116,0.111,0.11,0.114,0.113,0.112,0.112,0.112,0.114
01:00:00,0.125,0.141,0.137,0.132,0.141,0.142,0.158,0.163,0.163,0.138,0.128,0.143,0.144,0.14,0.134,0.141,0.134,0.135,0.132,0.132,0.13,0.134,0.141,0.14
01:30:00,0.166,0.185,0.186,0.17,0.186,0.186,0.19,0.196,0.188,0.182,0.169,0.185,0.181,0.185,0.183,0.185,0.177,0.177,0.172,0.173,0.167,0.178,0.181,0.182
02:00:00,0.229,0.251,0.252,0.238,0.258,0.254,0.24,0.246,0.239,0.252,0.24,0.247,0.247,0.251,0.252,0.227,0.218,0.215,0.219,0.226,0.22,0.242,0.245,0.24
02:30:00,0.324,0.345,0.349,0.331,0.372,0.356,0.306,0.319,0.313,0.356,0.334,0.345,0.344,0.347,0.35,0.253,0.248,0.25,0.3,0.308,0.294,0.344,0.343,0.334
03:00:00,0.423,0.453,0.452,0.429,0.473,0.465,0.416,0.409,0.398,0.466,0.438,0.448,0.454,0.452,0.46,0.257,0.246,0.247,0.387,0.402,0.379,0.448,0.445,0.432
03:30:00,0.436,0.48,0.467,0.444,0.478,0.468,0.471,0.475,0.462,0.475,0.453,0.461,0.472,0.485,0.466,0.245,0.231,0.236,0.474,0.491,0.463,0.457,0.459,0.443
04:00:00,0.457,0.495,0.504,0.451,0.502,0.479,0.496,0.498,0.483,0.504,0.469,0.483,0.48,0.504,0.49,0.231,0.214,0.223,0.506,0.505,0.487,0.475,0.472,0.461
04:30:00,0.492,0.528,0.529,0.459,0.513,0.487,0.508,0.514,0.503,0.533,0.482,0.495,0.505,0.534,0.515,0.211,0.194,0.203,0.505,0.508,0.493,0.504,0.489,0.467
05:00:00,0.537,0.558,0.557,0.464,0.527,0.497,0.532,0.533,0.518,0.546,0.523,0.521,0.561,0.562,0.535,0.211,0.194,0.204,0.53,0.53,0.511,0.524,0.532,0.486
05:30:00,0.55,0.566,0.567,0.463,0.538,0.505,0.551,0.552,0.536,0.57,0.545,0.548,0.576,0.568,0.55,0.221,0.202,0.217,0.544,0.541,0.526,0.54,0.555,0.511
