OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.16,0.155,0.168,0.158,0.169,0.154,0.162,0.154,0.155,0.164,0.154,0.146,0.165,0.166,0.161,0.161,0.157,0.153,0.151,0.151,0.142,0.147,0.144,0.153
00:30:00,0.181,0.186,0.194,0.18,0.191,0.177,0.181,0.173,0.177,0.189,0.177,0.176,0.195,0.195,0.195,0.203,0.196,0.194,0.191,0.19,0.178,0.178,0.174,0.175
01:00:00,0.228,0.228,0.235,0.214,0.221,0.214,0.223,0.212,0.222,0.24,0.223,0.227,0.227,0.222,0.22,0.244,0.239,0.239,0.216,0.216,0.205,0.227,0.226,0.231
01:30:00,0.269,0.286,0.299,0.273,0.285,0.264,0.288,0.263,0.283,0.318,0.307,0.299,0.251,0.273,0.267,0.294,0.283,0.288,0.245,0.241,0.235,0.285,0.284,0.307
02:00:00,0.34,0.348,0.366,0.323,0.336,0.321,0.349,0.334,0.341,0.384,0.371,0.371,0.314,0.322,0.321,0.344,0.327,0.328,0.275,0.266,0.262,0.344,0.336,0.357
02:30:00,0.387,0.388,0.415,0.374,0.379,0.363,0.392,0.374,0.38,0.433,0.414,0.404,0.363,0.372,0.367,0.379,0.367,0.367,0.309,0.299,0.291,0.372,0.359,0.38
03:00:00,0.398,0.389,0.43,0.401,0.407,0.393,0.418,0.4,0.414,0.448,0.437,0.428,0.386,0.393,0.384,0.38,0.374,0.364,0.343,0.328,0.315,0.382,0.368,0.394
03:30:00,0.41,0.415,0.44,0.394,0.389,0.373,0.426,0.404,0.409,0.458,0.429,0.423,0.389,0.4,0.4,0.395,0.383,0.375,0.347,0.342,0.319,0.387,0.371,0.389
04:00:00,0.43,0.426,0.447,0.363,0.349,0.329,0.421,0.412,0.415,0.469,0.445,0.441,0.404,0.406,0.402,0.408,0.392,0.378,0.352,0.344,0.328,0.394,0.372,0.389
04:30:00,0.456,0.442,0.477,0.343,0.3,0.273,0.444,0.429,0.439,0.497,0.473,0.464,0.407,0.408,0.419,0.41,0.395,0.388,0.362,0.346,0.332,0.41,0.383,0.4
05:00:00,0.473,0.464,0.491,0.319,0.254,0.227,0.462,0.451,0.454,0.513,0.499,0.497,0.417,0.426,0.431,0.418,0.4,0.393,0.379,0.363,0.346,0.438,0.389,0.412
