OD600,2743 ivrtvr_prophageKO_noGD,2743 ivrtvr_prophageKO_noGD,2743 ivrtvr_prophageKO_noGD,2743 ivrtvr_prophageKO_withGD,2743 ivrtvr_prophageKO_withGD,2743 ivrtvr_prophageKO_withGD,2743 ivrtvr_prophageKO_noGD_Mitomycin,2743 ivrtvr_prophageKO_noGD_Mitomycin,2743 ivrtvr_prophageKO_noGD_Mitomycin,2743 ivrtvr_prophageKO_withGD_Mitomycin,2743 ivrtvr_prophageKO_withGD_Mitomycin,2743 ivrtvr_prophageKO_withGD_Mitomycin
00:00:00,0.166,0.163,0.172,0.163,0.167,0.162,0.163,0.161,0.167,0.164,0.159,0.171
00:30:00,0.191,0.188,0.192,0.182,0.189,0.181,0.184,0.183,0.181,0.179,0.18,0.181
01:00:00,0.228,0.231,0.239,0.227,0.229,0.219,0.22,0.22,0.225,0.223,0.205,0.224
01:30:00,0.267,0.27,0.276,0.267,0.273,0.266,0.23,0.231,0.231,0.23,0.226,0.241
02:00:00,0.337,0.34,0.329,0.316,0.336,0.325,0.249,0.252,0.247,0.245,0.241,0.237
02:30:00,0.391,0.394,0.388,0.367,0.371,0.363,0.241,0.249,0.244,0.237,0.242,0.247
03:00:00,0.405,0.417,0.412,0.386,0.395,0.385,0.247,0.254,0.252,0.242,0.252,0.257
03:30:00,0.435,0.446,0.45,0.409,0.406,0.405,0.257,0.264,0.258,0.249,0.252,0.257
04:00:00,0.467,0.477,0.477,0.45,0.449,0.443,0.265,0.279,0.275,0.259,0.263,0.269
04:30:00,0.502,0.502,0.5,0.47,0.475,0.465,0.256,0.272,0.267,0.255,0.246,0.267
05:00:00,0.524,0.521,0.521,0.486,0.491,0.483,0.248,0.262,0.259,0.244,0.242,0.266
05:30:00,0.55,0.544,0.548,0.515,0.521,0.509,0.253,0.264,0.255,0.247,0.239,0.261
06:00:00,0.555,0.545,0.551,0.513,0.518,0.508,0.243,0.264,0.251,0.238,0.238,0.257
06:30:00,0.564,0.544,0.552,0.516,0.519,0.507,0.239,0.262,0.25,0.241,0.239,0.249
07:00:00,0.568,0.547,0.556,0.523,0.525,0.512,0.253,0.263,0.257,0.244,0.239,0.243
07:30:00,0.574,0.536,0.547,0.516,0.516,0.502,0.244,0.255,0.251,0.257,0.248,0.245
08:00:00,0.59,0.533,0.545,0.516,0.515,0.5,0.244,0.257,0.25,0.258,0.258,0.234
08:30:00,0.592,0.531,0.544,0.514,0.515,0.503,0.244,0.26,0.252,0.255,0.273,0.234
09:00:00,0.588,0.524,0.534,0.505,0.505,0.489,0.243,0.257,0.251,0.254,0.286,0.239
09:30:00,0.586,0.518,0.532,0.498,0.497,0.485,0.241,0.258,0.251,0.257,0.301,0.245
10:00:00,0.584,0.513,0.525,0.494,0.494,0.479,0.242,0.257,0.254,0.255,0.302,0.243
10:30:00,0.577,0.504,0.516,0.489,0.488,0.472,0.244,0.256,0.253,0.254,0.299,0.248
11:00:00,0.572,0.501,0.507,0.481,0.48,0.469,0.243,0.256,0.253,0.256,0.295,0.254
11:30:00,0.565,0.498,0.507,0.479,0.478,0.467,0.245,0.259,0.254,0.258,0.291,0.254
12:00:00,0.561,0.486,0.494,0.471,0.468,0.455,0.243,0.255,0.254,0.256,0.289,0.263
12:30:00,0.548,0.478,0.487,0.463,0.458,0.447,0.243,0.255,0.255,0.256,0.29,0.264
13:00:00,0.551,0.468,0.477,0.454,0.452,0.441,0.246,0.258,0.255,0.26,0.287,0.262
13:30:00,0.541,0.459,0.462,0.44,0.437,0.424,0.245,0.251,0.254,0.261,0.282,0.265
14:00:00,0.519,0.441,0.445,0.423,0.42,0.41,0.243,0.251,0.252,0.258,0.286,0.265
14:30:00,0.519,0.435,0.435,0.412,0.408,0.398,0.243,0.25,0.253,0.259,0.287,0.264
15:00:00,0.491,0.423,0.419,0.398,0.396,0.386,0.243,0.247,0.252,0.259,0.288,0.265
15:30:00,0.485,0.404,0.404,0.383,0.38,0.372,0.242,0.247,0.251,0.258,0.288,0.258
16:00:00,0.46,0.385,0.387,0.367,0.364,0.356,0.239,0.241,0.25,0.259,0.29,0.258
16:30:00,0.44,0.376,0.374,0.35,0.348,0.343,0.238,0.239,0.249,0.252,0.29,0.248
17:00:00,0.425,0.364,0.361,0.338,0.338,0.329,0.239,0.239,0.247,0.254,0.291,0.242
17:30:00,0.398,0.351,0.347,0.328,0.323,0.317,0.236,0.236,0.244,0.254,0.294,0.237
18:00:00,0.382,0.335,0.332,0.315,0.312,0.303,0.233,0.232,0.243,0.248,0.292,0.231
