Mutants,Number of Rif+ colonies,Volume of transformants_Rif,per_1,Number of Kan+ colonies,Volume of transformants_Kan,per_1,Transformat
2743 ivr tvr,38,2.5,15.2,54,5,10.8,0.71052632
2743 ivr tvr,18,2.5,7.2,9,5,1.8,0.25
2743 ivr tvr int::cat,382,2,191,373,5,74.6,0.39057592
2743 ivr tvr int::cat,71,2,35.5,66,5,13.2,0.37183099
2743 ivr tvr lytA::cat,240,2,120,149,5,29.8,0.24833333
2743 ivr tvr,21,2,10.5,51,5,10.2,0.97142857
2743 ivr tvr,22,2,11,34,5,6.8,0.61818182
2743 ivr tvr int::cat,50,2,25,67,5,13.4,0.536
2743 ivr tvr int::cat,20,2,10,23,5,4.6,0.46
2743 ivr tvr lytA::cat,94,2,47,65,5,13,0.27659574
2743 ivr tvr,14,2.5,5.6,36,5,7.2,1.28571429
2743 ivr tvr int::cat,246,2.5,98.4,212,5,42.4,0.43089431
2743 ivr tvr int::cat,380,2.5,152,316,5,63.2,0.41578947
2743 ivr tvr lytA::cat,500,2.5,200,800,5,160,0.8
2743 ivr tvr int::cat,560,2.5,224,448,5,89.6,0.4
2743 ivr tvr,48,2,24,220,2,110,4.58333333
2743 ivr tvr,170,2,85,386,2,193,2.27058824
2743 ivr tvr,169,2,84.5,170,2,85,1.00591716
2743 ivr tvr,196,2,98,367,2,183.5,1.87244898
2743 ivr tvr lytA::cat,146,2,73,193,2,96.5,1.32191781
2743 ivr tvr lytA::cat,65,2,32.5,106,2,53,1.63076923
2743 ivr tvr int::cat,684,2,342,572,2,286,0.83625731
2743 ivr tvr int::cat,960,2,480,548,2,274,0.57083333
2743 ivr tvr,19,2,9.5,82,2,41,4.31578947
2743 ivr tvr,110,2,55,47,2,23.5,0.42727273
2743 ivr tvr int::cat,186,2,93,244,2,122,1.31182796
2743 ivr tvr int::cat,162,2,81,160,2,80,0.98765432
2743 ivr tvr,52,2,26,90,2,45,1.73076923
2743 ivr tvr lytA::cat,10,2,5,105,2,52.5,10.5
2743 ivr tvr int::cat,24,2,12,7,2,3.5,0.29166667
2743 ivr tvr,113,10,11.3,174,10,17.4,1.53982301
2743 ivr tvr lytA::cat,298,10,29.8,390,10,39,1.30872483
2743 ivr tvr int::cat,456,10,45.6,428,10,42.8,0.93859649
2743 ivr tvr rep::cat,124,10,12.4,173,10,17.3,1.39516129
2743 ivr tvr,120,5,24,285,5,57,2.375
2743 ivr tvr lytA::cat,264,5,52.8,258,5,51.6,0.97727273
2743 ivr tvr int::cat,706,5,141.2,386,5,77.2,0.54674221
2743 ivr tvr rep::cat,129,5,25.8,293,5,58.6,2.27131783
2743 ivr tvr rep::cat,48,5,9.6,140,5,28,2.91666667
2743 ivr tvr,193,5,38.6,270,5,54,1.39896373
2743 ivr tvr lytA::cat,143,5,28.6,52,5,10.4,0.36363636
2743 ivr tvr int::cat,46,5,9.2,146,5,29.2,3.17391304
2743 ivr tvr rep::cat,170,5,34,310,5,62,1.82352941
2743 ivr tvr,17,2.5,6.8,72,2.5,28.8,4.23529412
2743 ivr tvr lytA::cat,14,2.5,5.6,75,2.5,30,5.35714286
2743 ivr tvr int::cat,8,2.5,3.2,32,2.5,12.8,4
2743 ivr tvr rep::cat,43,2.5,17.2,145,2.5,58,3.37209302
2743 ivr tvr,154,5,30.8,388,5,77.6,2.51948052
2743 ivr tvr int::cat,6,5,1.2,21,5,4.2,3.5
2743 ivr tvr rep::cat,210,5,42,250,5,50,1.19047619
2743 ivr tvr lytA::cat,136,5,27.2,211,5,42.2,1.55147059
2743 ivr tvr int::cat,370,2.5,148,226,2.5,90.4,0.61081081
2743 ivr tvr immA::cat,37,2.5,14.8,47,2.5,18.8,1.27027027
2743 ivr tvr rep::cat,27,2.5,10.8,24,2.5,9.6,0.88888889
2743 ivr tvr lytA::cat,110,2.5,44,136,2.5,54.4,1.23636364
2743 ivr tvr,57,2.5,22.8,46,2.5,18.4,0.80701754
2743 ivr tvr,59,5,11.8,171,5,34.2,2.89830508
2743 ivr tvr rep::cat,22,2.5,8.8,39,2.5,15.6,1.77272727
2743 ivr tvr immA::cat,30,2.5,12,208,2.5,83.2,6.93333333
2743 ivr tvr immA::cat,100,2.5,40,140,2.5,56,1.4
2743 ivr tvr immA::cat,37,2.5,14.8,99,2.5,39.6,2.67567568
2743 ivr tvr immA::cat,12,2.5,4.8,44,2.5,17.6,3.66666667
2743 ivr tvr immA::cat,14,2.5,5.6,23,2.5,9.2,1.64285714
