OD600,2743 ivrtvr_recAKO_noGD,2743 ivrtvr_recAKO_noGD,2743 ivrtvr_recAKO_noGD,2743 ivrtvr_recAKO_withGD,2743 ivrtvr_recAKO_withGD,2743 ivrtvr_recAKO_withGD,2743 ivrtvr_recAKO_noGD_Mitomycin,2743 ivrtvr_recAKO_noGD_Mitomycin,2743 ivrtvr_recAKO_noGD_Mitomycin,2743 ivrtvr_recAKO_withGD_Mitomycin,2743 ivrtvr_recAKO_withGD_Mitomycin,2743 ivrtvr_recAKO_withGD_Mitomycin
00:00:00,0.112,0.13,0.118,0.111,0.111,0.11,0.11,0.111,0.112,0.121,0.108,0.105
00:30:00,0.129,0.134,0.133,0.122,0.128,0.123,0.125,0.123,0.126,0.132,0.123,0.122
01:00:00,0.153,0.169,0.163,0.15,0.153,0.148,0.144,0.147,0.151,0.152,0.14,0.144
01:30:00,0.198,0.213,0.209,0.197,0.2,0.191,0.165,0.16,0.167,0.164,0.155,0.163
02:00:00,0.277,0.298,0.294,0.266,0.283,0.28,0.172,0.163,0.172,0.172,0.158,0.167
02:30:00,0.35,0.379,0.373,0.347,0.379,0.381,0.153,0.141,0.152,0.149,0.135,0.145
03:00:00,0.425,0.437,0.439,0.401,0.428,0.439,0.13,0.122,0.131,0.13,0.116,0.124
03:30:00,0.438,0.462,0.453,0.41,0.431,0.43,0.122,0.111,0.122,0.123,0.108,0.115
04:00:00,0.461,0.496,0.493,0.424,0.467,0.464,0.121,0.116,0.115,0.119,0.104,0.11
04:30:00,0.494,0.52,0.513,0.462,0.48,0.478,0.118,0.114,0.119,0.12,0.099,0.105
05:00:00,0.533,0.538,0.519,0.471,0.49,0.487,0.12,0.112,0.12,0.121,0.097,0.105
05:30:00,0.564,0.558,0.543,0.49,0.512,0.508,0.116,0.11,0.118,0.122,0.093,0.1
06:00:00,0.581,0.565,0.553,0.498,0.527,0.521,0.115,0.11,0.116,0.121,0.09,0.098
06:30:00,0.597,0.575,0.565,0.509,0.539,0.532,0.112,0.107,0.116,0.122,0.088,0.095
07:00:00,0.605,0.584,0.575,0.516,0.548,0.539,0.113,0.106,0.115,0.12,0.086,0.091
07:30:00,0.606,0.577,0.579,0.517,0.555,0.547,0.111,0.105,0.117,0.118,0.083,0.09
08:00:00,0.611,0.577,0.575,0.515,0.551,0.546,0.111,0.103,0.114,0.118,0.08,0.085
08:30:00,0.616,0.578,0.575,0.51,0.549,0.539,0.108,0.1,0.112,0.119,0.074,0.079
09:00:00,0.625,0.574,0.572,0.502,0.546,0.538,0.105,0.1,0.112,0.121,0.073,0.078
09:30:00,0.626,0.563,0.565,0.495,0.539,0.528,0.107,0.097,0.114,0.126,0.07,0.075
10:00:00,0.631,0.563,0.558,0.487,0.532,0.524,0.107,0.098,0.12,0.131,0.065,0.072
10:30:00,0.626,0.558,0.553,0.484,0.523,0.521,0.104,0.099,0.126,0.13,0.062,0.068
11:00:00,0.621,0.55,0.548,0.477,0.52,0.515,0.1,0.099,0.132,0.127,0.06,0.066
11:30:00,0.628,0.555,0.543,0.471,0.514,0.508,0.099,0.102,0.137,0.121,0.057,0.064
12:00:00,0.62,0.545,0.537,0.464,0.508,0.505,0.099,0.116,0.151,0.115,0.055,0.061
12:30:00,0.615,0.532,0.528,0.455,0.494,0.493,0.1,0.149,0.161,0.108,0.052,0.059
13:00:00,0.619,0.531,0.517,0.451,0.487,0.481,0.105,0.171,0.176,0.107,0.051,0.055
13:30:00,0.603,0.515,0.509,0.443,0.48,0.478,0.111,0.199,0.209,0.107,0.049,0.054
14:00:00,0.611,0.504,0.498,0.431,0.461,0.46,0.163,0.224,0.236,0.106,0.046,0.051
14:30:00,0.6,0.498,0.485,0.421,0.455,0.451,0.212,0.24,0.262,0.118,0.047,0.05
15:00:00,0.587,0.484,0.477,0.412,0.439,0.441,0.224,0.259,0.265,0.167,0.046,0.047
15:30:00,0.572,0.471,0.462,0.397,0.426,0.426,0.231,0.266,0.272,0.216,0.045,0.047
16:00:00,0.557,0.458,0.449,0.386,0.41,0.409,0.242,0.264,0.276,0.251,0.045,0.046
16:30:00,0.533,0.446,0.436,0.374,0.395,0.397,0.249,0.271,0.279,0.271,0.045,0.046
17:00:00,0.518,0.435,0.423,0.363,0.384,0.386,0.257,0.285,0.287,0.296,0.049,0.048
17:30:00,0.486,0.422,0.41,0.352,0.371,0.375,0.265,0.286,0.293,0.295,0.051,0.05
18:00:00,0.471,0.404,0.395,0.338,0.356,0.36,0.267,0.29,0.293,0.291,0.058,0.054
