OD600,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD
00:00:00,0.074,0.074,0.078,0.074,0.08,0.076,0.076,0.076,0.075,0.073,0.075,0.077,0.106,0.11,0.116,0.107,0.107,0.112,0.119,0.12,0.114,0.103,0.113,0.112
00:30:00,0.095,0.091,0.095,0.087,0.092,0.087,0.089,0.089,0.085,0.081,0.085,0.088,0.128,0.132,0.138,0.124,0.125,0.128,0.144,0.144,0.134,0.117,0.125,0.128
01:00:00,0.117,0.116,0.118,0.103,0.109,0.105,0.115,0.114,0.111,0.097,0.102,0.106,0.168,0.176,0.181,0.155,0.156,0.158,0.188,0.19,0.179,0.147,0.155,0.161
01:30:00,0.163,0.157,0.161,0.128,0.13,0.133,0.161,0.16,0.148,0.123,0.127,0.135,0.237,0.245,0.253,0.198,0.197,0.201,0.26,0.265,0.25,0.187,0.197,0.206
02:00:00,0.237,0.225,0.23,0.15,0.159,0.153,0.234,0.219,0.216,0.143,0.147,0.157,0.325,0.345,0.357,0.236,0.238,0.242,0.36,0.366,0.346,0.226,0.232,0.247
02:30:00,0.325,0.316,0.324,0.157,0.163,0.159,0.328,0.31,0.318,0.146,0.155,0.163,0.447,0.454,0.471,0.224,0.225,0.227,0.471,0.478,0.459,0.209,0.221,0.234
03:00:00,0.451,0.434,0.439,0.159,0.166,0.158,0.444,0.424,0.419,0.152,0.16,0.165,0.448,0.488,0.498,0.201,0.198,0.204,0.505,0.512,0.488,0.189,0.196,0.207
03:30:00,0.476,0.469,0.463,0.164,0.172,0.165,0.471,0.463,0.453,0.156,0.165,0.166,0.454,0.501,0.514,0.196,0.191,0.196,0.517,0.519,0.498,0.177,0.186,0.193
04:00:00,0.472,0.47,0.486,0.164,0.172,0.167,0.487,0.478,0.47,0.164,0.167,0.166,0.474,0.504,0.522,0.19,0.189,0.194,0.522,0.525,0.504,0.174,0.179,0.191
04:30:00,0.489,0.491,0.494,0.169,0.181,0.171,0.488,0.479,0.473,0.172,0.173,0.177,0.462,0.53,0.538,0.197,0.192,0.195,0.537,0.539,0.517,0.181,0.185,0.188
