OD600,2743_control,2743_control,2743_control,2743_MMC,2743_MMC,2743_MMC,2743_recAKO_control,2743_recAKO_control,2743_recAKO_control,2743_recAKO_MMC,2743_recAKO_MMC,2743_recAKO_MMC,2743_zn::cat_control,2743_zn::cat_control,2743_zn::cat_control,2743_zn::cat_MMC,2743_zn::cat_MMC,2743_zn::cat_MMC,2743_zn::cat_recA_control,2743_zn::cat_recA_control,2743_zn::cat_recA_control,2743_zn::cat_recA_MMC,2743_zn::cat_recA_MMC,2743_zn::cat_recA_MMC
00:00:00,0.077,0.087,0.082,0.087,0.085,0.077,0.096,0.108,0.108,0.12,0.103,0.114,0.067,0.074,0.717,0.885,0.785,0.733,0.144,0.156,0.156,0.15,0.147,0.151
00:30:00,0.095,0.099,0.1,0.101,0.1,0.1,0.131,0.129,0.129,0.14,0.122,0.131,0.07,0.078,0.084,0.076,0.08,0.077,0.172,0.172,0.175,0.17,0.174,0.178
01:00:00,0.114,0.115,0.12,0.118,0.114,0.113,0.153,0.157,0.152,0.164,0.153,0.162,0.083,0.09,0.104,0.095,0.103,0.093,0.246,0.239,0.244,0.235,0.234,0.242
01:30:00,0.147,0.151,0.155,0.148,0.14,0.138,0.212,0.213,0.211,0.209,0.2,0.203,0.108,0.112,0.14,0.12,0.131,0.127,0.338,0.324,0.328,0.309,0.296,0.305
02:00:00,0.209,0.226,0.225,0.181,0.152,0.153,0.283,0.288,0.283,0.241,0.217,0.224,0.145,0.158,0.174,0.134,0.136,0.134,0.393,0.385,0.391,0.35,0.335,0.344
02:30:00,0.3,0.321,0.325,0.174,0.121,0.126,0.343,0.354,0.349,0.178,0.156,0.163,0.203,0.227,0.252,0.127,0.117,0.12,0.407,0.402,0.405,0.34,0.31,0.324
03:00:00,0.391,0.439,0.44,0.162,0.102,0.102,0.378,0.389,0.389,0.138,0.125,0.126,0.297,0.317,0.351,0.109,0.101,0.107,0.395,0.388,0.39,0.253,0.234,0.245
03:30:00,0.459,0.48,0.481,0.152,0.093,0.091,0.354,0.38,0.372,0.128,0.12,0.121,0.409,0.424,0.46,0.099,0.094,0.096,0.376,0.364,0.366,0.205,0.181,0.195
04:00:00,0.464,0.481,0.479,0.149,0.087,0.09,0.377,0.377,0.376,0.123,0.119,0.122,0.448,0.472,0.503,0.089,0.087,0.088,0.375,0.372,0.365,0.184,0.175,0.17
04:30:00,0.491,0.497,0.51,0.151,0.085,0.089,0.391,0.398,0.387,0.13,0.122,0.124,0.459,0.492,0.526,0.086,0.082,0.086,0.371,0.359,0.368,0.172,0.176,0.164
05:00:00,0.504,0.528,0.548,0.16,0.087,0.088,0.403,0.406,0.4,0.133,0.12,0.136,0.5,0.513,0.547,0.084,0.079,0.081,0.359,0.352,0.36,0.164,0.167,0.159
05:30:00,0.526,0.561,0.562,0.167,0.086,0.087,0.418,0.42,0.419,0.139,0.117,0.128,0.531,0.539,0.573,0.082,0.077,0.08,0.348,0.338,0.345,0.156,0.159,0.163
06:00:00,0.527,0.569,0.569,0.173,0.086,0.088,0.425,0.431,0.424,0.138,0.118,0.128,0.538,0.542,0.576,0.08,0.073,0.076,0.331,0.321,0.327,0.146,0.149,0.163
06:30:00,0.551,0.586,0.591,0.18,0.089,0.089,0.417,0.428,0.422,0.14,0.123,0.131,0.534,0.55,0.581,0.081,0.071,0.074,0.314,0.307,0.316,0.137,0.143,0.164
07:00:00,0.557,0.598,0.61,0.187,0.088,0.09,0.41,0.41,0.408,0.132,0.118,0.116,0.539,0.555,0.597,0.075,0.069,0.071,0.305,0.296,0.305,0.131,0.133,0.158
07:30:00,0.556,0.602,0.608,0.196,0.09,0.091,0.4,0.399,0.402,0.132,0.117,0.114,0.548,0.559,0.597,0.076,0.066,0.07,0.297,0.286,0.295,0.125,0.129,0.158
08:00:00,0.557,0.609,0.605,0.223,0.089,0.092,0.395,0.396,0.404,0.132,0.116,0.116,0.554,0.562,0.597,0.075,0.065,0.067,0.283,0.278,0.287,0.12,0.125,0.151
08:30:00,0.555,0.61,0.603,0.271,0.089,0.092,0.385,0.388,0.399,0.123,0.113,0.114,0.558,0.56,0.597,0.074,0.063,0.065,0.279,0.269,0.279,0.117,0.12,0.14
09:00:00,0.549,0.605,0.602,0.284,0.089,0.089,0.381,0.378,0.382,0.128,0.106,0.116,0.558,0.548,0.585,0.075,0.058,0.062,0.265,0.258,0.271,0.111,0.113,0.13
09:30:00,0.541,0.592,0.605,0.275,0.084,0.084,0.392,0.381,0.388,0.121,0.11,0.115,0.549,0.528,0.571,0.071,0.056,0.06,0.258,0.248,0.261,0.107,0.108,0.126
10:00:00,0.549,0.595,0.598,0.265,0.085,0.083,0.385,0.382,0.377,0.121,0.105,0.114,0.549,0.511,0.553,0.072,0.055,0.058,0.251,0.242,0.255,0.106,0.106,0.124
10:30:00,0.547,0.604,0.589,0.264,0.08,0.082,0.383,0.381,0.384,0.119,0.108,0.119,0.544,0.484,0.519,0.071,0.054,0.057,0.24,0.229,0.243,0.101,0.107,0.117
11:00:00,0.538,0.59,0.591,0.263,0.077,0.079,0.38,0.38,0.378,0.119,0.108,0.116,0.535,0.463,0.492,0.072,0.052,0.055,0.231,0.221,0.237,0.099,0.112,0.105
11:30:00,0.544,0.585,0.584,0.263,0.074,0.077,0.376,0.386,0.387,0.114,0.1,0.108,0.528,0.446,0.47,0.074,0.048,0.052,0.22,0.213,0.228,0.096,0.116,0.093
12:00:00,0.533,0.584,0.575,0.271,0.072,0.074,0.376,0.379,0.384,0.109,0.1,0.114,0.52,0.428,0.452,0.073,0.048,0.05,0.215,0.207,0.219,0.092,0.121,0.085
12:30:00,0.523,0.577,0.568,0.277,0.069,0.069,0.371,0.374,0.371,0.11,0.098,0.112,0.504,0.417,0.431,0.078,0.048,0.05,0.21,0.201,0.214,0.091,0.126,0.081
13:00:00,0.507,0.571,0.566,0.288,0.066,0.066,0.374,0.381,0.388,0.104,0.097,0.104,0.495,0.398,0.41,0.088,0.046,0.048,0.203,0.192,0.208,0.088,0.128,0.075
13:30:00,0.508,0.557,0.547,0.301,0.063,0.064,0.37,0.381,0.379,0.105,0.095,0.098,0.486,0.387,0.388,0.148,0.045,0.047,0.194,0.188,0.203,0.084,0.121,0.072
14:00:00,0.507,0.554,0.551,0.312,0.059,0.06,0.372,0.37,0.369,0.1,0.093,0.097,0.47,0.373,0.375,0.198,0.043,0.045,0.192,0.181,0.194,0.083,0.111,0.068
14:30:00,0.489,0.536,0.526,0.311,0.056,0.056,0.37,0.371,0.371,0.097,0.089,0.092,0.451,0.363,0.364,0.241,0.042,0.044,0.182,0.176,0.192,0.078,0.1,0.065
15:00:00,0.475,0.537,0.507,0.311,0.053,0.054,0.368,0.368,0.372,0.093,0.085,0.088,0.44,0.348,0.348,0.262,0.041,0.042,0.178,0.172,0.186,0.075,0.085,0.062
15:30:00,0.471,0.522,0.5,0.316,0.051,0.049,0.365,0.361,0.359,0.093,0.082,0.085,0.43,0.335,0.335,0.264,0.041,0.042,0.175,0.167,0.181,0.074,0.074,0.059
16:00:00,0.458,0.508,0.488,0.316,0.053,0.045,0.355,0.367,0.357,0.091,0.081,0.084,0.413,0.321,0.328,0.266,0.04,0.04,0.171,0.163,0.175,0.072,0.068,0.055
16:30:00,0.446,0.479,0.465,0.316,0.125,0.043,0.355,0.356,0.357,0.089,0.076,0.083,0.394,0.309,0.313,0.258,0.037,0.039,0.169,0.161,0.173,0.069,0.063,0.053
17:00:00,0.435,0.471,0.44,0.31,0.212,0.057,0.343,0.353,0.361,0.087,0.075,0.083,0.386,0.298,0.299,0.245,0.038,0.039,0.167,0.155,0.17,0.068,0.06,0.05
17:30:00,0.417,0.445,0.44,0.306,0.262,0.147,0.34,0.348,0.331,0.085,0.072,0.078,0.376,0.29,0.287,0.243,0.038,0.039,0.163,0.152,0.167,0.066,0.058,0.05
18:00:00,0.406,0.427,0.417,0.314,0.273,0.217,0.34,0.337,0.329,0.084,0.07,0.078,0.362,0.276,0.277,0.242,0.036,0.038,0.161,0.15,0.163,0.064,0.056,0.048
18:30:00,0.382,0.411,0.402,0.306,0.274,0.26,0.341,0.335,0.329,0.079,0.068,0.08,0.344,0.263,0.272,0.241,0.037,0.039,0.159,0.148,0.161,0.065,0.056,0.047
19:00:00,0.377,0.391,0.389,0.299,0.252,0.27,0.319,0.333,0.316,0.079,0.065,0.078,0.338,0.252,0.26,0.242,0.034,0.036,0.153,0.145,0.159,0.065,0.053,0.045
19:30:00,0.368,0.374,0.375,0.294,0.239,0.269,0.32,0.323,0.316,0.075,0.061,0.068,0.326,0.241,0.255,0.241,0.034,0.037,0.152,0.145,0.157,0.067,0.052,0.043
20:00:00,0.348,0.367,0.361,0.287,0.23,0.257,0.314,0.318,0.316,0.075,0.061,0.08,0.316,0.237,0.248,0.238,0.034,0.037,0.153,0.142,0.154,0.068,0.051,0.042
20:30:00,0.342,0.345,0.343,0.279,0.228,0.235,0.308,0.319,0.315,0.074,0.061,0.093,0.306,0.229,0.241,0.236,0.034,0.037,0.15,0.139,0.152,0.07,0.05,0.042
