mutants,ADbyAB
2743_zncat_T0,0.003751431
2743_zncat_T0,0.004161541
2743_zncat_T0,0.004090655
2743_zncat_T20,0.002873007
2743_zncat_T20,0.003362667
2743_zncat_T20,0.003040096
2743_zncat_T20_CSP,0.00352103
2743_zncat_T20_CSP,0.003625719
2743_zncat_T20_CSP,0.004059994
2743_zncat_T20_MMC,0.003898192
2743_zncat_T20_MMC,0.003677333
2743_zncat_T20_MMC,0.003595367
2743_zncat_T60,0.00344433
2743_zncat_T60,0.00335337
2743_zncat_T60,0.003580542
2743_zncat_T60_CSP,0.003506791
2743_zncat_T60_CSP,0.003077442
2743_zncat_T60_CSP,0.00292337
2743_zncat_T60_MMC,0.009396271
2743_zncat_T60_MMC,0.009330782
2743_zncat_T60_MMC,0.009332216
2743_zncat_T120,0.002368487
2743_zncat_T120,0.00250302
2743_zncat_T120,0.00215712
2743_zncat_T120_CSP,0.003049022
2743_zncat_T120_CSP,0.003098654
2743_zncat_T120_CSP,0.003195618
2743_zncat_T120_MMC,0.031532042
2743_zncat_T120_MMC,0.036835371
2743_zncat_T120_MMC,0.03245165
2743_zncat_T0,0.057592911
2743_zncat_T0,0.070839284
2743_zncat_T0,0.064357087
2743_zncat_T20,0.041618734
2743_zncat_T20,0.046882649
2743_zncat_T20,0.042051209
2743_zncat_T20_CSP,0.040212068
2743_zncat_T20_CSP,0.046013296
2743_zncat_T20_CSP,0.039895924
2743_zncat_T20_MMC,0.042123386
2743_zncat_T20_MMC,0.044093276
2743_zncat_T20_MMC,0.033663356
2743_zncat_T60,0.035448049
2743_zncat_T60,0.033165833
2743_zncat_T60,0.039538259
2743_zncat_T60_CSP,0.035243016
2743_zncat_T60_CSP,0.038385833
2743_zncat_T60_CSP,0.03523053
2743_zncat_T60_MMC,0.070197505
2743_zncat_T60_MMC,0.058768372
2743_zncat_T60_MMC,0.059165164
2743_zncat_T120,0.058551434
2743_zncat_T120,0.054682151
2743_zncat_T120,0.043196176
2743_zncat_T120_CSP,0.050126132
2743_zncat_T120_CSP,0.054143601
2743_zncat_T120_CSP,0.057599183
2743_zncat_T120_MMC,0.054387693
2743_zncat_T120_MMC,0.041585581
2743_zncat_T120_MMC,0.034041376
2743_zncat_T0,0.013488459
2743_zncat_T0,0.014163044
2743_zncat_T0,0.013960686
2743_zncat_T20,0.008334116
2743_zncat_T20,0.007780898
2743_zncat_T20,0.007644142
2743_zncat_T20_CSP,0.010771512
2743_zncat_T20_CSP,0.011366997
2743_zncat_T20_CSP,0.011789647
2743_zncat_T20_MMC,0.013206655
2743_zncat_T20_MMC,0.012250069
2743_zncat_T20_MMC,0.012075897
2743_zncat_T60,0.007253778
2743_zncat_T60,0.007666773
2743_zncat_T60,0.007185337
2743_zncat_T60_CSP,0.007573206
2743_zncat_T60_CSP,0.007833173
2743_zncat_T60_CSP,0.007165617
2743_zncat_T60_MMC,0.041619933
2743_zncat_T60_MMC,0.037695723
2743_zncat_T60_MMC,0.04136653
2743_zncat_T120,0.008030375
2743_zncat_T120,0.008270367
2743_zncat_T120,0.008645857
2743_zncat_T120_CSP,0.006038012
2743_zncat_T120_CSP,0.005827813
2743_zncat_T120_CSP,0.005762975
2743_zncat_T120_MMC,0.087493126
2743_zncat_T120_MMC,0.090248248
2743_zncat_T120_MMC,0.090179644
