mutants,BCbyRpoA
2743_zncat_T0,0.884472591
2743_zncat_T0,0.849122963
2743_zncat_T0,0.752217904
2743_zncat_T20,0.861402508
2743_zncat_T20,0.815545832
2743_zncat_T20,0.776412328
2743_zncat_T20_CSP,0.739536216
2743_zncat_T20_CSP,0.832755915
2743_zncat_T20_CSP,0.762467564
2743_zncat_T20_MMC,0.643968441
2743_zncat_T20_MMC,0.241802897
2743_zncat_T20_MMC,0.221517157
2743_zncat_T60,0.351232845
2743_zncat_T60,0.347028966
2743_zncat_T60,0.354866009
2743_zncat_T60_CSP,0.162544231
2743_zncat_T60_CSP,0.132044756
2743_zncat_T60_CSP,0.145098261
2743_zncat_T60_MMC,0.356816845
2743_zncat_T60_MMC,0.366855396
2743_zncat_T60_MMC,0.336550417
2743_zncat_T120,0.161121663
2743_zncat_T120,0.168915493
2743_zncat_T120,0.122692343
2743_zncat_T120_CSP,0.27213771
2743_zncat_T120_CSP,0.254133778
2743_zncat_T120_CSP,0.243788693
2743_zncat_T120_MMC,0.458490116
2743_zncat_T120_MMC,0.392777851
2743_zncat_T120_MMC,0.340128795
2743_zncat_T0,0.177393178
2743_zncat_T0,0.17919663
2743_zncat_T0,0.198159094
2743_zncat_T20,0.04377943
2743_zncat_T20,0.046979107
2743_zncat_T20,0.04370528
2743_zncat_T20_CSP,0.095462026
2743_zncat_T20_CSP,0.063742077
2743_zncat_T20_CSP,0.058228242
2743_zncat_T20_MMC,0.07154175
2743_zncat_T20_MMC,0.075753226
2743_zncat_T20_MMC,0.095410138
2743_zncat_T60,0.066526338
2743_zncat_T60,0.060540196
2743_zncat_T60,0.058488905
2743_zncat_T60_CSP,0.064960535
2743_zncat_T60_CSP,0.078968235
2743_zncat_T60_CSP,0.099545416
2743_zncat_T60_MMC,0.260640931
2743_zncat_T60_MMC,0.244626297
2743_zncat_T60_MMC,0.242611298
2743_zncat_T120,0.071538713
2743_zncat_T120,0.053715436
2743_zncat_T120,0.047890738
2743_zncat_T120_CSP,0.069363195
2743_zncat_T120_CSP,0.07699211
2743_zncat_T120_CSP,0.078753552
2743_zncat_T120_MMC,3.180472021
2743_zncat_T120_MMC,3.143848384
2743_zncat_T120_MMC,3.017966083
2743_zncat_T0,0.819717399
2743_zncat_T0,0.815433727
2743_zncat_T0,0.847824737
2743_zncat_T20,0.693524032
2743_zncat_T20,0.675337382
2743_zncat_T20,0.695097354
2743_zncat_T20_CSP,0.830525271
2743_zncat_T20_CSP,0.833747615
2743_zncat_T20_CSP,0.839117615
2743_zncat_T20_MMC,0.795803856
2743_zncat_T20_MMC,0.783050246
2743_zncat_T20_MMC,0.770372217
2743_zncat_T60,0.787504752
2743_zncat_T60,0.857199869
2743_zncat_T60,0.837355483
2743_zncat_T60_CSP,0.82757033
2743_zncat_T60_CSP,0.832121265
2743_zncat_T60_CSP,0.816552025
2743_zncat_T60_MMC,0.826127878
2743_zncat_T60_MMC,0.846512294
2743_zncat_T60_MMC,0.805478823
2743_zncat_T120,0.541713915
2743_zncat_T120,0.608294893
2743_zncat_T120,0.59012125
2743_zncat_T120_CSP,0.685303162
2743_zncat_T120_CSP,0.681397917
2743_zncat_T120_CSP,0.642326983
2743_zncat_T120_MMC,2.09131564
2743_zncat_T120_MMC,2.009357529
2743_zncat_T120_MMC,2.130958383
