OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.094,0.098,0.113,0.104,0.098,0.094,0.131,0.128,0.126,0.098,0.091,0.095,0.105,0.104,0.107,0.099,0.098,0.098,0.095,0.095,0.096,0.097,0.096,0.096
00:30:00,0.107,0.12,0.117,0.121,0.117,0.106,0.133,0.136,0.131,0.11,0.098,0.11,0.124,0.125,0.127,0.125,0.123,0.119,0.115,0.115,0.116,0.11,0.107,0.109
01:00:00,0.131,0.143,0.14,0.143,0.142,0.133,0.146,0.148,0.143,0.129,0.122,0.134,0.144,0.15,0.153,0.147,0.149,0.142,0.13,0.132,0.125,0.135,0.128,0.127
01:30:00,0.182,0.19,0.188,0.191,0.18,0.175,0.177,0.178,0.167,0.17,0.164,0.174,0.182,0.191,0.194,0.179,0.176,0.169,0.162,0.161,0.149,0.169,0.166,0.173
02:00:00,0.227,0.251,0.261,0.252,0.257,0.238,0.22,0.221,0.207,0.237,0.219,0.242,0.258,0.25,0.259,0.205,0.197,0.183,0.222,0.227,0.216,0.231,0.22,0.233
02:30:00,0.35,0.365,0.371,0.352,0.365,0.314,0.283,0.292,0.261,0.346,0.316,0.34,0.347,0.353,0.372,0.22,0.197,0.163,0.318,0.308,0.299,0.335,0.312,0.312
03:00:00,0.465,0.471,0.461,0.455,0.471,0.396,0.356,0.393,0.353,0.455,0.427,0.436,0.452,0.453,0.477,0.2,0.173,0.138,0.395,0.389,0.389,0.412,0.404,0.395
03:30:00,0.456,0.476,0.487,0.464,0.48,0.413,0.422,0.457,0.415,0.471,0.446,0.46,0.466,0.49,0.508,0.195,0.172,0.129,0.466,0.456,0.456,0.449,0.427,0.423
04:00:00,0.498,0.501,0.505,0.482,0.494,0.405,0.447,0.46,0.435,0.49,0.459,0.462,0.501,0.513,0.515,0.202,0.165,0.125,0.472,0.472,0.465,0.467,0.428,0.421
04:30:00,0.534,0.519,0.524,0.489,0.501,0.391,0.464,0.485,0.46,0.521,0.514,0.507,0.543,0.535,0.53,0.213,0.162,0.123,0.502,0.501,0.502,0.49,0.486,0.454
05:00:00,0.549,0.528,0.535,0.491,0.499,0.362,0.473,0.486,0.462,0.531,0.525,0.548,0.564,0.544,0.541,0.211,0.164,0.116,0.513,0.507,0.498,0.496,0.509,0.489
05:30:00,0.583,0.545,0.552,0.499,0.506,0.332,0.498,0.513,0.494,0.546,0.556,0.574,0.581,0.545,0.544,0.221,0.163,0.114,0.525,0.518,0.513,0.507,0.533,0.526
06:00:00,0.601,0.548,0.551,0.504,0.501,0.295,0.498,0.511,0.491,0.545,0.561,0.587,0.6,0.566,0.554,0.229,0.17,0.112,0.534,0.528,0.521,0.519,0.534,0.538
06:30:00,0.595,0.547,0.548,0.501,0.492,0.257,0.501,0.518,0.498,0.557,0.57,0.61,0.605,0.555,0.552,0.232,0.173,0.106,0.533,0.53,0.527,0.522,0.551,0.549
07:00:00,0.601,0.545,0.549,0.504,0.487,0.227,0.513,0.522,0.512,0.547,0.566,0.606,0.612,0.553,0.552,0.231,0.18,0.107,0.535,0.534,0.526,0.517,0.553,0.548
07:30:00,0.603,0.544,0.547,0.497,0.479,0.198,0.515,0.532,0.514,0.549,0.574,0.618,0.608,0.548,0.55,0.231,0.191,0.109,0.541,0.537,0.531,0.518,0.557,0.562
08:00:00,0.592,0.535,0.537,0.492,0.465,0.17,0.508,0.532,0.505,0.549,0.572,0.629,0.615,0.537,0.536,0.224,0.2,0.111,0.535,0.54,0.53,0.522,0.561,0.561
08:30:00,0.602,0.53,0.529,0.483,0.456,0.149,0.511,0.527,0.514,0.533,0.558,0.627,0.614,0.53,0.524,0.224,0.204,0.112,0.524,0.529,0.52,0.511,0.562,0.561
09:00:00,0.598,0.52,0.516,0.473,0.441,0.133,0.502,0.522,0.504,0.521,0.555,0.613,0.612,0.525,0.516,0.22,0.202,0.11,0.514,0.52,0.508,0.507,0.56,0.561
09:30:00,0.591,0.505,0.498,0.457,0.419,0.117,0.489,0.51,0.492,0.509,0.553,0.619,0.613,0.504,0.504,0.219,0.2,0.11,0.497,0.504,0.49,0.5,0.556,0.564
10:00:00,0.593,0.493,0.485,0.445,0.401,0.11,0.48,0.503,0.489,0.497,0.551,0.612,0.611,0.498,0.482,0.221,0.2,0.129,0.47,0.48,0.466,0.489,0.55,0.573
10:30:00,0.582,0.479,0.464,0.429,0.378,0.1,0.456,0.482,0.46,0.486,0.547,0.611,0.607,0.493,0.471,0.219,0.199,0.162,0.449,0.455,0.448,0.487,0.55,0.565
