mutants,BCbyRpoA
2743_recA_T0_zncat,15.95436809
2743_recA_T0_zncat,16.72931969
2743_recA_T0_zncat,11.76041615
2743_recA_T20_zncat,19.3761101
2743_recA_T20_zncat,17.77904513
2743_recA_T20_zncat,15.160704
2743_recA_T20_CSP_zncat,12.69704961
2743_recA_T20_CSP_zncat,15.62830995
2743_recA_T20_CSP_zncat,16.96509384
2743_recA_T20_MMC_zncat,16.85631757
2743_recA_T20_MMC_zncat,15.50075593
2743_recA_T20_MMC_zncat,16.11299112
2743_recA_T60_zncat,18.95875477
2743_recA_T60_zncat,18.9326651
2743_recA_T60_zncat,19.55985702
2743_recA_T60_CSP_zncat,19.53039884
2743_recA_T60_CSP_zncat,19.29761103
2743_recA_T60_CSP_zncat,17.67468847
2743_recA_T60_MMC_zncat,19.94313385
2743_recA_T60_MMC_zncat,22.79480226
2743_recA_T60_MMC_zncat,19.97623385
2743_recA_T120_zncat,25.47332417
2743_recA_T120_zncat,27.94728752
2743_recA_T120_zncat,26.67170665
2743_recA_T120_CSP_zncat,25.43700605
2743_recA_T120_CSP_zncat,24.81496214
2743_recA_T120_CSP_zncat,26.08332486
2743_recA_T120_MMC_zncat,46.63787191
2743_recA_T120_MMC_zncat,48.94963973
2743_recA_T120_MMC_zncat,50.32011567
2743_recA_T0_zncat,24.67940357
2743_recA_T0_zncat,25.38702616
2743_recA_T0_zncat,21.85860165
2743_recA_T20_zncat,34.7002007
2743_recA_T20_zncat,32.68062923
2743_recA_T20_zncat,23.16080446
2743_recA_T20_CSP_zncat,36.65973141
2743_recA_T20_CSP_zncat,35.53013666
2743_recA_T20_CSP_zncat,38.18361459
2743_recA_T20_MMC_zncat,38.16671707
2743_recA_T20_MMC_zncat,38.60783101
2743_recA_T20_MMC_zncat,36.5071081
2743_recA_T60_zncat,41.56810077
2743_recA_T60_zncat,44.29003577
2743_recA_T60_zncat,46.0979235
2743_recA_T60_CSP_zncat,52.2048744
2743_recA_T60_CSP_zncat,50.76289781
2743_recA_T60_CSP_zncat,57.50066945
2743_recA_T60_MMC_zncat,39.09113934
2743_recA_T60_MMC_zncat,40.21957567
2743_recA_T60_MMC_zncat,44.98034351
2743_recA_T120_zncat,42.85112681
2743_recA_T120_zncat,52.17958865
2743_recA_T120_zncat,54.94081165
2743_recA_T120_CSP_zncat,60.4473814
2743_recA_T120_CSP_zncat,58.76745035
2743_recA_T120_CSP_zncat,53.55564953
2743_recA_T120_MMC_zncat,52.21910823
2743_recA_T120_MMC_zncat,67.71878423
2743_recA_T120_MMC_zncat,56.81834604
