mutants,BCbyRpoA
2743_recA_T0_zncat,3.876225702
2743_recA_T0_zncat,3.868045526
2743_recA_T0_zncat,3.843276659
2743_recA_T20_zncat,3.876320995
2743_recA_T20_zncat,3.678047882
2743_recA_T20_zncat,3.555397035
2743_recA_T60_zncat,4.450516249
2743_recA_T60_zncat,4.316049151
2743_recA_T60_zncat,4.432274556
2743_recA_T120_zncat,4.665432099
2743_recA_T120_zncat,4.14080586
2743_recA_T120_zncat,4.485500378
2743_recA_T20_CSP_zncat,4.039580876
2743_recA_T20_CSP_zncat,3.907477833
2743_recA_T20_CSP_zncat,3.923196147
2743_recA_T60_CSP_zncat,3.926033081
2743_recA_T60_CSP_zncat,4.171676073
2743_recA_T60_CSP_zncat,4.126269782
2743_recA_T120_CSP_zncat,4.421248255
2743_recA_T120_CSP_zncat,4.309177248
2743_recA_T120_CSP_zncat,4.325801067
2743_recA_T20_MMC_zncat,3.740779813
2743_recA_T20_MMC_zncat,3.846975319
2743_recA_T20_MMC_zncat,4.000488735
2743_recA_T60_MMC_zncat,9.14425674
2743_recA_T60_MMC_zncat,9.005524126
2743_recA_T60_MMC_zncat,8.78490156
2743_recA_T120_MMC_zncat,49.77916173
2743_recA_T120_MMC_zncat,52.8872545
2743_recA_T120_MMC_zncat,52.20071701
2743_recA_T0_zncat,6.435305699
2743_recA_T0_zncat,6.121782969
2743_recA_T0_zncat,6.122868928
2743_recA_T20_zncat,5.035582657
2743_recA_T20_zncat,5.503196056
2743_recA_T20_zncat,4.536172794
2743_recA_T60_zncat,5.751657706
2743_recA_T60_zncat,5.493797248
2743_recA_T60_zncat,5.976626722
2743_recA_T120_zncat,6.203985581
2743_recA_T120_zncat,4.891262428
2743_recA_T120_zncat,3.899337408
2743_recA_T20_CSP_zncat,7.767069749
2743_recA_T20_CSP_zncat,7.659052333
2743_recA_T20_CSP_zncat,7.719663001
2743_recA_T60_CSP_zncat,5.409011656
2743_recA_T60_CSP_zncat,5.199498076
2743_recA_T60_CSP_zncat,5.410978053
2743_recA_T120_CSP_zncat,4.632227463
2743_recA_T120_CSP_zncat,5.59725327
2743_recA_T120_CSP_zncat,5.332433034
2743_recA_T20_MMC_zncat,5.080869424
2743_recA_T20_MMC_zncat,5.615237932
2743_recA_T20_MMC_zncat,5.180569692
2743_recA_T60_MMC_zncat,9.67803494
2743_recA_T60_MMC_zncat,7.434826908
2743_recA_T60_MMC_zncat,9.141791681
2743_recA_T120_MMC_zncat,36.67310871
2743_recA_T120_MMC_zncat,37.79992253
2743_recA_T120_MMC_zncat,31.7514521
