mutants,gene,fold_change
2743_T0,comX,1.033736672
2743_T0,comX,1.006245063
2743_T0,comX,0.961360589
2743_T20,comX,1.150303792
2743_T20,comX,1.292042657
2743_T20,comX,1.289498277
2743_T20_CSP,comX,2.015578859
2743_T20_CSP,comX,1.991448654
2743_T20_CSP,comX,1.930020308
2743_T0,comX,1.12273018553336
2743_T0,comX,0.92213932065867
2743_T0,comX,0.96589214439793
2743_T20,comX,0.88897308151367
2743_T20,comX,0.88107867757820
2743_T20,comX,0.80941208191061
2743_T20_CSP,comX,1.07568175400713
2743_T20_CSP,comX,1.06982294778857
2743_T20_CSP,comX,1.20234110895498
2743_zncat_T0,comX,1.18735334293549
2743_zncat_T0,comX,0.93318201483069
2743_zncat_T20,comX,0.72091195240599
2743_zncat_T20,comX,0.83556045289815
2743_zncat_T20,comX,0.86071953166060
2743_zncat_T20_CSP,comX,1.55680467941029
2743_zncat_T20_CSP,comX,1.46002381089323
2743_zncat_T20_CSP,comX,1.16894136130181
2743_zncat_T0,comX,0.97973064830405
2743_zncat_T0,comX,1.04003428520927
2743_zncat_T0,comX,0.98139519479645
2743_zncat_T20,comX,1.52259383642559
2743_zncat_T20,comX,1.36621617300529
2743_zncat_T20,comX,1.55299137783682
2743_zncat_T20_CSP,comX,1.48573666907727
2743_zncat_T20_CSP,comX,1.51615187357760
2743_zncat_T20_CSP,comX,1.39922013518413
2743_zncat_T0,comX,0.97984463920161
2743_zncat_T0,comX,1.03808635941645
2743_zncat_T0,comX,0.98312885528191
2743_zncat_T20,comX,1.16668104549617
2743_zncat_T20,comX,1.21453261272839
2743_zncat_T20,comX,1.15381607557657
2743_zncat_T20_CSP,comX,1.53738412497922
2743_zncat_T20_CSP,comX,1.31473805618006
2743_zncat_T20_CSP,comX,1.29713791492255
