mutants,gene,fold_change
2743_zncat_T0,recA,0.796737487
2743_zncat_T0,recA,0.779506322
2743_zncat_T0,recA,1.610143312
2743_zncat_T20,recA,1.118358456
2743_zncat_T20,recA,1.065576928
2743_zncat_T20,recA,1.180162123
2743_zncat_T20_CSP,recA,1.444179981
2743_zncat_T20_CSP,recA,1.365517338
2743_zncat_T20_CSP,recA,1.254489812
2743_zncat_T0,recA,1.049067171
2743_zncat_T0,recA,1.049154552
2743_zncat_T0,recA,0.908567576
2743_zncat_T20,recA,1.793193536
2743_zncat_T20,recA,1.835429507
2743_zncat_T20,recA,2.201997787
2743_zncat_T20_CSP,recA,1.194177826
2743_zncat_T20_CSP,recA,1.194240979
2743_zncat_T20_CSP,recA,1.112209859
2743_zncat_T0,recA,1.030693473
2743_zncat_T0,recA,0.945400027
2743_zncat_T0,recA,1.026255359
2743_zncat_T20,recA,1.487953999
2743_zncat_T20,recA,1.298440186
2743_zncat_T20,recA,1.133373997
2743_zncat_T20_CSP,recA,0.898744851
2743_zncat_T20_CSP,recA,0.995892843
2743_zncat_T20_CSP,recA,0.949852582
T0_2743,recA,0.991929753
T0_2743,recA,1.070037956
T0_2743,recA,0.94215216
T20_2743,recA,1.879972148
T20_2743,recA,1.973046396
T20_2743,recA,1.900576871
T20_2743_CSP,recA,1.089527796
T20_2743_CSP,recA,1.481194417
T20_2743_CSP,recA,1.534715693
T0_2743,recA,0.821189956
T0_2743,recA,0.850379151
T0_2743,recA,1.432000577
T20_2743,recA,1.296445276
T20_2743,recA,1.140099227
T20_2743,recA,1.245710577
T20_2743_CSP,recA,1.029459649
T20_2743_CSP,recA,1.15345613
T20_2743_CSP,recA,1.117940105
T0_2743,recA,0.96209423
T0_2743,recA,1.02467863
T0_2743,recA,1.014370086
T20_2743,recA,1.187855775
T20_2743,recA,1.137126203
T20_2743,recA,1.205473482
T20_2743_CSP,recA,1.315325692
T20_2743_CSP,recA,1.29065807
T20_2743_CSP,recA,1.279259133
