OD600,control,control,control,MMC,MMC,MMC
00:00:00,0.172,0.178,0.174,0.161,0.17,0.164
00:30:00,0.198,0.202,0.2,0.183,0.193,0.189
01:00:00,0.233,0.245,0.239,0.221,0.236,0.226
01:30:00,0.292,0.311,0.307,0.281,0.3,0.296
02:00:00,0.331,0.339,0.339,0.298,0.314,0.298
02:30:00,0.362,0.366,0.36,0.269,0.288,0.27
03:00:00,0.349,0.357,0.356,0.222,0.241,0.218
03:30:00,0.342,0.355,0.355,0.185,0.197,0.185
04:00:00,0.348,0.365,0.363,0.163,0.176,0.166
04:30:00,0.378,0.372,0.373,0.156,0.166,0.154
05:00:00,0.382,0.368,0.368,0.149,0.158,0.145
05:30:00,0.376,0.365,0.362,0.143,0.151,0.14
06:00:00,0.383,0.355,0.352,0.139,0.145,0.136
06:30:00,0.374,0.342,0.341,0.134,0.141,0.131
07:00:00,0.368,0.326,0.327,0.128,0.136,0.128
07:30:00,0.353,0.315,0.316,0.124,0.134,0.123
08:00:00,0.339,0.305,0.303,0.121,0.128,0.119
08:30:00,0.333,0.288,0.293,0.115,0.122,0.114
09:00:00,0.33,0.276,0.282,0.111,0.119,0.111
09:30:00,0.323,0.265,0.27,0.106,0.113,0.104
10:00:00,0.318,0.257,0.261,0.102,0.108,0.102
10:30:00,0.318,0.252,0.258,0.098,0.105,0.1
11:00:00,0.317,0.246,0.249,0.093,0.1,0.096
11:30:00,0.316,0.238,0.243,0.091,0.098,0.093
12:00:00,0.312,0.236,0.237,0.087,0.094,0.091
12:30:00,0.317,0.231,0.232,0.085,0.091,0.088
13:00:00,0.314,0.228,0.228,0.082,0.089,0.086
13:30:00,0.31,0.223,0.223,0.079,0.084,0.083
14:00:00,0.315,0.221,0.218,0.078,0.083,0.082
14:30:00,0.287,0.217,0.217,0.077,0.082,0.08
15:00:00,0.293,0.212,0.211,0.074,0.079,0.078
15:30:00,0.29,0.21,0.206,0.071,0.077,0.077
16:00:00,0.271,0.208,0.204,0.071,0.076,0.074
16:30:00,0.264,0.202,0.198,0.069,0.074,0.073
17:00:00,0.258,0.198,0.196,0.068,0.072,0.072
17:30:00,0.245,0.196,0.191,0.067,0.07,0.07
18:00:00,0.236,0.191,0.186,0.065,0.07,0.069
18:30:00,0.226,0.187,0.184,0.065,0.068,0.069
19:00:00,0.216,0.184,0.18,0.065,0.068,0.068
19:30:00,0.211,0.182,0.177,0.063,0.067,0.067
20:00:00,0.205,0.178,0.175,0.062,0.066,0.066
20:30:00,0.198,0.179,0.173,0.062,0.066,0.066
