mutants,ADbyAB
RMV8_T0,0.054267341
RMV8_T0,0.051108171
RMV8_T0,0.051591866
RMV8_T20,0.04083556
RMV8_T20,0.041136288
RMV8_T20,0.041627946
RMV8_T60,0.108058037
RMV8_T60,0.105720369
RMV8_T60,0.110491892
RMV8_T120,0.079078318
RMV8_T120,0.071917694
RMV8_T120,0.067382971
RMV8_T20_CSP,0.038456384
RMV8_T20_CSP,0.034942755
RMV8_T20_CSP,0.039990909
RMV8_T60_CSP,0.218717128
RMV8_T60_CSP,0.210991869
RMV8_T60_CSP,0.192527375
RMV8_T120_CSP,0.189127246
RMV8_T120_CSP,0.189776691
RMV8_T120_CSP,0.180451039
RMV8_T20_MMC,0.056436695
RMV8_T20_MMC,0.057914654
RMV8_T20_MMC,0.047911904
RMV8_T60_MMC,0.529879438
RMV8_T60_MMC,0.539740501
RMV8_T60_MMC,0.476102756
RMV8_T120_MMC,0.787757625
RMV8_T120_MMC,0.724097262
RMV8_T120_MMC,0.729771404
RMV8_T0,0.038295606
RMV8_T0,0.039295512
RMV8_T0,0.037583634
RMV8_T20,0.033325607
RMV8_T20,0.031900291
RMV8_T20,0.032409035
RMV8_T60,0.023039755
RMV8_T60,0.021052141
RMV8_T60,0.022846525
RMV8_T120,0.009992891
RMV8_T120,0.010020096
RMV8_T120,0.010164549
RMV8_T20_CSP,0.032840576
RMV8_T20_CSP,0.033645099
RMV8_T20_CSP,0.033789439
RMV8_T60_CSP,0.062301574
RMV8_T60_CSP,0.062273552
RMV8_T60_CSP,0.063190014
RMV8_T120_CSP,0.031963374
RMV8_T120_CSP,0.033426405
RMV8_T120_CSP,0.032192215
RMV8_T20_MMC,0.034054083
RMV8_T20_MMC,0.033419968
RMV8_T20_MMC,0.034160288
RMV8_T60_MMC,0.042275962
RMV8_T60_MMC,0.042258986
RMV8_T60_MMC,0.042676852
RMV8_T120_MMC,0.072329671
RMV8_T120_MMC,0.077996714
RMV8_T120_MMC,0.071288375
RMV8_T0,0.006723531
RMV8_T0,0.007849539
RMV8_T0,0.007621123
RMV8_T20,0.008958191
RMV8_T20,0.008514942
RMV8_T20,0.007945325
RMV8_T60,0.013025927
RMV8_T60,0.013244549
RMV8_T60,0.013655803
RMV8_T120,0.012992542
RMV8_T120,0.01223873
RMV8_T120,0.01566943
RMV8_T20_CSP,0.011342877
RMV8_T20_CSP,0.01218922
RMV8_T20_CSP,0.011722725
RMV8_T60_CSP,0.192560778
RMV8_T60_CSP,0.187062927
RMV8_T60_CSP,0.186703137
RMV8_T120_CSP,0.118840323
RMV8_T120_CSP,0.103020043
RMV8_T120_CSP,0.113225271
RMV8_T20_MMC,0.01034152
RMV8_T20_MMC,0.011276018
RMV8_T20_MMC,0.011430842
RMV8_T60_MMC,0.080865648
RMV8_T60_MMC,0.081494449
RMV8_T60_MMC,0.081436378
RMV8_T120_MMC,0.242960646
RMV8_T120_MMC,0.239210479
RMV8_T120_MMC,0.274205511
