mutants,ADbyAB
RMV8_T0_hybrid,0.007179357
RMV8_T0_hybrid,0.006389357
RMV8_T0_hybrid,0.007021697
RMV8_T20_hybrid,0.011955961
RMV8_T20_hybrid,0.011685393
RMV8_T20_hybrid,0.011398867
RMV8_T60_hybrid,0.026564974
RMV8_T60_hybrid,0.024653429
RMV8_T60_hybrid,0.026925107
RMV8_T120_hybrid,0.018245575
RMV8_T120_hybrid,0.017755926
RMV8_T120_hybrid,0.012435533
RMV8_T20_CSP_hybrid,0.010362793
RMV8_T20_CSP_hybrid,0.00996455
RMV8_T20_CSP_hybrid,0.010928233
RMV8_T60_CSP_hybrid,0.147915392
RMV8_T60_CSP_hybrid,0.161234582
RMV8_T60_CSP_hybrid,0.178485481
RMV8_T120_CSP_hybrid,0.175011768
RMV8_T120_CSP_hybrid,0.15667274
RMV8_T120_CSP_hybrid,0.172705146
RMV8_T20_MMC_hybrid,0.023339928
RMV8_T20_MMC_hybrid,0.025519208
RMV8_T20_MMC_hybrid,0.023606612
RMV8_T60_MMC_hybrid,0.241424007
RMV8_T60_MMC_hybrid,0.229778597
RMV8_T60_MMC_hybrid,0.220251437
RMV8_T120_MMC_hybrid,0.321369424
RMV8_T120_MMC_hybrid,0.312305314
RMV8_T120_MMC_hybrid,0.294208801
RMV8_T0_hybrid,0.003695918
RMV8_T0_hybrid,0.003511093
RMV8_T0_hybrid,0.003547834
RMV8_T20_hybrid,0.005062462
RMV8_T20_hybrid,0.00542295
RMV8_T20_hybrid,0.004764043
RMV8_T60_hybrid,0.006190133
RMV8_T60_hybrid,0.006207706
RMV8_T60_hybrid,0.005984538
RMV8_T120_hybrid,0.004312951
RMV8_T120_hybrid,0.004187579
RMV8_T120_hybrid,0.004197629
RMV8_T20_CSP_hybrid,0.004115716
RMV8_T20_CSP_hybrid,0.004103722
RMV8_T20_CSP_hybrid,0.004349833
RMV8_T60_CSP_hybrid,0.022670624
RMV8_T60_CSP_hybrid,0.022446654
RMV8_T60_CSP_hybrid,0.022278007
RMV8_T120_CSP_hybrid,0.034854282
RMV8_T120_CSP_hybrid,0.034405787
RMV8_T120_CSP_hybrid,0.034324825
RMV8_T20_MMC_hybrid,0.005821199
RMV8_T20_MMC_hybrid,0.00545158
RMV8_T20_MMC_hybrid,0.00542647
RMV8_T60_MMC_hybrid,0.018234598
RMV8_T60_MMC_hybrid,0.018785429
RMV8_T60_MMC_hybrid,0.017401471
RMV8_T120_MMC_hybrid,0.028085829
RMV8_T120_MMC_hybrid,0.027488937
RMV8_T0_hybrid,0.00138718
RMV8_T0_hybrid,0.001508217
RMV8_T0_hybrid,0.001434888
RMV8_T20_hybrid,0.001341081
RMV8_T20_hybrid,0.001508828
RMV8_T20_hybrid,0.001441168
RMV8_T60_hybrid,0.001953007
RMV8_T60_hybrid,0.002007101
RMV8_T60_hybrid,0.002089492
RMV8_T120_hybrid,0.001718961
RMV8_T120_hybrid,0.001769689
RMV8_T120_hybrid,0.004725657
RMV8_T20_CSP_hybrid,0.00145666
RMV8_T20_CSP_hybrid,0.001496766
RMV8_T20_CSP_hybrid,0.001362409
RMV8_T60_CSP_hybrid,0.003078847
RMV8_T60_CSP_hybrid,0.002993616
RMV8_T60_CSP_hybrid,0.003151546
RMV8_T120_CSP_hybrid,0.002729275
RMV8_T120_CSP_hybrid,0.002786234
RMV8_T120_CSP_hybrid,0.002829861
RMV8_T20_MMC_hybrid,0.00203117
RMV8_T20_MMC_hybrid,0.002172032
RMV8_T20_MMC_hybrid,0.002043139
RMV8_T60_MMC_hybrid,0.024745383
RMV8_T60_MMC_hybrid,0.025463209
RMV8_T60_MMC_hybrid,0.024509877
RMV8_T120_MMC_hybrid,0.040416754
RMV8_T120_MMC_hybrid,0.0435908
RMV8_T120_MMC_hybrid,0.041559208
