mutants,gene,fold_change
RMV8_T0_hybrid,int,1.748595812
RMV8_T0_hybrid,int,1.745297716
RMV8_T0_hybrid,int,1.990175644
RMV8_T0_hybrid,lytA,0.115446479
RMV8_T0_hybrid,lytA,0.095989264
RMV8_T0_hybrid,lytA,0.099651337
RMV8_T0_hybrid,recA,1.363747873
RMV8_T0_hybrid,recA,1.332225089
RMV8_T0_hybrid,recA,1.334456761
RMV8_T0_hybrid,rep_dnaC,0.517626257
RMV8_T0_hybrid,rep_dnaC,0.496592343
RMV8_T0_hybrid,rep_dnaC,0.532097441
RMV8_T20_hybrid,int,2.463353331
RMV8_T20_hybrid,int,2.329454772
RMV8_T20_hybrid,int,2.497051191
RMV8_T20_hybrid,lytA,0.166413007
RMV8_T20_hybrid,lytA,0.146550277
RMV8_T20_hybrid,lytA,0.160650337
RMV8_T20_hybrid,recA,1.485864788
RMV8_T20_hybrid,recA,1.46078496
RMV8_T20_hybrid,recA,1.394188714
RMV8_T20_hybrid,rep_dnaC,0.966770254
RMV8_T20_hybrid,rep_dnaC,1.032883308
RMV8_T20_hybrid,rep_dnaC,1.037610694
RMV8_T60_hybrid,int,1.462655836
RMV8_T60_hybrid,int,1.565796798
RMV8_T60_hybrid,int,1.528338286
RMV8_T60_hybrid,lytA,0.129390958
RMV8_T60_hybrid,lytA,0.127801183
RMV8_T60_hybrid,lytA,0.134319522
RMV8_T60_hybrid,recA,1.138502948
RMV8_T60_hybrid,recA,1.088028215
RMV8_T60_hybrid,recA,1.07132781
RMV8_T60_hybrid,rep_dnaC,0.693924897
RMV8_T60_hybrid,rep_dnaC,0.776009582
RMV8_T60_hybrid,rep_dnaC,0.791497896
RMV8_T120_hybrid,int,2.434564008
RMV8_T120_hybrid,int,2.259675597
RMV8_T120_hybrid,int,2.46774406
RMV8_T120_hybrid,lytA,0.488456869
RMV8_T120_hybrid,lytA,0.545800637
RMV8_T120_hybrid,lytA,0.511575232
RMV8_T120_hybrid,recA,1.992966334
RMV8_T120_hybrid,recA,1.929709601
RMV8_T120_hybrid,recA,1.891630718
RMV8_T120_hybrid,rep_dnaC,2.256141215
RMV8_T120_hybrid,rep_dnaC,2.225956351
RMV8_T120_hybrid,rep_dnaC,2.255389679
RMV8_T20_CSP_hybrid,int,1.731755261
RMV8_T20_CSP_hybrid,int,2.059682519
RMV8_T20_CSP_hybrid,int,1.994110479
RMV8_T20_CSP_hybrid,lytA,0.146908183
RMV8_T20_CSP_hybrid,lytA,0.134597011
RMV8_T20_CSP_hybrid,lytA,0.133951016
RMV8_T20_CSP_hybrid,recA,21.0925701
RMV8_T20_CSP_hybrid,recA,21.08231057
RMV8_T20_CSP_hybrid,recA,20.80388105
RMV8_T20_CSP_hybrid,rep_dnaC,0.889155662
RMV8_T20_CSP_hybrid,rep_dnaC,0.880822836
RMV8_T20_CSP_hybrid,rep_dnaC,0.883175959
RMV8_T60_CSP_hybrid,int,3.883712063
RMV8_T60_CSP_hybrid,int,4.014300368
RMV8_T60_CSP_hybrid,int,4.107498767
RMV8_T60_CSP_hybrid,lytA,0.082781433
RMV8_T60_CSP_hybrid,lytA,0.080823171
RMV8_T60_CSP_hybrid,lytA,0.081344154
RMV8_T60_CSP_hybrid,recA,2.272131314
RMV8_T60_CSP_hybrid,recA,2.288383317
RMV8_T60_CSP_hybrid,recA,2.272428722
RMV8_T60_CSP_hybrid,rep_dnaC,1.008269642
RMV8_T60_CSP_hybrid,rep_dnaC,0.993481482
RMV8_T60_CSP_hybrid,rep_dnaC,1.023029032
RMV8_T120_CSP_hybrid,int,3.298399514
RMV8_T120_CSP_hybrid,int,3.197984189
RMV8_T120_CSP_hybrid,int,3.235895262
RMV8_T120_CSP_hybrid,lytA,0.597518586
RMV8_T120_CSP_hybrid,lytA,0.709221861
RMV8_T120_CSP_hybrid,lytA,0.572282595
RMV8_T120_CSP_hybrid,recA,3.853586429
RMV8_T120_CSP_hybrid,recA,3.866139852
RMV8_T120_CSP_hybrid,recA,3.588854537
RMV8_T120_CSP_hybrid,rep_dnaC,7.06535163
RMV8_T120_CSP_hybrid,rep_dnaC,7.322469849
RMV8_T120_CSP_hybrid,rep_dnaC,6.91176228
RMV8_T20_MMC_hybrid,int,2.009056373
RMV8_T20_MMC_hybrid,int,1.724302969
RMV8_T20_MMC_hybrid,int,1.756584997
RMV8_T20_MMC_hybrid,lytA,0.071608279
RMV8_T20_MMC_hybrid,lytA,0.068444705
RMV8_T20_MMC_hybrid,lytA,0.068169089
RMV8_T20_MMC_hybrid,recA,1.12559447
RMV8_T20_MMC_hybrid,recA,1.034605179
RMV8_T20_MMC_hybrid,recA,1.10921603
RMV8_T20_MMC_hybrid,rep_dnaC,0.45038969
RMV8_T20_MMC_hybrid,rep_dnaC,0.431065484
RMV8_T20_MMC_hybrid,rep_dnaC,0.428006904
RMV8_T60_MMC_hybrid,int,2.163046152
RMV8_T60_MMC_hybrid,int,1.87189523
RMV8_T60_MMC_hybrid,int,1.470640686
RMV8_T60_MMC_hybrid,lytA,0.222670048
RMV8_T60_MMC_hybrid,lytA,0.197601228
RMV8_T60_MMC_hybrid,lytA,0.194387191
RMV8_T60_MMC_hybrid,recA,1.419361243
RMV8_T60_MMC_hybrid,recA,1.486359904
RMV8_T60_MMC_hybrid,recA,1.407519539
RMV8_T60_MMC_hybrid,rep_dnaC,1.176072501
RMV8_T60_MMC_hybrid,rep_dnaC,1.215108125
RMV8_T60_MMC_hybrid,rep_dnaC,1.255107489
RMV8_T120_MMC_hybrid,int,6.008561348
RMV8_T120_MMC_hybrid,int,6.952922466
