mutants,gene,fold_change
Hybrid_recA_T0,rpoA,0.936764237
Hybrid_recA_T0,rpoA,0.961781379
Hybrid_recA_T0,rpoA,1.109922766
Hybrid_recA_T0,int,0.984644252
Hybrid_recA_T0,int,0.991508882
Hybrid_recA_T0,int,1.024293968
Hybrid_recA_T0,dnaC,1.010583281
Hybrid_recA_T0,dnaC,0.974984633
Hybrid_recA_T0,dnaC,1.014918733
Hybrid_recA_T0,lytA,0.969024537
Hybrid_recA_T0,lytA,0.902261676
Hybrid_recA_T0,lytA,1.143755746
Hybrid_recA_T0,comEA,0.991716017
Hybrid_recA_T0,comEA,1.092828502
Hybrid_recA_T0,comEA,0.922702733
Hybrid_recA_T0,immA_2743,1.020151768
Hybrid_recA_T0,immA_2743,0.993919835
Hybrid_recA_T0,immA_2743,0.986242823
Hybrid_recA_T20,rpoA,0.955351148
Hybrid_recA_T20,rpoA,1.009240093
Hybrid_recA_T20,rpoA,1.037152158
Hybrid_recA_T20,int,1.41211172
Hybrid_recA_T20,int,1.507674729
Hybrid_recA_T20,int,1.452315476
Hybrid_recA_T20,dnaC,1.311755251
Hybrid_recA_T20,dnaC,1.351638687
Hybrid_recA_T20,dnaC,1.284784586
Hybrid_recA_T20,lytA,0.881983065
Hybrid_recA_T20,lytA,0.866452106
Hybrid_recA_T20,lytA,0.849767771
Hybrid_recA_T20,comEA,1.421351309
Hybrid_recA_T20,comEA,1.502312462
Hybrid_recA_T20,comEA,1.440695878
Hybrid_recA_T20,immA_2743,1.356481082
Hybrid_recA_T20,immA_2743,1.314498209
Hybrid_recA_T20,immA_2743,1.315626566
Hybrid_recA_T60,rpoA,0.97521797
Hybrid_recA_T60,rpoA,1.025106805
Hybrid_recA_T60,rpoA,1.000296188
Hybrid_recA_T60,int,1.448239144
Hybrid_recA_T60,int,1.429377101
Hybrid_recA_T60,int,1.364956
Hybrid_recA_T60,dnaC,1.393593072
Hybrid_recA_T60,dnaC,1.413447196
Hybrid_recA_T60,dnaC,1.360496984
Hybrid_recA_T60,lytA,1.605104001
Hybrid_recA_T60,lytA,1.608224344
Hybrid_recA_T60,lytA,1.567022085
Hybrid_recA_T60,comEA,1.003333201
Hybrid_recA_T60,comEA,0.933027811
Hybrid_recA_T60,comEA,0.992888853
Hybrid_recA_T60,immA_2743,1.408075628
Hybrid_recA_T60,immA_2743,1.348543637
Hybrid_recA_T60,immA_2743,1.351826331
Hybrid_recA_T120,rpoA,0.950715691
Hybrid_recA_T120,rpoA,1.036042087
Hybrid_recA_T120,rpoA,1.015247527
Hybrid_recA_T120,int,1.178415924
Hybrid_recA_T120,int,1.16798359
Hybrid_recA_T120,int,1.186167191
Hybrid_recA_T120,dnaC,1.741650438
Hybrid_recA_T120,dnaC,1.492118444
Hybrid_recA_T120,dnaC,1.627943482
Hybrid_recA_T120,lytA,1.755242427
Hybrid_recA_T120,lytA,1.794877547
Hybrid_recA_T120,lytA,1.764579578
Hybrid_recA_T120,comEA,0.707835402
Hybrid_recA_T120,comEA,0.729775487
Hybrid_recA_T120,comEA,0.71658174
Hybrid_recA_T120,immA_2743,1.413495782
Hybrid_recA_T120,immA_2743,1.410324347
Hybrid_recA_T120,immA_2743,1.357984756
Hybrid_recA_T20_CSP,rpoA,0.958600158
Hybrid_recA_T20_CSP,rpoA,1.035968125
Hybrid_recA_T20_CSP,rpoA,1.006971685
Hybrid_recA_T20_CSP,int,1.515033795
Hybrid_recA_T20_CSP,int,1.512890115
Hybrid_recA_T20_CSP,int,1.330489188
Hybrid_recA_T20_CSP,dnaC,1.657178775
Hybrid_recA_T20_CSP,dnaC,1.69118414
Hybrid_recA_T20_CSP,dnaC,1.741031151
