OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.089,0.09,0.091,0.091,0.093,0.092,0.113,0.11,0.111,0.093,0.091,0.091,0.096,0.097,0.095,0.101,0.095,0.099,0.094,0.095,0.1,0.097,0.099,0.092
00:30:00,0.103,0.105,0.103,0.104,0.105,0.105,0.126,0.126,0.127,0.106,0.104,0.106,0.106,0.106,0.106,0.111,0.109,0.107,0.106,0.107,0.109,0.109,0.104,0.104
01:00:00,0.111,0.115,0.114,0.113,0.115,0.116,0.128,0.129,0.13,0.116,0.112,0.115,0.111,0.116,0.115,0.121,0.117,0.115,0.117,0.116,0.118,0.117,0.11,0.112
01:30:00,0.126,0.135,0.137,0.134,0.137,0.136,0.136,0.133,0.135,0.136,0.133,0.134,0.131,0.138,0.137,0.135,0.13,0.129,0.134,0.134,0.134,0.138,0.128,0.135
02:00:00,0.186,0.185,0.189,0.171,0.174,0.176,0.159,0.158,0.159,0.187,0.183,0.184,0.182,0.188,0.187,0.127,0.123,0.123,0.179,0.181,0.177,0.188,0.177,0.189
02:30:00,0.28,0.277,0.289,0.224,0.233,0.236,0.198,0.197,0.198,0.279,0.266,0.265,0.274,0.269,0.27,0.097,0.088,0.091,0.245,0.245,0.244,0.293,0.266,0.28
03:00:00,0.41,0.413,0.441,0.302,0.314,0.32,0.256,0.267,0.272,0.425,0.407,0.391,0.404,0.405,0.419,0.075,0.067,0.07,0.354,0.355,0.349,0.447,0.415,0.418
03:30:00,0.454,0.461,0.474,0.393,0.406,0.415,0.362,0.366,0.393,0.466,0.448,0.436,0.455,0.455,0.461,0.061,0.055,0.054,0.429,0.434,0.414,0.469,0.445,0.441
04:00:00,0.467,0.495,0.5,0.449,0.447,0.448,0.424,0.424,0.438,0.491,0.47,0.455,0.462,0.479,0.487,0.052,0.047,0.046,0.44,0.443,0.447,0.488,0.453,0.451
04:30:00,0.471,0.527,0.521,0.449,0.456,0.464,0.454,0.465,0.465,0.519,0.483,0.455,0.468,0.511,0.516,0.047,0.042,0.04,0.467,0.471,0.456,0.502,0.453,0.455
05:00:00,0.482,0.553,0.533,0.454,0.464,0.471,0.464,0.472,0.472,0.526,0.486,0.449,0.493,0.539,0.527,0.042,0.038,0.036,0.486,0.488,0.485,0.532,0.452,0.449
05:30:00,0.536,0.548,0.536,0.464,0.478,0.484,0.472,0.481,0.482,0.532,0.527,0.453,0.518,0.553,0.523,0.039,0.034,0.033,0.488,0.491,0.514,0.544,0.503,0.465
06:00:00,0.58,0.558,0.55,0.463,0.478,0.483,0.484,0.494,0.495,0.545,0.561,0.483,0.541,0.534,0.528,0.035,0.033,0.03,0.493,0.492,0.515,0.542,0.551,0.521
06:30:00,0.595,0.56,0.553,0.454,0.469,0.479,0.489,0.502,0.5,0.55,0.557,0.529,0.553,0.523,0.525,0.033,0.031,0.028,0.492,0.492,0.504,0.551,0.565,0.546
07:00:00,0.602,0.562,0.555,0.448,0.463,0.471,0.492,0.509,0.508,0.548,0.562,0.555,0.557,0.514,0.524,0.029,0.029,0.026,0.5,0.496,0.504,0.552,0.585,0.567
07:30:00,0.607,0.558,0.553,0.438,0.454,0.466,0.5,0.516,0.519,0.549,0.563,0.563,0.551,0.504,0.524,0.029,0.026,0.023,0.502,0.499,0.502,0.549,0.586,0.58
08:00:00,0.613,0.555,0.546,0.428,0.447,0.459,0.501,0.518,0.518,0.543,0.556,0.558,0.541,0.494,0.517,0.028,0.024,0.022,0.493,0.487,0.504,0.544,0.585,0.591
08:30:00,0.608,0.55,0.542,0.422,0.437,0.45,0.494,0.514,0.516,0.529,0.556,0.565,0.547,0.487,0.51,0.026,0.023,0.021,0.494,0.49,0.497,0.534,0.586,0.573
09:00:00,0.604,0.547,0.541,0.416,0.434,0.447,0.497,0.519,0.519,0.533,0.58,0.565,0.543,0.475,0.499,0.023,0.023,0.019,0.492,0.486,0.494,0.526,0.591,0.58
09:30:00,0.612,0.549,0.536,0.41,0.428,0.438,0.497,0.521,0.523,0.53,0.588,0.566,0.539,0.467,0.493,0.024,0.021,0.019,0.489,0.481,0.481,0.521,0.591,0.594
10:00:00,0.617,0.54,0.524,0.397,0.414,0.428,0.496,0.522,0.52,0.519,0.586,0.559,0.53,0.455,0.48,0.022,0.02,0.018,0.484,0.475,0.478,0.52,0.59,0.584
