mutants,phage,ratio
K13_T0,comYC_croCI,0.834363634
K13_T0,comYC_croCI,0.90269256
K13_T0,comYC_croCI,0.830265559
K13_T0,MM1_immA,0.271953406
K13_T0,MM1_immA,0.346681127
K13_T0,MM1_immA,0.520426006
K13_T20,comYC_croCI,0.824282227
K13_T20,comYC_croCI,0.836889344
K13_T20,comYC_croCI,0.862989333
K13_T20,MM1_immA,0.435902466
K13_T20,MM1_immA,0.420918369
K13_T20,MM1_immA,0.599309404
K13_T60,comYC_croCI,1.041068599
K13_T60,comYC_croCI,1.300222047
K13_T60,comYC_croCI,1.148425539
K13_T60,MM1_immA,0.480880897
K13_T60,MM1_immA,0.611430614
K13_T60,MM1_immA,0.534915613
K13_T120,comYC_croCI,2.199579745
K13_T120,comYC_croCI,2.302886327
K13_T120,comYC_croCI,2.253871819
K13_T120,MM1_immA,0.898220743
K13_T120,MM1_immA,0.989762447
K13_T120,MM1_immA,1.367567878
K13_T20_CSP,comYC_croCI,1.017946564
K13_T20_CSP,comYC_croCI,1.071532693
K13_T20_CSP,comYC_croCI,1.23868818
K13_T20_CSP,MM1_immA,0.523257513
K13_T20_CSP,MM1_immA,0.53173285
K13_T20_CSP,MM1_immA,0.784522811
K13_T60_CSP,comYC_croCI,0.710773848
K13_T60_CSP,comYC_croCI,0.696741234
K13_T60_CSP,comYC_croCI,0.68728118
K13_T60_CSP,MM1_immA,0.33812761
K13_T60_CSP,MM1_immA,0.467708915
K13_T60_CSP,MM1_immA,0.485486973
K13_T120_CSP,comYC_croCI,1.298390423
K13_T120_CSP,comYC_croCI,1.756659372
K13_T120_CSP,comYC_croCI,1.793636509
K13_T120_CSP,MM1_immA,1.02841517
K13_T120_CSP,MM1_immA,1.214272892
K13_T120_CSP,MM1_immA,0.755302902
K13_T20_MMC,comYC_croCI,0.930606477
K13_T20_MMC,comYC_croCI,0.627182485
K13_T20_MMC,comYC_croCI,0.73073519
K13_T20_MMC,MM1_immA,0.42170848
K13_T20_MMC,MM1_immA,0.45475678
K13_T20_MMC,MM1_immA,0.644519745
K13_T60_MMC,comYC_croCI,0.97802935
K13_T60_MMC,comYC_croCI,1.016413719
K13_T60_MMC,comYC_croCI,1.033275393
K13_T60_MMC,MM1_immA,0.43422851
K13_T60_MMC,MM1_immA,0.601052952
K13_T60_MMC,MM1_immA,0.617767872
K13_T120_MMC,comYC_croCI,3.918862177
K13_T120_MMC,comYC_croCI,4.264538058
K13_T120_MMC,comYC_croCI,3.214707093
K13_T120_MMC,MM1_immA,3.164
K13_T120_MMC,MM1_immA,3.485949169
K13_T120_MMC,MM1_immA,4.278186132
