OD600,control,control,control,MMC,MMC,MMC,control_IPTG,control_IPTG,control_IPTG,MMC_IPTG,MMC_IPTG,MMC_IPTG
00:00:00,0.09,0.093,0.094,0.087,0.094,0.095,0.091,0.095,0.093,0.098,0.094,0.1
00:30:00,0.105,0.112,0.113,0.103,0.112,0.11,0.105,0.111,0.108,0.113,0.105,0.108
01:00:00,0.129,0.136,0.135,0.121,0.134,0.135,0.13,0.137,0.132,0.141,0.132,0.138
01:30:00,0.165,0.178,0.182,0.165,0.174,0.172,0.176,0.176,0.175,0.18,0.168,0.177
02:00:00,0.231,0.235,0.245,0.2,0.214,0.212,0.24,0.242,0.238,0.239,0.225,0.237
02:30:00,0.314,0.317,0.333,0.248,0.264,0.261,0.331,0.335,0.331,0.296,0.279,0.295
03:00:00,0.4,0.413,0.417,0.293,0.311,0.298,0.404,0.421,0.412,0.366,0.338,0.362
03:30:00,0.407,0.422,0.429,0.333,0.36,0.345,0.418,0.429,0.414,0.397,0.373,0.397
04:00:00,0.4,0.433,0.446,0.343,0.367,0.358,0.431,0.443,0.427,0.41,0.38,0.403
04:30:00,0.395,0.447,0.446,0.333,0.36,0.351,0.431,0.443,0.426,0.397,0.39,0.413
05:00:00,0.416,0.445,0.452,0.328,0.353,0.347,0.437,0.451,0.432,0.399,0.387,0.42
05:30:00,0.435,0.442,0.451,0.318,0.344,0.341,0.436,0.451,0.432,0.391,0.371,0.413
06:00:00,0.449,0.438,0.452,0.31,0.338,0.334,0.434,0.449,0.43,0.382,0.37,0.413
06:30:00,0.462,0.438,0.451,0.306,0.333,0.332,0.43,0.449,0.429,0.378,0.358,0.402
07:00:00,0.469,0.437,0.453,0.299,0.325,0.328,0.43,0.447,0.428,0.374,0.35,0.389
07:30:00,0.463,0.433,0.453,0.293,0.319,0.32,0.431,0.446,0.425,0.368,0.34,0.385
08:00:00,0.465,0.434,0.453,0.286,0.313,0.316,0.426,0.447,0.422,0.362,0.333,0.378
08:30:00,0.47,0.431,0.452,0.28,0.306,0.309,0.424,0.445,0.42,0.356,0.326,0.364
09:00:00,0.462,0.43,0.452,0.273,0.3,0.304,0.424,0.444,0.419,0.347,0.32,0.366
09:30:00,0.462,0.426,0.451,0.268,0.292,0.297,0.417,0.44,0.415,0.344,0.313,0.363
10:00:00,0.462,0.426,0.448,0.26,0.289,0.292,0.417,0.439,0.413,0.337,0.303,0.363
10:30:00,0.458,0.425,0.447,0.255,0.281,0.286,0.415,0.437,0.411,0.332,0.3,0.352
11:00:00,0.459,0.424,0.446,0.249,0.273,0.28,0.411,0.431,0.407,0.328,0.292,0.351
11:30:00,0.455,0.421,0.444,0.242,0.266,0.272,0.409,0.43,0.406,0.321,0.284,0.347
12:00:00,0.446,0.417,0.442,0.235,0.259,0.266,0.405,0.425,0.403,0.317,0.282,0.346
12:30:00,0.456,0.414,0.438,0.228,0.25,0.258,0.398,0.422,0.399,0.313,0.275,0.347
13:00:00,0.457,0.412,0.434,0.22,0.244,0.25,0.397,0.421,0.397,0.304,0.265,0.341
13:30:00,0.443,0.405,0.429,0.215,0.238,0.245,0.396,0.417,0.392,0.299,0.262,0.33
14:00:00,0.443,0.399,0.425,0.209,0.231,0.24,0.392,0.412,0.392,0.292,0.257,0.329
14:30:00,0.441,0.391,0.423,0.204,0.222,0.231,0.383,0.403,0.386,0.287,0.251,0.321
15:00:00,0.439,0.389,0.417,0.194,0.214,0.223,0.379,0.395,0.379,0.279,0.245,0.314
15:30:00,0.442,0.382,0.411,0.189,0.206,0.216,0.371,0.389,0.374,0.273,0.239,0.312
16:00:00,0.436,0.379,0.406,0.182,0.198,0.209,0.362,0.381,0.366,0.268,0.234,0.304
16:30:00,0.438,0.371,0.4,0.178,0.192,0.202,0.354,0.374,0.361,0.258,0.225,0.296
17:00:00,0.445,0.365,0.393,0.172,0.188,0.198,0.345,0.366,0.353,0.255,0.221,0.29
17:30:00,0.443,0.359,0.386,0.168,0.183,0.192,0.337,0.357,0.349,0.247,0.215,0.28
18:00:00,0.441,0.355,0.379,0.161,0.176,0.186,0.328,0.349,0.34,0.238,0.209,0.273
18:30:00,0.432,0.348,0.375,0.159,0.172,0.181,0.322,0.34,0.331,0.232,0.202,0.269
19:00:00,0.427,0.341,0.367,0.154,0.168,0.178,0.314,0.332,0.323,0.226,0.197,0.262
19:30:00,0.431,0.334,0.36,0.15,0.164,0.173,0.303,0.32,0.312,0.218,0.191,0.259
20:00:00,0.421,0.329,0.353,0.147,0.16,0.17,0.296,0.314,0.304,0.215,0.189,0.256
20:30:00,0.403,0.321,0.341,0.142,0.154,0.165,0.282,0.301,0.295,0.208,0.184,0.252
,0.092,0.092,0.092,0.092,0.092,0.092,0.093,0.093,0.093,0.097,0.097,0.097
,0.11,0.11,0.11,0.108,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.109
,0.133,0.133,0.133,0.13,0.13,0.13,0.133,0.133,0.133,0.137,0.137,0.137
,0.175,0.175,0.175,0.17,0.17,0.17,0.176,0.176,0.176,0.175,0.175,0.175
,0.237,0.237,0.237,0.209,0.209,0.209,0.24,0.24,0.24,0.234,0.234,0.234
,0.321,0.321,0.321,0.258,0.258,0.258,0.332,0.332,0.332,0.29,0.29,0.29
,0.41,0.41,0.41,0.3,0.3,0.3,0.412,0.412,0.412,0.355,0.355,0.355
,0.419,0.419,0.419,0.346,0.346,0.346,0.42,0.42,0.42,0.389,0.389,0.389
,0.426,0.426,0.426,0.356,0.356,0.356,0.433,0.433,0.433,0.398,0.398,0.398
,0.429,0.429,0.429,0.348,0.348,0.348,0.433,0.433,0.433,0.4,0.4,0.4
,0.437,0.437,0.437,0.343,0.343,0.343,0.44,0.44,0.44,0.402,0.402,0.402
,0.443,0.443,0.443,0.334,0.334,0.334,0.44,0.44,0.44,0.392,0.392,0.392
,0.446,0.446,0.446,0.327,0.327,0.327,0.438,0.438,0.438,0.388,0.388,0.388
,0.45,0.45,0.45,0.324,0.324,0.324,0.436,0.436,0.436,0.38,0.38,0.38
,0.453,0.453,0.453,0.317,0.317,0.317,0.435,0.435,0.435,0.371,0.371,0.371
,0.45,0.45,0.45,0.311,0.311,0.311,0.434,0.434,0.434,0.364,0.364,0.364
,0.45,0.45,0.45,0.305,0.305,0.305,0.431,0.431,0.431,0.358,0.358,0.358
,0.451,0.451,0.451,0.298,0.298,0.298,0.43,0.43,0.43,0.349,0.349,0.349
,0.448,0.448,0.448,0.292,0.292,0.292,0.429,0.429,0.429,0.344,0.344,0.344
,0.446,0.446,0.446,0.285,0.285,0.285,0.424,0.424,0.424,0.34,0.34,0.34
,0.446,0.446,0.446,0.28,0.28,0.28,0.423,0.423,0.423,0.334,0.334,0.334
,0.443,0.443,0.443,0.274,0.274,0.274,0.421,0.421,0.421,0.328,0.328,0.328
,0.443,0.443,0.443,0.267,0.267,0.267,0.417,0.417,0.417,0.324,0.324,0.324
,0.44,0.44,0.44,0.26,0.26,0.26,0.415,0.415,0.415,0.317,0.317,0.317
,0.435,0.435,0.435,0.253,0.253,0.253,0.411,0.411,0.411,0.315,0.315,0.315
,0.436,0.436,0.436,0.245,0.245,0.245,0.406,0.406,0.406,0.311,0.311,0.311
,0.434,0.434,0.434,0.238,0.238,0.238,0.405,0.405,0.405,0.303,0.303,0.303
,0.426,0.426,0.426,0.233,0.233,0.233,0.402,0.402,0.402,0.297,0.297,0.297
,0.422,0.422,0.422,0.227,0.227,0.227,0.399,0.399,0.399,0.292,0.292,0.292
,0.418,0.418,0.418,0.219,0.219,0.219,0.391,0.391,0.391,0.286,0.286,0.286
,0.415,0.415,0.415,0.21,0.21,0.21,0.384,0.384,0.384,0.28,0.28,0.28
,0.412,0.412,0.412,0.204,0.204,0.204,0.378,0.378,0.378,0.275,0.275,0.275
,0.407,0.407,0.407,0.197,0.197,0.197,0.37,0.37,0.37,0.268,0.268,0.268
,0.403,0.403,0.403,0.191,0.191,0.191,0.363,0.363,0.363,0.26,0.26,0.26
,0.401,0.401,0.401,0.186,0.186,0.186,0.354,0.354,0.354,0.256,0.256,0.256
,0.396,0.396,0.396,0.181,0.181,0.181,0.348,0.348,0.348,0.248,0.248,0.248
,0.392,0.392,0.392,0.174,0.174,0.174,0.339,0.339,0.339,0.24,0.24,0.24
,0.385,0.385,0.385,0.17,0.17,0.17,0.331,0.331,0.331,0.234,0.234,0.234
,0.378,0.378,0.378,0.167,0.167,0.167,0.323,0.323,0.323,0.228,0.228,0.228
,0.375,0.375,0.375,0.162,0.162,0.162,0.311,0.311,0.311,0.223,0.223,0.223
,0.367,0.367,0.367,0.159,0.159,0.159,0.305,0.305,0.305,0.22,0.22,0.22
,0.355,0.355,0.355,0.154,0.154,0.154,0.292,0.292,0.292,0.215,0.215,0.215
