mutants,Transformation_efficiency
R6x,21.8115942
dut_KO,0.026595745
dut_KO,0.880398671
R6x,7.580645161
dut_KO,0.369811321
restored_scRNA,4.150943396
R6x,5.769230769
dut_KO,0.116438356
restored_scRNA,16.82242991
R6x,9.009009009
dut_KO,0.088405797
R6x,6.577946768
R6x,8.605769231
dut_KO,0.155844156
restored_scRNA,37.75862069
restored_scRNA,17.38636364
restored_scRNA,45.84615385
scRNA_two_SNPs,13.37209302
scRNA_two_SNPs,11.11111111
scRNA_two_SNPs,1.678403756
scRNA_two_SNPs,3.026315789
dut_KO,0.642857143
dut_KO,0.578034682
R6x,3.212290503
scRNA_two_SNPs,7.954545455
restored_scRNA,10.05128205
R6x,11.62790698
R6x,5.3125
scRNA_two_SNPs,0.829015544
restored_scRNA,39.33333333
R6x,2.325
scRNA_two_SNPs,2.352941176
restored_scRNA,2.278481013
dut_KO,0
Modified_scRNA,1
restored_scRNA,12.12765957
R6x,23.91304348
Modified_scRNA,0.040650407
restored_scRNA,36.66666667
Modified_scRNA,0.079365079
Modified_scRNA,1.844660194
dut_KO,0.65625
restored_scRNA,7.075471698
R6x,17.97752809
R6x,5.37037037
restored_scRNA,21.70212766
dut_KO,0
Modified_scRNA,0.321428571
R6x,3.933333333
Modified_scRNA,0.113636364
Modified_scRNA,0.495049505
restored_scRNA,12.07920792
dut_KO,0.000757576
R6x,23.35766423
R6x,24.97652582
R6x,31.85714286
R6x,7.219251337
restored_scRNA,27.45098039
restored_scRNA,28.86792453
restored_scRNA,7.903225806
restored_scRNA,3.277777778
Modified_scRNA,0.015822785
