OD600,RMV4_prophage_KO,RMV4_prophage_KO,RMV4_prophage_KO,RMV4_prophage_KO_MMC,RMV4_prophage_KO_MMC,RMV4_prophage_KO_MMC
00:00:00,0.152,0.162,0.161,0.165,0.162,0.16
00:30:00,0.176,0.193,0.187,0.192,0.19,0.189
01:00:00,0.224,0.242,0.238,0.244,0.24,0.242
01:30:00,0.304,0.33,0.328,0.341,0.334,0.329
02:00:00,0.392,0.426,0.426,0.441,0.44,0.423
02:30:00,0.44,0.479,0.474,0.51,0.504,0.488
03:00:00,0.465,0.489,0.486,0.523,0.512,0.491
03:30:00,0.466,0.507,0.492,0.524,0.526,0.504
04:00:00,0.493,0.528,0.508,0.523,0.519,0.492
04:30:00,0.522,0.57,0.55,0.541,0.543,0.499
05:00:00,0.539,0.598,0.59,0.576,0.574,0.516
05:30:00,0.561,0.623,0.615,0.609,0.608,0.549
06:00:00,0.563,0.635,0.625,0.635,0.638,0.587
06:30:00,0.588,0.647,0.638,0.633,0.64,0.602
07:00:00,0.596,0.667,0.651,0.637,0.65,0.614
07:30:00,0.627,0.668,0.657,0.644,0.649,0.617
08:00:00,0.608,0.68,0.666,0.637,0.643,0.624
08:30:00,0.621,0.682,0.667,0.646,0.654,0.628
09:00:00,0.624,0.682,0.675,0.638,0.651,0.636
09:30:00,0.626,0.672,0.673,0.634,0.649,0.639
10:00:00,0.615,0.674,0.675,0.633,0.65,0.634
10:30:00,0.63,0.669,0.672,0.627,0.641,0.643
11:00:00,0.627,0.681,0.657,0.624,0.642,0.638
11:30:00,0.629,0.675,0.658,0.622,0.636,0.629
12:00:00,0.64,0.677,0.665,0.619,0.632,0.625
12:30:00,0.627,0.675,0.662,0.612,0.627,0.618
13:00:00,0.636,0.662,0.666,0.608,0.624,0.62
13:30:00,0.623,0.667,0.665,0.597,0.618,0.614
14:00:00,0.629,0.666,0.667,0.599,0.618,0.608
14:30:00,0.626,0.66,0.664,0.591,0.61,0.603
15:00:00,0.631,0.652,0.661,0.584,0.607,0.599
15:30:00,0.629,0.658,0.667,0.58,0.598,0.595
16:00:00,0.629,0.661,0.667,0.578,0.599,0.594
16:30:00,0.619,0.648,0.653,0.576,0.595,0.59
17:00:00,0.616,0.653,0.658,0.57,0.594,0.587
17:30:00,0.603,0.651,0.656,0.563,0.58,0.585
18:00:00,0.593,0.65,0.655,0.559,0.581,0.583
18:30:00,0.592,0.647,0.648,0.556,0.579,0.581
19:00:00,0.58,0.639,0.645,0.551,0.573,0.577
19:30:00,0.577,0.638,0.641,0.542,0.563,0.573
20:00:00,0.567,0.626,0.627,0.534,0.556,0.568
20:30:00,0.56,0.617,0.632,0.525,0.542,0.559
