OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.146,0.149,0.152,0.12,0.127,0.127,0.124,0.126,0.126
00:30:00,0.185,0.193,0.199,0.156,0.164,0.173,0.158,0.167,0.165
00:41:00,0.15,0.172,0.189,0.144,0.163,0.178,0.173,0.177,0.176
01:11:00,0.283,0.287,0.305,0.237,0.249,0.26,0.247,0.248,0.254
01:41:00,0.4,0.438,0.449,0.337,0.345,0.365,0.344,0.353,0.353
02:11:00,0.509,0.541,0.552,0.434,0.464,0.487,0.427,0.442,0.451
02:41:00,0.555,0.583,0.599,0.533,0.556,0.58,0.531,0.549,0.557
03:11:00,0.536,0.601,0.616,0.544,0.57,0.6,0.541,0.565,0.572
03:41:00,0.584,0.598,0.609,0.546,0.572,0.595,0.537,0.551,0.565
04:11:00,0.585,0.608,0.6,0.532,0.557,0.6,0.527,0.548,0.562
04:41:00,0.598,0.614,0.629,0.541,0.555,0.59,0.549,0.547,0.554
05:11:00,0.613,0.618,0.629,0.55,0.563,0.589,0.535,0.55,0.548
05:41:00,0.611,0.617,0.628,0.554,0.579,0.59,0.518,0.536,0.554
06:11:00,0.615,0.629,0.634,0.539,0.57,0.578,0.521,0.529,0.544
06:41:00,0.609,0.608,0.625,0.53,0.557,0.581,0.504,0.502,0.523
07:11:00,0.61,0.613,0.634,0.53,0.546,0.564,0.496,0.498,0.523
07:41:00,0.608,0.615,0.626,0.519,0.547,0.57,0.487,0.482,0.502
08:11:00,0.607,0.609,0.621,0.521,0.516,0.556,0.467,0.475,0.489
08:41:00,0.602,0.601,0.617,0.505,0.523,0.564,0.468,0.48,0.481
09:11:00,0.598,0.601,0.615,0.509,0.534,0.557,0.469,0.481,0.479
09:41:00,0.594,0.593,0.617,0.493,0.522,0.544,0.463,0.471,0.476
10:11:00,0.589,0.593,0.605,0.508,0.518,0.541,0.461,0.461,0.464
10:41:00,0.581,0.588,0.604,0.486,0.513,0.534,0.451,0.457,0.47
11:11:00,0.588,0.601,0.605,0.483,0.499,0.522,0.44,0.436,0.462
11:41:00,0.587,0.579,0.6,0.478,0.497,0.527,0.441,0.42,0.455
12:11:00,0.576,0.586,0.593,0.466,0.479,0.516,0.422,0.423,0.444
12:41:00,0.569,0.571,0.584,0.461,0.476,0.513,0.417,0.412,0.431
13:11:00,0.565,0.554,0.581,0.455,0.472,0.493,0.41,0.408,0.424
13:41:00,0.548,0.56,0.566,0.444,0.46,0.478,0.399,0.39,0.414
14:11:00,0.539,0.551,0.564,0.438,0.449,0.476,0.385,0.382,0.396
14:41:00,0.525,0.535,0.556,0.418,0.433,0.465,0.371,0.361,0.385
15:11:00,0.514,0.529,0.532,0.401,0.428,0.45,0.359,0.361,0.372
15:41:00,0.497,0.506,0.525,0.383,0.406,0.432,0.35,0.333,0.359
16:11:00,0.478,0.486,0.494,0.371,0.38,0.407,0.332,0.331,0.347
16:41:00,0.457,0.471,0.482,0.354,0.365,0.398,0.308,0.305,0.33
17:11:00,0.431,0.452,0.457,0.331,0.353,0.372,0.293,0.301,0.313
17:41:00,0.406,0.43,0.438,0.301,0.334,0.365,0.283,0.286,0.302
18:11:00,0.375,0.41,0.411,0.298,0.314,0.337,0.273,0.264,0.282
18:41:00,0.354,0.384,0.384,0.273,0.297,0.312,0.257,0.261,0.269
19:11:00,0.325,0.364,0.363,0.266,0.278,0.305,0.247,0.249,0.26
19:41:00,0.299,0.33,0.338,0.253,0.253,0.285,0.235,0.235,0.244
20:11:00,0.278,0.314,0.312,0.236,0.246,0.267,0.221,0.221,0.228
