mutants ,ratio
RMV4,0.018898645
RMV4,0.019522325
RMV4,0.017510483
RMV4 recA::Janus,0.000107059
RMV4 recA::Janus,0.000115539
RMV4 recA::Janus,0.000110791
RMV4 int::cat,0.000647456
RMV4 int::cat,0.000644043
RMV4 int::cat,0.000696882
RMV4 int::ermB,8.89E-05
RMV4 int::ermB,0.000103952
RMV4 int::ermB,9.30E-05
RMV4 2743zncat,0.028371406
RMV4 2743zncat,0.028977142
RMV4 2743zncat,0.033024895
RMV4_zncat_recA::Jan,0.028799311
RMV4_zncat_recA::Jan,0.032235681
RMV4_zncat_recA::Jan,0.029915731
RMV4,0.001670084
RMV4,0.001768954
RMV4,0.001715903
RMV4 2743zncat,0.002344134
RMV4 2743zncat,0.002463294
RMV4 2743zncat,0.002761597
RMV4_zncat_recA::Jan,0.025754929
RMV4_zncat_recA::Jan,0.027012566
RMV4_zncat_recA::Jan,0.020267316
RMV4_zncat_recA::Jan,0.034348514
RMV4_zncat_recA::Jan,0.034728713
RMV4_zncat_recA::Jan,0.047352336
RMV4_zncat_recA::Jan,0.04479189
RMV4_zncat_recA::Jan,0.04566973
RMV4_zncat_recA::Jan,0.039614123
