mutants,BCbyRpoA
RMV4_dprA_T0,0.01404743
RMV4_dprA_T0,0.019368444
RMV4_dprA_T0,0.033441095
RMV4_dprA_T20,0.032964547
RMV4_dprA_T20,0.020445941
RMV4_dprA_T20,0.012675573
RMV4_dprA_T20_CSP,0.018687119
RMV4_dprA_T20_CSP,0.008712759
RMV4_dprA_T20_CSP,0.018942238
RMV4_dprA_T20_MMC,0.025162722
RMV4_dprA_T20_MMC,0.017064053
RMV4_dprA_T20_MMC,0.012426594
RMV4_dprA_T60,0.009386239
RMV4_dprA_T60,0.055341424
RMV4_dprA_T60,0.032767252
RMV4_dprA_T60_CSP,0.015655238
RMV4_dprA_T60_CSP,0.015746759
RMV4_dprA_T60_CSP,0.013991635
RMV4_dprA_T60_MMC,0.012416625
RMV4_dprA_T60_MMC,0.011184272
RMV4_dprA_T60_MMC,0.019682456
RMV4_dprA_T120,0.022101579
RMV4_dprA_T120,0.028436666
RMV4_dprA_T120,0.015953403
RMV4_dprA_T120_CSP,0.032459933
RMV4_dprA_T120_CSP,0.025862373
RMV4_dprA_T120_CSP,0.037938814
RMV4_dprA_T120_MMC,0.039377962
RMV4_dprA_T120_MMC,0.043723296
RMV4_dprA_T120_MMC,0.025653411
RMV4_dprA_T0,0.007930818
RMV4_dprA_T0,0.002362898
RMV4_dprA_T0,0.003692159
RMV4_dprA_T20,0.004372201
RMV4_dprA_T20,9.13E-06
RMV4_dprA_T20,0.00221959
RMV4_dprA_T20_CSP,0.003003157
RMV4_dprA_T20_CSP,0.0001547
RMV4_dprA_T20_CSP,3.51E-05
RMV4_dprA_T20_MMC,0.096950978
RMV4_dprA_T20_MMC,0.045865736
RMV4_dprA_T60,0.000158708
RMV4_dprA_T60,0.00190026
RMV4_dprA_T60,7.06E-05
RMV4_dprA_T60_CSP,0.032048555
RMV4_dprA_T60_CSP,4.51E-05
RMV4_dprA_T60_CSP,5.62E-06
RMV4_dprA_T60_MMC,0.005264665
RMV4_dprA_T60_MMC,0.000753207
RMV4_dprA_T60_MMC,0.000779466
RMV4_dprA_T120,0.033356212
RMV4_dprA_T120,0.000571054
RMV4_dprA_T120,0.001448635
RMV4_dprA_T120_CSP,0.001189708
RMV4_dprA_T120_MMC,0.015132597
RMV4_dprA_T120_MMC,2.46E-06
RMV4_dprA_T120_MMC,2.90E-06
