OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.176,0.184,0.182,0.177,0.181,0.175,0.177,0.175,0.177,0.179,0.185,0.185,0.184,0.184,0.191,0.189,0.186,0.187,0.189,0.189,0.187,0.187,0.193,0.179
00:30:00,0.199,0.211,0.211,0.204,0.21,0.202,0.2,0.197,0.201,0.206,0.213,0.21,0.202,0.199,0.21,0.214,0.211,0.214,0.214,0.215,0.212,0.21,0.209,0.201
01:00:00,0.243,0.259,0.257,0.25,0.262,0.248,0.245,0.243,0.25,0.255,0.266,0.257,0.226,0.23,0.237,0.26,0.251,0.259,0.243,0.244,0.239,0.257,0.252,0.25
01:30:00,0.303,0.322,0.32,0.317,0.321,0.312,0.307,0.299,0.302,0.312,0.316,0.314,0.266,0.268,0.273,0.324,0.316,0.318,0.279,0.284,0.279,0.313,0.309,0.303
02:00:00,0.367,0.388,0.391,0.381,0.386,0.373,0.367,0.365,0.364,0.384,0.387,0.378,0.304,0.311,0.32,0.388,0.379,0.383,0.328,0.332,0.333,0.384,0.381,0.366
02:30:00,0.397,0.414,0.412,0.406,0.413,0.399,0.404,0.397,0.399,0.419,0.417,0.403,0.331,0.356,0.368,0.431,0.415,0.422,0.378,0.388,0.39,0.412,0.399,0.384
03:00:00,0.41,0.429,0.427,0.428,0.434,0.425,0.43,0.418,0.421,0.441,0.425,0.414,0.377,0.395,0.397,0.441,0.429,0.436,0.412,0.416,0.416,0.431,0.411,0.396
03:30:00,0.4,0.433,0.434,0.431,0.438,0.43,0.434,0.418,0.429,0.449,0.424,0.41,0.378,0.394,0.408,0.447,0.432,0.441,0.418,0.421,0.417,0.428,0.408,0.393
04:00:00,0.39,0.433,0.448,0.434,0.442,0.434,0.432,0.422,0.426,0.452,0.417,0.402,0.372,0.392,0.414,0.451,0.441,0.451,0.434,0.434,0.427,0.436,0.405,0.385
04:30:00,0.393,0.443,0.45,0.438,0.447,0.441,0.435,0.42,0.427,0.45,0.414,0.397,0.366,0.388,0.424,0.444,0.437,0.447,0.437,0.438,0.436,0.451,0.399,0.379
