OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.17,0.183,0.176,0.187,0.171,0.181,0.178,0.177,0.185,0.177,0.193,0.175,0.174,0.179,0.179,0.175,0.175,0.177,0.172,0.175,0.174,0.175,0.174,0.181
00:30:00,0.189,0.196,0.192,0.201,0.19,0.196,0.189,0.188,0.188,0.197,0.202,0.193,0.187,0.19,0.188,0.189,0.19,0.187,0.186,0.19,0.19,0.188,0.187,0.193
01:00:00,0.221,0.238,0.238,0.245,0.231,0.239,0.224,0.225,0.225,0.236,0.24,0.243,0.216,0.221,0.221,0.236,0.236,0.235,0.221,0.227,0.227,0.234,0.231,0.238
01:30:00,0.291,0.305,0.304,0.308,0.298,0.308,0.28,0.288,0.281,0.307,0.303,0.301,0.262,0.268,0.266,0.301,0.297,0.297,0.26,0.265,0.271,0.296,0.283,0.3
02:00:00,0.37,0.385,0.394,0.384,0.384,0.396,0.37,0.369,0.345,0.396,0.365,0.372,0.316,0.321,0.327,0.375,0.373,0.363,0.323,0.328,0.33,0.373,0.364,0.362
02:30:00,0.413,0.436,0.439,0.425,0.432,0.446,0.43,0.427,0.393,0.45,0.415,0.429,0.371,0.377,0.378,0.412,0.415,0.403,0.372,0.384,0.38,0.397,0.393,0.394
03:00:00,0.422,0.434,0.447,0.432,0.437,0.453,0.437,0.429,0.391,0.449,0.411,0.439,0.393,0.408,0.409,0.425,0.423,0.41,0.405,0.413,0.409,0.411,0.399,0.398
03:30:00,0.428,0.43,0.442,0.435,0.437,0.454,0.43,0.429,0.382,0.455,0.414,0.436,0.398,0.417,0.413,0.43,0.425,0.412,0.411,0.42,0.418,0.41,0.403,0.395
04:00:00,0.422,0.427,0.449,0.436,0.437,0.461,0.427,0.429,0.376,0.463,0.423,0.435,0.394,0.413,0.413,0.43,0.418,0.406,0.413,0.419,0.414,0.407,0.399,0.396
04:30:00,0.446,0.416,0.452,0.435,0.442,0.459,0.415,0.429,0.368,0.455,0.425,0.441,0.396,0.406,0.43,0.437,0.43,0.412,0.425,0.42,0.423,0.406,0.396,0.392
