OD600,RMV4_no_GD,RMV4_no_GD,RMV4_no_GD,RMV4_prophageKO_GD,RMV4_prophageKO_GD,RMV4_prophageKO_GD,RMV4_no_GD_mitomycin,RMV4_no_GD_mitomycin,RMV4_no_GD_mitomycin,RMV4_prophageKO_GD_mitomycin,RMV4_prophageKO_GD_mitomycin,RMV4_prophageKO_GD_mitomycin,RMV4_recA::Janus_no_GD,RMV4_recA::Janus_no_GD,RMV4_recA::Janus_no_GD,RMV4_recA::Janus_prophageKO_GD,RMV4_recA::Janus_prophageKO_GD,RMV4_recA::Janus_prophageKO_GD,RMV4_recA::Janus_no_GD_mitomycin,RMV4_recA::Janus_no_GD_mitomycin,RMV4_recA::Janus_no_GD_mitomycin,RMV4_recA::Janus_prophageKO_GD_mitomycin,RMV4_recA::Janus_prophageKO_GD_mitomycin,RMV4_recA::Janus_prophageKO_GD_mitomycin,RMV4_Zncat_no_GD,RMV4_Zncat_no_GD,RMV4_Zncat_no_GD,RMV4_Zncat_prophageKO_GD,RMV4_Zncat_prophageKO_GD,RMV4_Zncat_prophageKO_GD,RMV4_Zncat_no_GD_mitomycin,RMV4_Zncat_no_GD_mitomycin,RMV4_Zncat_no_GD_mitomycin,RMV4_Zncat_prophageKO_GD_mitomycin,RMV4_Zncat_prophageKO_GD_mitomycin,RMV4_Zncat_prophageKO_GD_mitomycin,RMV4_Zncat_recAJanus_no_GD,RMV4_Zncat_recAJanus_no_GD,RMV4_Zncat_recAJanus_no_GD,RMV4_Zncat_recAJanus_prophageKO_GD,RMV4_Zncat_recAJanus_prophageKO_GD,RMV4_Zncat_recAJanus_prophageKO_GD,RMV4_Zncat_recAJanus_no_GD_mitomycin,RMV4_Zncat_recAJanus_no_GD_mitomycin,RMV4_Zncat_recAJanus_no_GD_mitomycin,RMV4_Zncat_recAJanus_prophageKO_GD_mitomycin,RMV4_Zncat_recAJanus_prophageKO_GD_mitomycin,RMV4_Zncat_recAJanus_prophageKO_GD_mitomycin,RMV4_prophageJanus_no_GD,RMV4_prophageJanus_no_GD,RMV4_prophageJanus_no_GD,RMV4_prophageJanus_prophageKO_GD,RMV4_prophageJanus_prophageKO_GD,RMV4_prophageJanus_prophageKO_GD,RMV4_prophageJanus_no_GD_mitomycin,RMV4_prophageJanus_no_GD_mitomycin,RMV4_prophageJanus_no_GD_mitomycin,RMV4_prophageJanus_prophageKO_GD_mitomycin,RMV4_prophageJanus_prophageKO_GD_mitomycin,RMV4_prophageJanus_prophageKO_GD_mitomycin
00:00:00,0.181,0.185,0.186,0.183,0.184,0.183,0.186,0.187,0.192,0.186,0.182,0.18,0.14,0.153,0.148,0.144,0.151,0.149,0.151,0.153,0.156,0.152,0.153,0.15,0.197,0.198,0.206,0.195,0.206,0.21,0.211,0.206,0.208,0.202,0.21,0.216,0.183,0.185,0.196,0.183,0.194,0.193,0.202,0.196,0.198,0.193,0.198,0.188,0.152,0.162,0.161,0.153,0.162,0.162,0.165,0.162,0.16,0.162,0.158,0.155
00:30:00,0.2,0.206,0.209,0.203,0.205,0.207,0.209,0.21,0.215,0.208,0.206,0.2,0.15,0.162,0.16,0.154,0.163,0.16,0.162,0.163,0.166,0.165,0.163,0.159,0.225,0.225,0.234,0.223,0.232,0.236,0.238,0.236,0.234,0.232,0.238,0.249,0.194,0.199,0.211,0.196,0.208,0.207,0.219,0.213,0.21,0.207,0.207,0.205,0.176,0.193,0.187,0.179,0.187,0.187,0.192,0.19,0.189,0.191,0.182,0.179
01:00:00,0.243,0.255,0.259,0.249,0.248,0.244,0.257,0.255,0.254,0.254,0.253,0.245,0.159,0.174,0.174,0.167,0.176,0.17,0.175,0.175,0.177,0.177,0.175,0.172,0.288,0.295,0.3,0.288,0.3,0.302,0.304,0.302,0.303,0.3,0.306,0.313,0.231,0.236,0.255,0.239,0.256,0.254,0.262,0.252,0.254,0.249,0.246,0.247,0.224,0.242,0.238,0.229,0.24,0.236,0.244,0.24,0.242,0.243,0.239,0.23
01:30:00,0.305,0.319,0.324,0.317,0.315,0.319,0.324,0.326,0.323,0.323,0.307,0.314,0.177,0.197,0.197,0.189,0.201,0.197,0.195,0.195,0.191,0.197,0.191,0.194,0.368,0.377,0.386,0.371,0.384,0.387,0.388,0.383,0.387,0.383,0.383,0.395,0.286,0.282,0.313,0.297,0.315,0.308,0.322,0.311,0.309,0.307,0.297,0.297,0.304,0.33,0.328,0.314,0.327,0.324,0.341,0.334,0.329,0.328,0.32,0.314
02:00:00,0.388,0.408,0.418,0.398,0.409,0.415,0.409,0.407,0.4,0.403,0.372,0.381,0.21,0.231,0.229,0.215,0.233,0.227,0.217,0.21,0.209,0.21,0.209,0.208,0.461,0.466,0.478,0.458,0.477,0.471,0.468,0.466,0.476,0.466,0.477,0.481,0.321,0.329,0.368,0.353,0.371,0.371,0.374,0.361,0.359,0.357,0.353,0.348,0.392,0.426,0.426,0.406,0.426,0.42,0.441,0.44,0.423,0.425,0.412,0.414
02:30:00,0.437,0.46,0.473,0.441,0.463,0.459,0.463,0.453,0.443,0.454,0.405,0.43,0.247,0.261,0.264,0.247,0.267,0.262,0.227,0.227,0.224,0.222,0.219,0.218,0.486,0.5,0.516,0.486,0.509,0.512,0.516,0.513,0.524,0.513,0.521,0.523,0.366,0.369,0.417,0.398,0.424,0.42,0.417,0.402,0.395,0.388,0.387,0.381,0.44,0.479,0.474,0.456,0.474,0.469,0.51,0.504,0.488,0.487,0.479,0.481
03:00:00,0.448,0.471,0.482,0.45,0.471,0.482,0.469,0.457,0.451,0.452,0.411,0.446,0.272,0.288,0.287,0.28,0.296,0.286,0.236,0.227,0.223,0.224,0.22,0.221,0.492,0.511,0.536,0.505,0.535,0.532,0.532,0.53,0.532,0.524,0.528,0.529,0.386,0.396,0.44,0.418,0.45,0.439,0.435,0.423,0.409,0.411,0.397,0.394,0.465,0.489,0.486,0.465,0.477,0.479,0.523,0.512,0.491,0.493,0.486,0.48
03:30:00,0.455,0.479,0.49,0.468,0.483,0.494,0.464,0.463,0.467,0.474,0.426,0.465,0.292,0.308,0.315,0.301,0.319,0.307,0.23,0.221,0.213,0.224,0.221,0.223,0.481,0.524,0.553,0.521,0.539,0.536,0.527,0.525,0.535,0.525,0.529,0.517,0.4,0.418,0.453,0.431,0.451,0.454,0.44,0.426,0.418,0.417,0.399,0.393,0.466,0.507,0.492,0.471,0.49,0.479,0.524,0.526,0.504,0.504,0.498,0.489
04:00:00,0.46,0.478,0.485,0.458,0.475,0.475,0.458,0.437,0.445,0.455,0.404,0.443,0.305,0.326,0.325,0.311,0.319,0.31,0.222,0.207,0.213,0.214,0.216,0.215,0.505,0.552,0.567,0.536,0.557,0.553,0.542,0.541,0.548,0.547,0.534,0.505,0.399,0.416,0.451,0.428,0.45,0.448,0.439,0.424,0.414,0.418,0.39,0.386,0.493,0.528,0.508,0.488,0.5,0.491,0.523,0.519,0.492,0.491,0.487,0.478
04:30:00,0.463,0.476,0.473,0.453,0.467,0.478,0.442,0.435,0.435,0.451,0.396,0.417,0.311,0.324,0.322,0.302,0.32,0.301,0.207,0.202,0.201,0.205,0.206,0.203,0.517,0.559,0.57,0.537,0.559,0.559,0.539,0.535,0.535,0.531,0.536,0.492,0.371,0.42,0.455,0.426,0.45,0.441,0.43,0.41,0.406,0.413,0.384,0.375,0.522,0.57,0.55,0.538,0.553,0.546,0.541,0.543,0.499,0.498,0.487,0.484
05:00:00,0.471,0.479,0.479,0.464,0.485,0.488,0.442,0.436,0.45,0.452,0.41,0.427,0.302,0.322,0.328,0.313,0.322,0.311,0.204,0.196,0.199,0.197,0.196,0.196,0.547,0.555,0.572,0.54,0.566,0.565,0.539,0.539,0.545,0.533,0.553,0.493,0.39,0.42,0.449,0.419,0.446,0.438,0.43,0.412,0.404,0.402,0.38,0.363,0.539,0.598,0.59,0.582,0.602,0.59,0.576,0.574,0.516,0.515,0.496,0.493
05:30:00,0.489,0.492,0.505,0.481,0.5,0.503,0.453,0.434,0.435,0.444,0.401,0.398,0.291,0.336,0.327,0.311,0.325,0.312,0.2,0.189,0.195,0.188,0.191,0.185,0.573,0.583,0.596,0.562,0.587,0.581,0.551,0.55,0.55,0.546,0.558,0.49,0.384,0.433,0.449,0.426,0.448,0.436,0.425,0.408,0.391,0.395,0.368,0.355,0.561,0.623,0.615,0.607,0.625,0.615,0.609,0.608,0.549,0.542,0.518,0.507
06:00:00,0.501,0.5,0.515,0.5,0.509,0.517,0.443,0.432,0.432,0.428,0.409,0.378,0.288,0.342,0.322,0.305,0.316,0.305,0.189,0.183,0.19,0.178,0.18,0.176,0.581,0.583,0.601,0.566,0.59,0.587,0.55,0.55,0.548,0.54,0.544,0.493,0.383,0.434,0.447,0.427,0.447,0.431,0.422,0.406,0.382,0.382,0.357,0.342,0.563,0.635,0.625,0.618,0.636,0.626,0.635,0.638,0.587,0.575,0.547,0.542
06:30:00,0.505,0.51,0.52,0.521,0.512,0.517,0.426,0.441,0.439,0.425,0.43,0.374,0.3,0.356,0.317,0.304,0.307,0.297,0.188,0.178,0.183,0.184,0.174,0.172,0.592,0.579,0.602,0.568,0.588,0.586,0.55,0.547,0.55,0.544,0.545,0.505,0.376,0.445,0.453,0.435,0.461,0.437,0.435,0.417,0.379,0.376,0.35,0.335,0.588,0.647,0.638,0.625,0.636,0.63,0.633,0.64,0.602,0.589,0.57,0.546
