OD600,RMV4,RMV4,RMV4,RMV4,RMV4_intcat,RMV4_intcat,RMV4_intcat,RMV4_intcat,RMV4_repcat,RMV4_repcat,RMV4_repcat,RMV4_repcat,RMV4_lytA,RMV4_lytA,RMV4_lytA,RMV4_lytA,RMV4_phageKO,RMV4_phageKO,RMV4_phageKO,RMV4_phageKO
00:00:00,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.000225,0.002,-0.000075,0.002,0.002,0.007,0.006,0.004,0.003,0.006,0.006,0.005
00:30:00,0,0.0003,0,-0.001,0.001,0.002,0.001,0.0009,0.0005,0.001,-0.0003,0.0008,0.0002,0.005,0.003,0.002,0.0005,0.002,0.001,0.001
01:00:00,-0.001,0.0008,0.0006,-0.0006,0.005,0.002,0.002,0.002,0,0.002,0.0003,0.001,0.0008,0.005,0.003,0.003,0.001,0.003,0.002,0.0006
01:30:00,-0.00015,0.00035,0.002,-0.00035,0.002,0.002,0.002,0.002,0.00025,0.002,-0.00055,0.002,0.001,0.007,0.004,0.003,0.001,0.002,0.002,0.002
02:00:00,0.001,0.002,0.003,0.001,0.003,0.003,0.002,0.003,0.001,0.002,-0.000125,0.003,0.001,0.006,0.005,0.003,0.002,0.003,0.003,0.002
02:30:00,0.002,0.003,0.004,0.002,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.003,0.002,0.006,0.004,0.004,0.003,0.003,0.003,0.002
03:00:00,0.004,0.006,0.007,0.005,0.008,0.005,0.003,0.004,0.001,0.003,0.001,0.004,0.003,0.007,0.006,0.005,0.003,0.004,0.004,0.003
03:30:00,0.007,0.011,0.01,0.009,0.01,0.007,0.007,0.006,0.003,0.003,0.003,0.005,0.003,0.009,0.007,0.007,0.005,0.007,0.006,0.003
04:00:00,0.016,0.018,0.02,0.019,0.017,0.012,0.01,0.011,0.004,0.004,0.004,0.009,0.006,0.011,0.01,0.009,0.008,0.009,0.009,0.007
04:30:00,0.03,0.034,0.033,0.033,0.024,0.018,0.018,0.018,0.011,0.008,0.011,0.014,0.012,0.016,0.015,0.013,0.013,0.014,0.012,0.012
05:00:00,0.051,0.056,0.056,0.058,0.039,0.034,0.028,0.03,0.016,0.015,0.019,0.024,0.019,0.025,0.022,0.022,0.022,0.023,0.021,0.018
