OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.118,0.134,0.118,0.118,0.113,0.114,0.129,0.132,0.128,0.115,0.113,0.113,0.112,0.114,0.115,0.114,0.115,0.113,0.112,0.11,0.109,0.111,0.112,0.115
00:30:00,0.129,0.137,0.131,0.13,0.127,0.125,0.141,0.144,0.137,0.133,0.13,0.131,0.129,0.132,0.133,0.134,0.135,0.132,0.129,0.129,0.13,0.13,0.131,0.132
01:00:00,0.157,0.16,0.157,0.153,0.153,0.158,0.158,0.16,0.154,0.156,0.155,0.155,0.155,0.158,0.159,0.162,0.16,0.157,0.146,0.145,0.144,0.154,0.154,0.156
01:30:00,0.208,0.212,0.215,0.21,0.204,0.21,0.194,0.203,0.192,0.214,0.208,0.209,0.193,0.201,0.201,0.204,0.202,0.202,0.181,0.179,0.179,0.203,0.203,0.204
02:00:00,0.29,0.29,0.302,0.297,0.296,0.303,0.254,0.258,0.251,0.306,0.284,0.283,0.27,0.272,0.282,0.276,0.266,0.267,0.242,0.236,0.238,0.285,0.283,0.275
02:30:00,0.377,0.39,0.411,0.4,0.41,0.413,0.329,0.335,0.321,0.424,0.375,0.371,0.352,0.366,0.367,0.355,0.332,0.336,0.319,0.315,0.312,0.38,0.377,0.361
03:00:00,0.453,0.442,0.483,0.461,0.458,0.47,0.429,0.438,0.399,0.478,0.437,0.435,0.419,0.43,0.443,0.415,0.375,0.385,0.398,0.389,0.39,0.419,0.416,0.401
03:30:00,0.461,0.461,0.493,0.472,0.474,0.482,0.458,0.459,0.422,0.485,0.445,0.455,0.434,0.451,0.458,0.425,0.408,0.405,0.448,0.436,0.429,0.437,0.421,0.417
04:00:00,0.491,0.469,0.495,0.472,0.475,0.485,0.459,0.465,0.422,0.491,0.454,0.448,0.435,0.462,0.47,0.442,0.424,0.422,0.46,0.448,0.449,0.447,0.418,0.417
04:30:00,0.502,0.481,0.507,0.475,0.489,0.485,0.461,0.45,0.42,0.496,0.451,0.489,0.454,0.473,0.496,0.452,0.426,0.429,0.477,0.454,0.46,0.47,0.418,0.41
