OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.049,0.087,0.084,0.085,0.087,0.088,0.103,0.135,0.105,0.087,0.083,0.053,0.064,0.086,0.076,0.098,0.097,0.09,0.092,0.118,0.097,0.083,0.098,0.079
00:30:00,0.047,0.049,0.049,0.049,0.052,0.05,0.066,0.072,0.075,0.05,0.05,0.049,0.051,0.054,0.052,0.054,0.053,0.053,0.05,0.051,0.052,0.053,0.058,0.049
01:00:00,0.05,0.054,0.054,0.053,0.055,0.055,0.067,0.07,0.075,0.053,0.052,0.052,0.053,0.054,0.054,0.058,0.056,0.056,0.054,0.053,0.054,0.054,0.057,0.051
01:30:00,0.055,0.06,0.059,0.061,0.062,0.061,0.071,0.075,0.078,0.061,0.059,0.06,0.056,0.06,0.058,0.063,0.062,0.06,0.057,0.059,0.059,0.06,0.065,0.058
02:00:00,0.065,0.066,0.067,0.067,0.068,0.069,0.076,0.08,0.083,0.069,0.067,0.068,0.062,0.066,0.066,0.067,0.067,0.066,0.066,0.068,0.066,0.067,0.072,0.069
02:30:00,0.076,0.075,0.077,0.08,0.081,0.081,0.082,0.086,0.088,0.08,0.075,0.077,0.069,0.072,0.069,0.069,0.065,0.066,0.072,0.075,0.074,0.079,0.083,0.078
03:00:00,0.09,0.09,0.088,0.089,0.093,0.091,0.087,0.094,0.095,0.089,0.087,0.089,0.078,0.08,0.078,0.067,0.067,0.066,0.084,0.084,0.087,0.091,0.091,0.086
03:30:00,0.107,0.106,0.109,0.109,0.114,0.112,0.098,0.105,0.103,0.107,0.101,0.107,0.088,0.089,0.085,0.065,0.066,0.065,0.097,0.096,0.1,0.112,0.111,0.105
04:00:00,0.121,0.125,0.127,0.128,0.136,0.134,0.106,0.114,0.111,0.125,0.115,0.117,0.097,0.1,0.097,0.062,0.062,0.062,0.115,0.114,0.119,0.13,0.127,0.116
04:30:00,0.149,0.151,0.156,0.154,0.167,0.162,0.116,0.124,0.124,0.155,0.136,0.138,0.109,0.117,0.112,0.06,0.058,0.059,0.139,0.141,0.14,0.163,0.152,0.137
05:00:00,0.181,0.184,0.2,0.199,0.207,0.196,0.132,0.144,0.143,0.194,0.166,0.165,0.121,0.128,0.134,0.058,0.057,0.056,0.166,0.171,0.172,0.202,0.181,0.165
05:30:00,0.213,0.228,0.238,0.239,0.256,0.246,0.152,0.16,0.165,0.241,0.201,0.198,0.148,0.161,0.162,0.055,0.054,0.055,0.194,0.202,0.213,0.259,0.219,0.195
06:00:00,0.257,0.279,0.291,0.297,0.31,0.298,0.178,0.175,0.19,0.295,0.244,0.23,0.172,0.196,0.191,0.054,0.054,0.054,0.241,0.25,0.267,0.321,0.264,0.23
06:30:00,0.298,0.333,0.348,0.347,0.365,0.355,0.22,0.202,0.201,0.354,0.296,0.272,0.205,0.233,0.242,0.053,0.054,0.054,0.287,0.295,0.336,0.372,0.314,0.274
07:00:00,0.329,0.37,0.376,0.35,0.377,0.368,0.303,0.276,0.263,0.378,0.337,0.296,0.238,0.281,0.283,0.051,0.051,0.051,0.332,0.338,0.382,0.385,0.333,0.295
07:30:00,0.336,0.382,0.379,0.392,0.422,0.408,0.379,0.383,0.322,0.393,0.342,0.314,0.274,0.323,0.329,0.052,0.051,0.05,0.367,0.379,0.412,0.402,0.334,0.301
08:00:00,0.375,0.4,0.386,0.417,0.432,0.426,0.407,0.411,0.356,0.429,0.344,0.305,0.313,0.387,0.365,0.053,0.048,0.048,0.358,0.374,0.418,0.414,0.333,0.301
08:30:00,0.424,0.431,0.416,0.421,0.438,0.438,0.407,0.412,0.36,0.455,0.396,0.305,0.345,0.434,0.413,0.053,0.046,0.048,0.396,0.407,0.442,0.435,0.384,0.307
09:00:00,0.466,0.436,0.416,0.424,0.438,0.437,0.399,0.409,0.359,0.446,0.451,0.353,0.393,0.453,0.425,0.051,0.046,0.046,0.391,0.408,0.442,0.418,0.44,0.35
09:30:00,0.466,0.404,0.41,0.421,0.438,0.439,0.389,0.401,0.368,0.439,0.457,0.408,0.413,0.45,0.42,0.051,0.046,0.044,0.393,0.412,0.434,0.405,0.449,0.386
10:00:00,0.437,0.383,0.405,0.417,0.431,0.432,0.386,0.394,0.38,0.437,0.455,0.438,0.45,0.417,0.413,0.05,0.044,0.042,0.396,0.41,0.426,0.394,0.442,0.399
10:30:00,0.419,0.371,0.391,0.414,0.429,0.431,0.375,0.389,0.379,0.427,0.44,0.442,0.465,0.393,0.401,0.048,0.043,0.043,0.387,0.406,0.416,0.38,0.429,0.403
11:00:00,0.406,0.361,0.365,0.41,0.424,0.426,0.367,0.382,0.369,0.418,0.426,0.437,0.46,0.383,0.391,0.046,0.042,0.042,0.373,0.393,0.398,0.369,0.423,0.398
11:30:00,0.39,0.348,0.339,0.406,0.418,0.417,0.369,0.378,0.365,0.413,0.418,0.455,0.438,0.371,0.379,0.046,0.041,0.04,0.358,0.375,0.383,0.366,0.418,0.43
12:00:00,0.38,0.341,0.316,0.401,0.41,0.412,0.362,0.37,0.361,0.4,0.407,0.446,0.433,0.363,0.363,0.045,0.04,0.039,0.331,0.347,0.361,0.352,0.402,0.412
12:30:00,0.373,0.333,0.303,0.397,0.407,0.408,0.358,0.368,0.357,0.387,0.4,0.432,0.42,0.354,0.358,0.043,0.039,0.038,0.32,0.332,0.347,0.345,0.396,0.412
13:00:00,0.363,0.326,0.289,0.389,0.4,0.401,0.351,0.362,0.351,0.377,0.392,0.429,0.388,0.349,0.344,0.043,0.038,0.038,0.304,0.317,0.336,0.339,0.394,0.411
13:30:00,0.358,0.319,0.278,0.384,0.392,0.392,0.349,0.356,0.346,0.37,0.389,0.426,0.403,0.339,0.336,0.041,0.037,0.036,0.294,0.305,0.326,0.335,0.401,0.401
14:00:00,0.362,0.309,0.266,0.377,0.388,0.388,0.343,0.35,0.34,0.359,0.38,0.417,0.407,0.328,0.326,0.042,0.037,0.036,0.282,0.291,0.315,0.33,0.396,0.385
14:30:00,0.356,0.3,0.257,0.37,0.378,0.38,0.337,0.344,0.337,0.348,0.372,0.403,0.392,0.322,0.314,0.041,0.037,0.036,0.273,0.282,0.306,0.326,0.394,0.367
