mutants,BCbyRpoA
RMV4_spaL_T0,0.017771007
RMV4_spaL_T0,0.018505167
RMV4_spaL_T0,0.018525467
RMV4_spaL_T20,0.00450174
RMV4_spaL_T20,0.004224552
RMV4_spaL_T20,0.004252061
RMV4_spaL_T20_CSP,0.008831115
RMV4_spaL_T20_CSP,0.00900785
RMV4_spaL_T20_CSP,0.009288287
RMV4_spaL_T20_MMC,0.024145024
RMV4_spaL_T20_MMC,0.023798994
RMV4_spaL_T20_MMC,0.022878522
RMV4_spaL_T60,0.008283389
RMV4_spaL_T60,0.008235255
RMV4_spaL_T60,0.008533495
RMV4_spaL_T60_CSP,0.007552485
RMV4_spaL_T60_CSP,0.007456628
RMV4_spaL_T60_CSP,0.007299452
RMV4_spaL_T60_MMC,0.003699151
RMV4_spaL_T60_MMC,0.004012372
RMV4_spaL_T60_MMC,0.003967214
RMV4_spaL_T120,0.023694393
RMV4_spaL_T120,0.024362557
RMV4_spaL_T120,0.023526794
RMV4_spaL_T120_CSP,0.022421792
RMV4_spaL_T120_CSP,0.022197002
RMV4_spaL_T120_CSP,0.028063416
RMV4_spaL_T120_MMC,0.00599766
RMV4_spaL_T120_MMC,0.006208838
RMV4_spaL_T120_MMC,0.006074125
RMV4_spaL_T0,0.022045766
RMV4_spaL_T0,0.020300511
RMV4_spaL_T0,0.020924433
RMV4_spaL_T20,0.083370671
RMV4_spaL_T20,0.085991158
RMV4_spaL_T20,0.075833217
RMV4_spaL_T60,0.021921038
RMV4_spaL_T60,0.021303484
RMV4_spaL_T60,0.023453811
RMV4_spaL_T120,0.016934162
RMV4_spaL_T120,0.016415498
RMV4_spaL_T120,0.016176236
RMV4_spaL_T20_CSP,0.01742964
RMV4_spaL_T20_CSP,0.0181215
RMV4_spaL_T20_CSP,0.018633837
RMV4_spaL_T60_CSP,0.014324515
RMV4_spaL_T60_CSP,0.014765685
RMV4_spaL_T60_CSP,0.014933639
RMV4_spaL_T120_CSP,0.022689286
RMV4_spaL_T120_CSP,0.022147813
RMV4_spaL_T120_CSP,0.023250384
RMV4_spaL_T20_MMC,0.026984876
RMV4_spaL_T20_MMC,0.023602504
RMV4_spaL_T20_MMC,0.024256364
RMV4_spaL_T60_MMC,0.010754217
RMV4_spaL_T60_MMC,0.010947723
RMV4_spaL_T60_MMC,0.010962514
RMV4_spaL_T120_MMC,0.029513784
RMV4_spaL_T120_MMC,0.029397641
RMV4_spaL_T120_MMC,0.027659246
RMV4_spaL_T0,0.003447969
RMV4_spaL_T0,0.003885365
RMV4_spaL_T0,0.004007885
RMV4_spaL_T20,0.002697185
RMV4_spaL_T20,0.002556899
RMV4_spaL_T20,0.002360067
RMV4_spaL_T60,0.005469177
RMV4_spaL_T60,0.005256133
RMV4_spaL_T60,0.005187375
RMV4_spaL_T120,0.012898171
RMV4_spaL_T120,0.01124718
RMV4_spaL_T120,0.012115846
RMV4_spaL_T20_CSP,0.00298443
RMV4_spaL_T20_CSP,0.003079074
RMV4_spaL_T20_CSP,0.0029899
RMV4_spaL_T60_CSP,0.005827149
RMV4_spaL_T60_CSP,0.00578389
RMV4_spaL_T60_CSP,0.005458257
RMV4_spaL_T120_CSP,0.043747068
RMV4_spaL_T120_CSP,0.047764706
RMV4_spaL_T120_CSP,0.046079688
RMV4_spaL_T20_MMC,0.00299947
RMV4_spaL_T20_MMC,0.003231669
RMV4_spaL_T20_MMC,0.003010169
RMV4_spaL_T60_MMC,0.004504817
RMV4_spaL_T60_MMC,0.004736688
RMV4_spaL_T60_MMC,0.00571261
RMV4_spaL_T120_MMC,0.0239131
RMV4_spaL_T120_MMC,0.02207094
RMV4_spaL_T120_MMC,0.02268692
