OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.131,0.137,0.135,0.137,0.131,0.131,0.143,0.14,0.147,0.142,0.135,0.132,0.138,0.141,0.138,0.135,0.145,0.139,0.141,0.131,0.136,0.136,0.136,0.136
00:30:00,0.177,0.175,0.177,0.184,0.175,0.176,0.179,0.174,0.185,0.184,0.181,0.18,0.185,0.183,0.177,0.174,0.182,0.174,0.176,0.165,0.17,0.172,0.174,0.179
01:00:00,0.256,0.258,0.258,0.266,0.251,0.248,0.232,0.233,0.241,0.256,0.252,0.254,0.255,0.258,0.248,0.246,0.254,0.244,0.228,0.214,0.223,0.243,0.247,0.258
01:30:00,0.364,0.372,0.375,0.39,0.375,0.368,0.324,0.322,0.332,0.379,0.36,0.372,0.357,0.373,0.38,0.368,0.383,0.369,0.324,0.304,0.309,0.358,0.35,0.362
02:00:00,0.481,0.48,0.481,0.511,0.488,0.497,0.444,0.443,0.452,0.515,0.472,0.487,0.473,0.485,0.482,0.471,0.487,0.472,0.423,0.395,0.402,0.461,0.449,0.46
02:30:00,0.499,0.516,0.516,0.54,0.516,0.524,0.506,0.504,0.513,0.533,0.504,0.526,0.49,0.512,0.503,0.493,0.518,0.498,0.488,0.463,0.467,0.483,0.469,0.483
03:00:00,0.511,0.523,0.533,0.551,0.525,0.538,0.506,0.509,0.511,0.539,0.505,0.524,0.49,0.514,0.519,0.509,0.528,0.507,0.505,0.471,0.486,0.496,0.479,0.492
03:30:00,0.517,0.526,0.534,0.546,0.529,0.535,0.491,0.506,0.507,0.54,0.499,0.518,0.494,0.518,0.525,0.509,0.527,0.505,0.509,0.483,0.492,0.489,0.472,0.492
04:00:00,0.509,0.517,0.523,0.533,0.522,0.519,0.49,0.489,0.499,0.525,0.496,0.518,0.484,0.514,0.528,0.514,0.537,0.515,0.507,0.479,0.486,0.49,0.466,0.479
04:30:00,0.519,0.521,0.512,0.526,0.512,0.514,0.473,0.478,0.497,0.526,0.498,0.521,0.483,0.508,0.533,0.51,0.534,0.517,0.518,0.488,0.496,0.495,0.462,0.479
05:00:00,0.519,0.526,0.507,0.516,0.513,0.513,0.479,0.477,0.495,0.527,0.51,0.537,0.489,0.515,0.527,0.501,0.519,0.509,0.51,0.481,0.488,0.504,0.454,0.471
05:30:00,0.539,0.523,0.501,0.52,0.515,0.505,0.477,0.483,0.49,0.526,0.497,0.527,0.517,0.526,0.521,0.499,0.52,0.512,0.512,0.483,0.491,0.525,0.45,0.463
06:00:00,0.545,0.521,0.515,0.51,0.512,0.511,0.471,0.482,0.499,0.521,0.503,0.539,0.521,0.533,0.513,0.491,0.51,0.501,0.506,0.476,0.486,0.529,0.448,0.466
06:30:00,0.544,0.526,0.514,0.518,0.525,0.506,0.469,0.482,0.497,0.53,0.511,0.538,0.536,0.538,0.514,0.486,0.503,0.497,0.5,0.472,0.48,0.53,0.456,0.453
07:00:00,0.542,0.541,0.527,0.515,0.514,0.505,0.472,0.484,0.494,0.523,0.52,0.535,0.545,0.546,0.508,0.478,0.494,0.492,0.496,0.469,0.481,0.53,0.461,0.458
07:30:00,0.551,0.547,0.535,0.535,0.514,0.507,0.475,0.487,0.476,0.527,0.523,0.554,0.55,0.533,0.504,0.469,0.486,0.484,0.49,0.46,0.471,0.518,0.463,0.457
08:00:00,0.552,0.547,0.53,0.538,0.519,0.52,0.484,0.481,0.477,0.509,0.526,0.546,0.545,0.536,0.501,0.466,0.484,0.48,0.489,0.459,0.472,0.516,0.472,0.446
08:30:00,0.55,0.545,0.525,0.537,0.518,0.517,0.478,0.479,0.494,0.525,0.523,0.542,0.545,0.539,0.5,0.458,0.478,0.473,0.483,0.454,0.465,0.515,0.475,0.455
09:00:00,0.542,0.547,0.528,0.527,0.513,0.494,0.481,0.478,0.471,0.525,0.522,0.54,0.545,0.525,0.495,0.449,0.464,0.465,0.476,0.45,0.46,0.517,0.476,0.442
09:30:00,0.54,0.548,0.518,0.518,0.507,0.504,0.472,0.49,0.497,0.516,0.521,0.523,0.547,0.518,0.493,0.441,0.459,0.457,0.472,0.441,0.455,0.516,0.476,0.442
10:00:00,0.536,0.537,0.516,0.51,0.493,0.493,0.455,0.455,0.474,0.526,0.513,0.53,0.547,0.511,0.487,0.435,0.452,0.453,0.467,0.438,0.447,0.512,0.478,0.427
10:30:00,0.541,0.532,0.523,0.519,0.492,0.506,0.457,0.475,0.478,0.519,0.523,0.513,0.529,0.508,0.484,0.428,0.443,0.442,0.457,0.427,0.441,0.51,0.483,0.43
11:00:00,0.529,0.532,0.524,0.532,0.499,0.5,0.474,0.472,0.495,0.51,0.512,0.523,0.534,0.501,0.479,0.419,0.436,0.436,0.453,0.421,0.432,0.508,0.477,0.436
11:30:00,0.525,0.524,0.52,0.541,0.493,0.486,0.482,0.461,0.49,0.493,0.508,0.527,0.524,0.494,0.475,0.412,0.426,0.425,0.444,0.414,0.43,0.509,0.476,0.425
