mutants,gene,Fold_change
RMV4_spaL_T0,rpoA,0.937572068
RMV4_spaL_T0,rpoA,0.998672199
RMV4_spaL_T0,rpoA,1.068005595
RMV4_spaL_T0,recA,1.060035196
RMV4_spaL_T0,recA,0.93145392
RMV4_spaL_T0,recA,1.012791534
RMV4_spaL_T0,lytA,1.054070676
RMV4_spaL_T0,lytA,0.880848067
RMV4_spaL_T0,lytA,1.07703505
RMV4_spaL_T0,int,1.073888522
RMV4_spaL_T0,int,0.865570509
RMV4_spaL_T0,int,1.075821132
RMV4_spaL_T0,rep,1.035186364
RMV4_spaL_T0,rep,0.999549275
RMV4_spaL_T0,rep,0.966447791
RMV4_spaL_T20,rpoA,0.996486826
RMV4_spaL_T20,rpoA,0.929356662
RMV4_spaL_T20,rpoA,1.079803855
RMV4_spaL_T20,recA,3.688371979
RMV4_spaL_T20,recA,3.519732839
RMV4_spaL_T20,recA,3.49614994
RMV4_spaL_T20,lytA,128.5144609
RMV4_spaL_T20,lytA,93.16755166
RMV4_spaL_T20,lytA,109.2003726
RMV4_spaL_T20,int,17.09830402
RMV4_spaL_T20,int,18.68726802
RMV4_spaL_T20,int,17.21124938
RMV4_spaL_T20,rep,18.13427165
RMV4_spaL_T20,rep,12.25839217
RMV4_spaL_T20,rep,13.79452709
RMV4_spaL_T60,rpoA,1.012501016
RMV4_spaL_T60,rpoA,1.089522034
RMV4_spaL_T60,rpoA,0.906506268
RMV4_spaL_T60,recA,0.961030189
RMV4_spaL_T60,recA,1.251104358
RMV4_spaL_T60,recA,1.109299296
RMV4_spaL_T60,lytA,10.54072018
RMV4_spaL_T60,lytA,7.97025063
RMV4_spaL_T60,lytA,8.727026564
RMV4_spaL_T60,int,2.37638379
RMV4_spaL_T60,int,2.263489812
RMV4_spaL_T60,int,1.964633671
RMV4_spaL_T60,rep,5.175349946
RMV4_spaL_T60,rep,4.335956172
RMV4_spaL_T60,rep,3.92871154
RMV4_spaL_T120,rpoA,0.903791019
RMV4_spaL_T120,rpoA,1.051633377
RMV4_spaL_T120,rpoA,1.052122889
RMV4_spaL_T120,recA,8.889131004
RMV4_spaL_T120,recA,9.0061461
RMV4_spaL_T120,recA,9.104613812
RMV4_spaL_T120,lytA,354.2022498
RMV4_spaL_T120,lytA,369.4530642
RMV4_spaL_T120,lytA,395.119273
RMV4_spaL_T120,int,57.01867382
RMV4_spaL_T120,int,55.90372505
RMV4_spaL_T120,int,44.84376424
RMV4_spaL_T120,rep,73.78596822
RMV4_spaL_T120,rep,77.90755892
RMV4_spaL_T120,rep,73.00359626
RMV4_spaL_T20_CSP,rpoA,0.965690403
RMV4_spaL_T20_CSP,rpoA,1.044348338
RMV4_spaL_T20_CSP,rpoA,0.991553452
RMV4_spaL_T20_CSP,recA,19.86720331
RMV4_spaL_T20_CSP,recA,13.64844055
RMV4_spaL_T20_CSP,recA,18.31943321
RMV4_spaL_T20_CSP,lytA,7.59891107
RMV4_spaL_T20_CSP,lytA,7.868400564
RMV4_spaL_T20_CSP,lytA,9.097707214
RMV4_spaL_T20_CSP,int,2.211684222
RMV4_spaL_T20_CSP,int,2.762409353
RMV4_spaL_T20_CSP,int,2.04421586
RMV4_spaL_T20_CSP,rep,4.775726238
RMV4_spaL_T20_CSP,rep,5.199662446
RMV4_spaL_T60_CSP,rpoA,1.096835034
RMV4_spaL_T60_CSP,rpoA,0.933894152
RMV4_spaL_T60_CSP,rpoA,0.976252545
RMV4_spaL_T60_CSP,recA,1.888192088
RMV4_spaL_T60_CSP,recA,1.493930472
RMV4_spaL_T60_CSP,recA,1.562679577
RMV4_spaL_T60_CSP,lytA,2.527029311
RMV4_spaL_T60_CSP,lytA,2.983507081
RMV4_spaL_T60_CSP,lytA,3.491489283
RMV4_spaL_T60_CSP,int,3.991030549
RMV4_spaL_T60_CSP,int,3.912746409
RMV4_spaL_T60_CSP,int,4.865618784
RMV4_spaL_T60_CSP,rep,5.094807487
RMV4_spaL_T60_CSP,rep,4.94090473
RMV4_spaL_T60_CSP,rep,5.105974041
RMV4_spaL_T120_CSP,rpoA,1.00944159
RMV4_spaL_T120_CSP,rpoA,0.886905807
RMV4_spaL_T120_CSP,rpoA,1.116965051
RMV4_spaL_T120_CSP,recA,3.529303799
RMV4_spaL_T120_CSP,recA,3.430410787
RMV4_spaL_T120_CSP,recA,3.145588275
RMV4_spaL_T120_CSP,lytA,3.607200635
RMV4_spaL_T120_CSP,lytA,3.474681452
RMV4_spaL_T120_CSP,lytA,5.571557761
RMV4_spaL_T120_CSP,int,3.848890824
RMV4_spaL_T120_CSP,int,4.058853836
RMV4_spaL_T120_CSP,int,3.680208351
RMV4_spaL_T120_CSP,rep,27.70221145
RMV4_spaL_T120_CSP,rep,26.93908371
RMV4_spaL_T120_CSP,rep,29.85104851
RMV4_spaL_T20_MMC,rpoA,1.005063094
RMV4_spaL_T20_MMC,rpoA,0.994603368
RMV4_spaL_T20_MMC,rpoA,1.000359669
RMV4_spaL_T20_MMC,recA,0.989013552
RMV4_spaL_T20_MMC,recA,0.997822276
RMV4_spaL_T20_MMC,recA,0.9603291
RMV4_spaL_T20_MMC,lytA,0.997074573
RMV4_spaL_T20_MMC,lytA,1.314049917
RMV4_spaL_T20_MMC,lytA,1.027587228
RMV4_spaL_T20_MMC,int,0.920673866
RMV4_spaL_T20_MMC,int,1.08060931
RMV4_spaL_T20_MMC,int,0.971260107
RMV4_spaL_T20_MMC,rep,1.225430942
RMV4_spaL_T20_MMC,rep,1.524386444
RMV4_spaL_T20_MMC,rep,1.398049656
RMV4_spaL_T60_MMC,rpoA,1.014160901
RMV4_spaL_T60_MMC,rpoA,0.984076843
RMV4_spaL_T60_MMC,rpoA,1.001990376
RMV4_spaL_T60_MMC,recA,1.391203645
RMV4_spaL_T60_MMC,recA,1.231207243
RMV4_spaL_T60_MMC,recA,1.187369041
RMV4_spaL_T60_MMC,lytA,9.765765109
RMV4_spaL_T60_MMC,lytA,8.213267224
RMV4_spaL_T60_MMC,lytA,9.38404122
RMV4_spaL_T60_MMC,int,2.119734073
RMV4_spaL_T60_MMC,int,1.948088232
RMV4_spaL_T60_MMC,int,1.727814168
RMV4_spaL_T60_MMC,rep,3.09215883
RMV4_spaL_T60_MMC,rep,2.729616067
RMV4_spaL_T60_MMC,rep,2.997237533
RMV4_spaL_T120_MMC,rpoA,0.982258396
RMV4_spaL_T120_MMC,rpoA,0.973508556
RMV4_spaL_T120_MMC,rpoA,1.04576452
RMV4_spaL_T120_MMC,recA,6.204857406
RMV4_spaL_T120_MMC,recA,6.034543141
RMV4_spaL_T120_MMC,recA,5.913673074
RMV4_spaL_T120_MMC,lytA,104.3059453
RMV4_spaL_T120_MMC,lytA,99.54109709
RMV4_spaL_T120_MMC,lytA,108.9798525
RMV4_spaL_T120_MMC,int,36.91303618
RMV4_spaL_T120_MMC,int,35.07061207
RMV4_spaL_T120_MMC,int,34.32728918
RMV4_spaL_T120_MMC,rep,43.87264516
RMV4_spaL_T120_MMC,rep,45.2606379
RMV4_spaL_T120_MMC,rep,47.2536885
RMV4_spaL_T0,rpoA,0.968682538162513
RMV4_spaL_T0,rpoA,0.973125090903529
RMV4_spaL_T0,rpoA,1.060837125625240
RMV4_spaL_T0,recA,1.243811479609730
RMV4_spaL_T0,recA,1.238740617579460
RMV4_spaL_T0,recA,0.649030432736934
RMV4_spaL_T0,lytA,1.160756212538070
RMV4_spaL_T0,lytA,0.815093841290811
RMV4_spaL_T0,lytA,1.056939730064140
RMV4_spaL_T0,rep,2.040775641416150
RMV4_spaL_T0,rep,0.422518878131050
RMV4_spaL_T0,rep,1.159737682059610
RMV4_spaL_T0,Int,0.321570051369337
RMV4_spaL_T0,Int,2.258450076518450
RMV4_spaL_T0,Int,1.376938313201630
RMV4_spaL_T20,rpoA,0.959029882790591
RMV4_spaL_T20,rpoA,0.956229367620908
RMV4_spaL_T20,rpoA,1.090445739986370
RMV4_spaL_T20,recA,0.556654403973085
RMV4_spaL_T20,recA,0.447941138446789
RMV4_spaL_T20,recA,0.660479013080678
RMV4_spaL_T20,lytA,0.183274534591674
RMV4_spaL_T20,lytA,0.188668998811906
RMV4_spaL_T20,lytA,0.152734186821526
RMV4_spaL_T20,rep,0.738507773956037
RMV4_spaL_T20,rep,0.427676382825696
RMV4_spaL_T20,rep,0.809197019959879
RMV4_spaL_T20,Int,0.489225875645040
RMV4_spaL_T20,Int,0.520629378432772
RMV4_spaL_T20,Int,0.687007098853973
RMV4_spaL_T60,rpoA,0.973543307131554
RMV4_spaL_T60,rpoA,0.987723843338353
RMV4_spaL_T60,rpoA,1.039942164182930
RMV4_spaL_T60,recA,0.395955494920776
RMV4_spaL_T60,recA,0.256621509518644
RMV4_spaL_T60,recA,0.470567529352263
RMV4_spaL_T60,lytA,0.115911387053009
RMV4_spaL_T60,lytA,0.146191676176845
RMV4_spaL_T60,lytA,0.088737030404626
RMV4_spaL_T60,rep,0.335500979961522
RMV4_spaL_T60,rep,0.470306309475598
RMV4_spaL_T60,rep,0.457282207916159
RMV4_spaL_T60,Int,0.566064753704581
RMV4_spaL_T60,Int,0.319475017600713
RMV4_spaL_T60,Int,0.275885827180646
RMV4_spaL_T120,rpoA,1.185441336633990
RMV4_spaL_T120,rpoA,1.145671704610210
RMV4_spaL_T120,rpoA,0.736307410694888
RMV4_spaL_T120,recA,8.274322589942050
RMV4_spaL_T120,recA,8.614139094283610
RMV4_spaL_T120,recA,8.234610223636200
RMV4_spaL_T120,lytA,2.754848898760900
RMV4_spaL_T120,lytA,2.804162215515450
RMV4_spaL_T120,lytA,2.951879978831860
RMV4_spaL_T120,rep,17.829716431451400
RMV4_spaL_T120,rep,20.199029401894900
RMV4_spaL_T120,rep,20.493517418094100
RMV4_spaL_T120,Int,12.523024030806700
RMV4_spaL_T120,Int,12.705550752185000
RMV4_spaL_T120,Int,13.914279868202100
RMV4_spaL_T20_CSP,rpoA,1.016477755548060
RMV4_spaL_T20_CSP,rpoA,1.010334803225850
RMV4_spaL_T20_CSP,rpoA,0.973727379207423
RMV4_spaL_T20_CSP,recA,3.882698976485230
