mutants,gene,fold_change
recA_T0,rpoA,1.007720148
recA_T0,rpoA,1.023914864
recA_T0,rpoA,0.969160346
recA_T0,lytA,0.000692239
recA_T0,lytA,0.000893222
recA_T0,lytA,0.000801729
recA_T0,dnaC,0.011084262
recA_T0,dnaC,0.008705563
recA_T0,dnaC,0.008064548
recA_T0,int,0.539282238
recA_T0,int,0.53214739
recA_T0,int,0.491132012
recA_T0,reg,0.139629451
recA_T0,reg,0.127665353
recA_T0,reg,0.152668328
recA_T20,rpoA,0.973686185
recA_T20,rpoA,0.998563938
recA_T20,rpoA,1.028501936
recA_T20,lytA,0.000877035
recA_T20,lytA,0.001091259
recA_T20,lytA,0.001089796
recA_T20,dnaC,0.01352172
recA_T20,dnaC,0.013669324
recA_T20,dnaC,0.012463554
recA_T20,int,0.579252288
recA_T20,int,0.553630094
recA_T20,int,0.614022942
recA_T20,reg,0.210593181
recA_T20,reg,0.213831909
recA_T20,reg,0.229648938
recA_T60,rpoA,1.006519148
recA_T60,rpoA,0.99006538
recA_T60,rpoA,1.003489738
recA_T60,lytA,0.003256495
recA_T60,lytA,0.004499736
recA_T60,lytA,0.004273543
recA_T60,dnaC,0.017475329
recA_T60,dnaC,0.014351969
recA_T60,dnaC,0.016717781
recA_T60,int,0.465705
recA_T60,int,0.449866
recA_T60,int,0.449055484
recA_T60,reg,0.146113571
recA_T60,reg,0.175699722
recA_T60,reg,0.18400867
recA_T120,rpoA,0.68377853
recA_T120,rpoA,0.728820943
recA_T120,rpoA,0.718060218
recA_T120,lytA,0.163588991
recA_T120,lytA,0.159613615
recA_T120,lytA,0.153717712
recA_T120,dnaC,0.35373355
recA_T120,dnaC,0.338791048
recA_T120,dnaC,0.324583583
recA_T120,int,1.688745077
recA_T120,int,1.638524514
recA_T120,int,1.602394998
recA_T120,reg,0.987723553
recA_T120,reg,0.9284292
recA_T120,reg,0.967801554
recA_T20_CSP,rpoA,0.963005384
recA_T20_CSP,rpoA,1.004944841
recA_T20_CSP,rpoA,1.033303526
recA_T20_CSP,lytA,0.001547753
recA_T20_CSP,lytA,0.001912512
recA_T20_CSP,lytA,0.001211835
recA_T20_CSP,dnaC,0.103726785
recA_T20_CSP,dnaC,0.098149818
recA_T20_CSP,dnaC,0.101667851
recA_T20_CSP,int,0.964015957
recA_T20_CSP,int,0.986975009
recA_T20_CSP,int,0.928451977
recA_T20_CSP,reg,0.229152159
recA_T20_CSP,reg,0.230989338
recA_T20_CSP,reg,0.247194156
recA_T60_CSP,rpoA,0.987534514
recA_T60_CSP,rpoA,1.004680482
recA_T60_CSP,rpoA,1.00790402
recA_T60_CSP,lytA,0.001580551
recA_T60_CSP,lytA,0.001587743
recA_T60_CSP,lytA,0.001301061
recA_T60_CSP,dnaC,0.164042983
recA_T60_CSP,dnaC,0.173349166
recA_T60_CSP,dnaC,0.153126493
recA_T60_CSP,int,0.798907519
recA_T60_CSP,int,0.799818495
recA_T60_CSP,int,0.817652152
recA_T60_CSP,reg,0.170447651
recA_T60_CSP,reg,0.170649228
recA_T60_CSP,reg,0.150681551
recA_T120_CSP,rpoA,1.359590753
recA_T120_CSP,rpoA,1.391613864
recA_T120_CSP,rpoA,1.476980399
recA_T120_CSP,lytA,0.001232216
recA_T120_CSP,lytA,0.001021541
recA_T120_CSP,lytA,0.000902714
recA_T120_CSP,dnaC,0.172148315
recA_T120_CSP,dnaC,0.159488154
recA_T120_CSP,dnaC,0.165985246
recA_T120_CSP,int,1.366108405
recA_T120_CSP,int,1.397157816
recA_T120_CSP,int,1.275709571
recA_T120_CSP,reg,0.316786096
recA_T120_CSP,reg,0.341115309
recA_T120_CSP,reg,0.315357818
recA_T20_MMC,rpoA,1.039587506
recA_T20_MMC,rpoA,0.916566491
recA_T20_MMC,rpoA,1.049481949
recA_T20_MMC,lytA,0.007448551
recA_T20_MMC,lytA,0.006926663
recA_T20_MMC,lytA,0.007751225
recA_T20_MMC,dnaC,0.020649558
recA_T20_MMC,dnaC,0.021074402
recA_T20_MMC,dnaC,0.020252601
recA_T20_MMC,int,0.583450303
recA_T20_MMC,int,0.659466294
recA_T20_MMC,int,0.581410534
recA_T20_MMC,reg,0.20480702
recA_T20_MMC,reg,0.213656988
recA_T20_MMC,reg,0.209986267
recA_T60_MMC,rpoA,0.967983545
recA_T60_MMC,rpoA,0.985954706
recA_T60_MMC,rpoA,1.047791959
recA_T60_MMC,lytA,0.07762064
recA_T60_MMC,lytA,0.07398624
recA_T60_MMC,lytA,0.077148898
recA_T60_MMC,dnaC,0.163171941
recA_T60_MMC,dnaC,0.132088009
recA_T60_MMC,dnaC,0.155694129
recA_T60_MMC,int,1.163260828
recA_T60_MMC,int,1.145083157
recA_T60_MMC,int,1.130472812
recA_T60_MMC,reg,0.470741618
recA_T60_MMC,reg,0.476664176
recA_T60_MMC,reg,0.462863306
recA_T120_MMC,rpoA,1.082388006
recA_T120_MMC,rpoA,0.912647552
recA_T120_MMC,rpoA,1.012312291
recA_T120_MMC,lytA,0.069162399
recA_T120_MMC,lytA,0.070020149
recA_T120_MMC,lytA,0.064791261
recA_T120_MMC,dnaC,0.143744131
recA_T120_MMC,dnaC,0.134818064
recA_T120_MMC,dnaC,0.14751838
recA_T120_MMC,int,1.128549446
recA_T120_MMC,int,1.03391071
recA_T120_MMC,int,1.08292524
recA_T120_MMC,reg,0.402573496
recA_T120_MMC,reg,0.31292076
recA_T120_MMC,reg,0.268042209
