OD600, control, control, control, control_MMC, control_MMC, control_MMC, control_IPTG, control_IPTG, control_IPTG, control_MMC_IPTG, control_MMC_IPTG, control_MMC_IPTG,control_GD,control_GD,control_GD,control_MMC_GD,control_MMC_GD,control_MMC_GD,control_GD_IPTG,control_GD_IPTG,control_GD_IPTG,control_MMC_GD_IPTG,control_MMC_GD_IPTG,control_MMC_GD_IPTG
00:00:00,0.09,0.096,0.096,0.091,0.1,0.095,0.096,0.098,0.092,0.092,0.09,0.096,0.093,0.102,0.1,0.096,0.096,0.096,0.096,0.1,0.096,0.097,0.096,0.099
00:30:00,0.111,0.116,0.114,0.107,0.116,0.112,0.113,0.116,0.107,0.109,0.106,0.111,0.108,0.12,0.119,0.115,0.114,0.117,0.112,0.117,0.114,0.115,0.111,0.115
01:00:00,0.133,0.14,0.141,0.131,0.14,0.138,0.138,0.142,0.133,0.132,0.129,0.134,0.121,0.147,0.143,0.138,0.137,0.137,0.135,0.136,0.136,0.14,0.135,0.14
01:30:00,0.175,0.183,0.182,0.159,0.168,0.167,0.181,0.187,0.181,0.164,0.165,0.172,0.169,0.185,0.186,0.164,0.166,0.166,0.177,0.184,0.183,0.175,0.172,0.176
02:00:00,0.231,0.246,0.246,0.18,0.191,0.189,0.245,0.248,0.236,0.195,0.194,0.196,0.232,0.248,0.252,0.192,0.19,0.192,0.243,0.257,0.246,0.205,0.199,0.199
02:30:00,0.312,0.317,0.322,0.195,0.206,0.204,0.328,0.332,0.317,0.226,0.219,0.223,0.304,0.324,0.346,0.205,0.203,0.201,0.322,0.342,0.333,0.236,0.231,0.231
03:00:00,0.385,0.392,0.391,0.207,0.216,0.208,0.402,0.403,0.383,0.256,0.244,0.244,0.379,0.401,0.411,0.21,0.209,0.213,0.385,0.407,0.399,0.26,0.247,0.246
03:30:00,0.398,0.411,0.416,0.224,0.239,0.233,0.415,0.423,0.395,0.297,0.283,0.278,0.386,0.418,0.429,0.234,0.235,0.236,0.412,0.428,0.417,0.302,0.283,0.275
04:00:00,0.398,0.42,0.431,0.249,0.265,0.257,0.43,0.442,0.421,0.324,0.307,0.309,0.379,0.426,0.439,0.259,0.252,0.254,0.428,0.446,0.437,0.327,0.314,0.315
04:30:00,0.401,0.43,0.433,0.259,0.278,0.283,0.429,0.438,0.415,0.314,0.3,0.29,0.39,0.437,0.443,0.281,0.268,0.264,0.426,0.441,0.429,0.322,0.304,0.296
