mutants,repbyrpoA
RMV8_int_4hr,1.13774576
RMV8_int_4hr,1.195069948
RMV8_int_4hr,1.208067542
RMV8_int_4hr_MMC,0.984576275
RMV8_int_4hr_MMC,1.069498052
RMV8_int_4hr_MMC,0.854307297
RMV8_hybrid_int_4hr,0.912596769
RMV8_hybrid_int_4hr,0.957810223
RMV8_hybrid_int_4hr,0.878347083
RMV8_hybrid_int_4hr_MMC,1.050637887
RMV8_hybrid_int_4hr_MMC,0.993916069
RMV8_hybrid_int_4hr_MMC,1.037357087
RMV8_hybrid_int_4hr,1.290222371
RMV8_hybrid_int_4hr,1.246554859
RMV8_hybrid_int_4hr,1.311140193
RMV8_hybrid_int_4hr_CSP,1.108153614
RMV8_hybrid_int_4hr_CSP,1.061004288
RMV8_hybrid_int_4hr_CSP,1.130221071
RMV8_hybrid_int_4hr_MMC,1.532454368
RMV8_hybrid_int_4hr_MMC,1.461673466
RMV8_hybrid_int_4hr_MMC,1.482034771
RMV8_hybrid_int_4hr,0.903174581
RMV8_hybrid_int_4hr,0.882546112
RMV8_hybrid_int_4hr,0.825357272
RMV8_hybrid_int_4hr_MMC,1.511883443
RMV8_hybrid_int_4hr_MMC,1.450130385
RMV8_hybrid_int_4hr_MMC,2.038602068
RMV8_int_4hr,0.980013326
RMV8_int_4hr,0.936909214
RMV8_int_4hr,1.025487409
RMV8_int_4hr_MMC,2.194194429
RMV8_int_4hr_MMC,2.198376791
RMV8_int_4hr_MMC,2.19917865
