mutants,ADbyAB
RMV8,0.006
RMV8,0.006
RMV8,0.005
RMV8 integrase::cat,7.54E-06
RMV8 integrase::cat,1.20E-05
RMV8 integrase::cat,6.15E-06
RMV8 lytA::cat,0.002796523
RMV8 lytA::cat,0.00276129
RMV8 lytA::cat,0.002843053
RMV8 rep::cat,0.002896468
RMV8 rep::cat,0.003059804
RMV8 rep::cat,0.003270019
RMV8 recA::Janus,0.000133949
RMV8 recA::Janus,0.000135961
RMV8 recA::Janus,0.000132187
RMV8 recA::Janus,5.28E-05
RMV8 recA::Janus,1.08E-05
RMV8 recA::Janus,1.30E-05
RMV8 integrase::cat recA::Janus,5.28E-05
RMV8 integrase::cat recA::Janus,6.25E-05
RMV8 integrase::cat recA::Janus,4.89E-05
RMV8 integrase::cat recA::Janus,6.51E-05
RMV8 integrase::cat recA::Janus,9.59E-05
RMV8 integrase::cat recA::Janus,9.75E-05
RMV8,0.006724894
RMV8,0.007158337
RMV8,0.006967426
RMV8 integrase::cat,3.50E-05
RMV8 integrase::cat,3.82E-05
RMV8 integrase::cat,4.38E-05
RMV8 recA::Janus,0.000184585
RMV8 recA::Janus,0.000198011
RMV8 recA::Janus,0.000187637
RMV8 rep::cat,0.004105255
RMV8 rep::cat,0.004093429
RMV8 rep::cat,0.003869424
RMV8 lytA::cat,0.001634071
RMV8 lytA::cat,0.001754621
RMV8 lytA::cat,0.001628043
RMV8_Reg2743,0.006558677
RMV8_Reg2743,0.006710533
RMV8_Reg2743,0.006786325
RMV8_Reg2743,0.006668332
RMV8_Reg2743,0.006735577
RMV8_Reg2743,0.006740402
RMV8_Reg2743,0.001487211
RMV8_Reg2743,0.001514044
RMV8_Reg2743,0.001461701
RMV8_reg2743_2_RR2-1,0.022339988
RMV8_reg2743_2_RR2-1,0.02194919
RMV8_reg2743_2_RR2-1,0.017893676
RMV8_reg2743_2_RR2-2,0.042889754
RMV8_reg2743_2_RR2-2,0.041649157
RMV8_reg2743_2_RR2-2,0.039637931
