OD600,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD
00:00:00,0.074,0.083,0.081,0.076,0.079,0.079,0.082,0.085,0.086,0.082,0.085,0.082,0.121,0.125,0.12,0.119,0.124,0.124,0.122,0.118,0.121,0.123,0.128,0.122
00:30:00,0.097,0.104,0.103,0.095,0.096,0.098,0.102,0.103,0.103,0.099,0.101,0.097,0.152,0.159,0.153,0.15,0.154,0.153,0.153,0.148,0.151,0.154,0.159,0.159
01:00:00,0.135,0.144,0.141,0.126,0.128,0.128,0.14,0.14,0.143,0.13,0.133,0.126,0.205,0.221,0.214,0.207,0.214,0.215,0.214,0.206,0.213,0.212,0.209,0.207
01:30:00,0.193,0.205,0.204,0.17,0.173,0.177,0.204,0.203,0.202,0.173,0.18,0.183,0.277,0.298,0.291,0.274,0.286,0.279,0.291,0.284,0.289,0.276,0.272,0.277
02:00:00,0.282,0.295,0.308,0.231,0.232,0.231,0.296,0.297,0.295,0.227,0.232,0.237,0.371,0.387,0.376,0.32,0.332,0.333,0.38,0.369,0.373,0.328,0.343,0.354
02:30:00,0.384,0.398,0.412,0.266,0.273,0.274,0.395,0.396,0.393,0.27,0.272,0.275,0.399,0.414,0.399,0.33,0.343,0.339,0.405,0.391,0.399,0.337,0.334,0.334
03:00:00,0.397,0.416,0.424,0.297,0.307,0.303,0.412,0.414,0.416,0.305,0.309,0.317,0.401,0.424,0.409,0.329,0.344,0.338,0.414,0.398,0.41,0.33,0.321,0.325
03:30:00,0.4,0.427,0.437,0.299,0.3,0.301,0.434,0.426,0.428,0.304,0.303,0.305,0.401,0.426,0.419,0.313,0.324,0.325,0.42,0.407,0.419,0.319,0.309,0.31
04:00:00,0.403,0.436,0.444,0.288,0.292,0.292,0.44,0.435,0.438,0.294,0.303,0.294,0.397,0.431,0.423,0.303,0.312,0.309,0.422,0.407,0.42,0.306,0.298,0.294
04:30:00,0.396,0.446,0.448,0.278,0.283,0.28,0.435,0.432,0.438,0.287,0.313,0.301,0.401,0.442,0.419,0.289,0.3,0.299,0.421,0.408,0.418,0.295,0.297,0.287
05:00:00,0.417,0.454,0.447,0.276,0.28,0.28,0.443,0.438,0.443,0.281,0.298,0.292,0.412,0.438,0.417,0.284,0.293,0.291,0.421,0.406,0.42,0.284,0.305,0.289
05:30:00,0.437,0.446,0.444,0.265,0.271,0.273,0.441,0.442,0.444,0.273,0.288,0.296,0.433,0.437,0.421,0.275,0.286,0.284,0.421,0.407,0.42,0.271,0.302,0.279
06:00:00,0.444,0.445,0.443,0.261,0.267,0.267,0.444,0.442,0.445,0.272,0.279,0.306,0.435,0.431,0.416,0.268,0.277,0.276,0.418,0.405,0.418,0.267,0.299,0.286
06:30:00,0.453,0.443,0.442,0.254,0.26,0.259,0.441,0.44,0.445,0.26,0.27,0.297,0.443,0.43,0.416,0.26,0.268,0.269,0.416,0.406,0.418,0.263,0.292,0.299
