OD600,control,control,control,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.122,0.126,0.127,0.127,0.128,0.128
00:30:00,0.149,0.154,0.154,0.152,0.153,0.155
01:00:00,0.189,0.202,0.202,0.202,0.202,0.203
01:30:00,0.255,0.269,0.277,0.256,0.25,0.244
02:00:00,0.341,0.354,0.363,0.248,0.231,0.223
02:30:00,0.379,0.394,0.405,0.226,0.176,0.157
03:00:00,0.385,0.409,0.424,0.199,0.138,0.115
03:30:00,0.385,0.413,0.43,0.18,0.116,0.099
04:00:00,0.378,0.416,0.439,0.163,0.108,0.084
04:30:00,0.373,0.426,0.441,0.158,0.101,0.085
05:00:00,0.369,0.444,0.444,0.15,0.099,0.081
05:30:00,0.388,0.439,0.443,0.147,0.095,0.078
06:00:00,0.404,0.434,0.441,0.141,0.092,0.079
06:30:00,0.399,0.431,0.442,0.135,0.09,0.079
07:00:00,0.415,0.431,0.44,0.133,0.089,0.076
07:30:00,0.414,0.427,0.441,0.129,0.088,0.074
08:00:00,0.419,0.423,0.438,0.125,0.085,0.073
08:30:00,0.409,0.421,0.437,0.121,0.086,0.072
09:00:00,0.42,0.419,0.432,0.115,0.084,0.072
09:30:00,0.421,0.415,0.431,0.111,0.084,0.072
10:00:00,0.424,0.416,0.427,0.106,0.083,0.075
10:30:00,0.418,0.408,0.425,0.1,0.082,0.078
11:00:00,0.421,0.407,0.422,0.094,0.082,0.081
11:30:00,0.424,0.407,0.419,0.089,0.082,0.086
12:00:00,0.433,0.405,0.411,0.085,0.081,0.091
12:30:00,0.415,0.398,0.408,0.082,0.079,0.095
13:00:00,0.409,0.396,0.402,0.08,0.078,0.097
13:30:00,0.401,0.383,0.396,0.077,0.078,0.098
14:00:00,0.403,0.37,0.385,0.076,0.077,0.099
14:30:00,0.396,0.363,0.379,0.074,0.075,0.099
15:00:00,0.385,0.359,0.369,0.073,0.074,0.1
15:30:00,0.371,0.348,0.359,0.072,0.072,0.1
16:00:00,0.359,0.333,0.347,0.071,0.07,0.099
16:30:00,0.344,0.311,0.337,0.07,0.069,0.099
17:00:00,0.33,0.306,0.325,0.07,0.067,0.096
17:30:00,0.32,0.296,0.313,0.069,0.067,0.093
18:00:00,0.306,0.282,0.302,0.068,0.066,0.091
18:30:00,0.295,0.272,0.29,0.068,0.066,0.091
19:00:00,0.283,0.258,0.276,0.067,0.065,0.09
19:30:00,0.265,0.247,0.269,0.067,0.063,0.088
20:00:00,0.261,0.237,0.256,0.067,0.063,0.088
20:30:00,0.254,0.227,0.245,0.066,0.063,0.085
