OD600,control,control,control,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.092,0.095,0.094,0.099,0.096,0.096
00:30:00,0.108,0.113,0.11,0.113,0.111,0.11
01:00:00,0.132,0.14,0.137,0.144,0.144,0.139
01:30:00,0.173,0.183,0.179,0.162,0.158,0.159
02:00:00,0.241,0.251,0.251,0.166,0.158,0.16
02:30:00,0.327,0.33,0.333,0.144,0.143,0.14
03:00:00,0.402,0.419,0.418,0.134,0.127,0.124
03:30:00,0.406,0.426,0.425,0.125,0.12,0.119
04:00:00,0.401,0.422,0.421,0.117,0.108,0.114
04:30:00,0.412,0.43,0.414,0.113,0.105,0.11
05:00:00,0.417,0.423,0.424,0.109,0.099,0.107
05:30:00,0.423,0.427,0.428,0.104,0.096,0.102
06:00:00,0.425,0.428,0.43,0.104,0.092,0.102
06:30:00,0.428,0.443,0.437,0.103,0.092,0.102
07:00:00,0.421,0.44,0.436,0.104,0.091,0.102
07:30:00,0.424,0.44,0.435,0.109,0.097,0.104
08:00:00,0.42,0.428,0.43,0.116,0.099,0.101
08:30:00,0.428,0.445,0.44,0.127,0.108,0.094
09:00:00,0.426,0.429,0.427,0.14,0.113,0.098
09:30:00,0.421,0.436,0.429,0.152,0.115,0.089
10:00:00,0.418,0.441,0.428,0.16,0.124,0.077
10:30:00,0.424,0.436,0.429,0.167,0.13,0.065
11:00:00,0.422,0.434,0.427,0.164,0.122,0.058
11:30:00,0.425,0.439,0.424,0.173,0.122,0.052
12:00:00,0.419,0.438,0.426,0.174,0.123,0.049
12:30:00,0.418,0.431,0.425,0.173,0.138,0.046
13:00:00,0.415,0.431,0.428,0.172,0.139,0.045
13:30:00,0.41,0.429,0.411,0.167,0.147,0.044
14:00:00,0.409,0.425,0.404,0.169,0.157,0.045
14:30:00,0.401,0.42,0.405,0.17,0.157,0.047
15:00:00,0.398,0.414,0.401,0.17,0.157,0.05
15:30:00,0.387,0.406,0.401,0.174,0.159,0.088
16:00:00,0.378,0.401,0.386,0.175,0.16,0.124
16:30:00,0.364,0.39,0.384,0.175,0.165,0.125
17:00:00,0.353,0.378,0.365,0.175,0.165,0.134
17:30:00,0.336,0.359,0.351,0.171,0.165,0.135
18:00:00,0.328,0.347,0.341,0.169,0.165,0.135
18:30:00,0.313,0.333,0.328,0.167,0.163,0.14
19:00:00,0.297,0.318,0.312,0.163,0.166,0.148
19:30:00,0.283,0.298,0.3,0.161,0.162,0.145
20:00:00,0.271,0.288,0.284,0.159,0.162,0.15
20:30:00,0.255,0.273,0.268,0.153,0.16,0.148
