OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.181,0.225,0.217,0.229,0.246,0.272,0.255,0.236,0.244,0.237,0.232,0.201,0.241,0.25,0.251,0.255,0.286,0.263,0.275,0.244,0.267,0.275,0.264,0.241
00:30:00,0.138,0.152,0.152,0.155,0.153,0.151,0.158,0.154,0.16,0.155,0.159,0.157,0.151,0.164,0.157,0.164,0.162,0.165,0.153,0.15,0.152,0.163,0.162,0.166
01:00:00,0.176,0.2,0.2,0.205,0.202,0.199,0.197,0.199,0.2,0.201,0.205,0.203,0.181,0.206,0.2,0.214,0.215,0.217,0.186,0.184,0.184,0.21,0.212,0.211
01:30:00,0.242,0.268,0.278,0.281,0.277,0.273,0.267,0.267,0.271,0.271,0.275,0.274,0.24,0.276,0.264,0.288,0.286,0.294,0.242,0.238,0.238,0.285,0.28,0.282
02:00:00,0.33,0.365,0.373,0.382,0.371,0.375,0.356,0.369,0.371,0.376,0.375,0.374,0.326,0.363,0.358,0.374,0.38,0.383,0.317,0.316,0.318,0.38,0.382,0.375
02:30:00,0.382,0.417,0.421,0.429,0.419,0.421,0.415,0.416,0.419,0.418,0.421,0.414,0.4,0.425,0.426,0.422,0.441,0.438,0.395,0.403,0.393,0.429,0.421,0.426
03:00:00,0.391,0.432,0.435,0.445,0.436,0.44,0.428,0.433,0.439,0.441,0.435,0.425,0.403,0.449,0.444,0.42,0.434,0.441,0.417,0.417,0.41,0.438,0.436,0.444
03:30:00,0.393,0.447,0.456,0.46,0.451,0.452,0.442,0.444,0.452,0.457,0.446,0.427,0.412,0.468,0.453,0.439,0.443,0.434,0.412,0.411,0.416,0.447,0.444,0.448
04:00:00,0.397,0.471,0.461,0.467,0.456,0.455,0.443,0.447,0.452,0.457,0.433,0.42,0.413,0.481,0.456,0.423,0.433,0.429,0.408,0.413,0.414,0.454,0.446,0.455
04:30:00,0.405,0.475,0.467,0.476,0.462,0.464,0.453,0.453,0.457,0.466,0.443,0.42,0.411,0.487,0.454,0.416,0.421,0.416,0.405,0.416,0.431,0.469,0.461,0.469
05:00:00,0.414,0.471,0.469,0.478,0.465,0.467,0.459,0.459,0.468,0.47,0.461,0.416,0.443,0.483,0.455,0.403,0.407,0.406,0.392,0.41,0.421,0.484,0.477,0.477
05:30:00,0.454,0.472,0.468,0.476,0.465,0.463,0.452,0.452,0.461,0.463,0.475,0.411,0.461,0.478,0.449,0.396,0.394,0.39,0.379,0.398,0.418,0.479,0.474,0.471
06:00:00,0.463,0.466,0.464,0.474,0.462,0.465,0.461,0.461,0.472,0.467,0.498,0.409,0.462,0.475,0.451,0.391,0.386,0.379,0.376,0.39,0.409,0.484,0.489,0.472
06:30:00,0.469,0.478,0.474,0.489,0.478,0.476,0.468,0.471,0.48,0.474,0.513,0.407,0.45,0.473,0.447,0.385,0.382,0.37,0.366,0.392,0.41,0.49,0.483,0.48
07:00:00,0.469,0.474,0.478,0.491,0.481,0.481,0.475,0.473,0.483,0.474,0.523,0.416,0.468,0.477,0.449,0.378,0.374,0.359,0.359,0.383,0.403,0.489,0.496,0.48
07:30:00,0.469,0.47,0.473,0.49,0.479,0.477,0.475,0.475,0.485,0.472,0.527,0.43,0.474,0.485,0.447,0.372,0.366,0.35,0.354,0.379,0.396,0.489,0.503,0.483
08:00:00,0.494,0.476,0.479,0.497,0.487,0.487,0.482,0.482,0.494,0.479,0.53,0.425,0.473,0.483,0.444,0.365,0.357,0.345,0.346,0.375,0.393,0.492,0.493,0.483
08:30:00,0.482,0.479,0.481,0.505,0.49,0.491,0.485,0.484,0.497,0.48,0.536,0.446,0.472,0.491,0.443,0.354,0.351,0.337,0.337,0.373,0.395,0.493,0.497,0.495
09:00:00,0.49,0.474,0.478,0.5,0.488,0.487,0.482,0.482,0.496,0.478,0.531,0.427,0.463,0.494,0.441,0.345,0.342,0.329,0.338,0.373,0.395,0.49,0.495,0.48
09:30:00,0.479,0.477,0.48,0.504,0.489,0.491,0.483,0.484,0.498,0.477,0.535,0.422,0.451,0.493,0.439,0.338,0.335,0.324,0.328,0.375,0.398,0.49,0.488,0.479
10:00:00,0.47,0.476,0.472,0.498,0.483,0.486,0.481,0.48,0.498,0.474,0.535,0.428,0.451,0.492,0.435,0.329,0.328,0.318,0.33,0.378,0.4,0.489,0.488,0.476
10:30:00,0.47,0.475,0.477,0.502,0.486,0.489,0.479,0.478,0.496,0.473,0.533,0.417,0.464,0.493,0.435,0.321,0.32,0.308,0.326,0.374,0.403,0.489,0.49,0.492
11:00:00,0.471,0.471,0.474,0.499,0.484,0.487,0.485,0.484,0.5,0.475,0.528,0.43,0.46,0.493,0.425,0.309,0.312,0.298,0.332,0.382,0.408,0.493,0.484,0.479
11:30:00,0.477,0.464,0.473,0.5,0.485,0.487,0.484,0.487,0.502,0.475,0.535,0.437,0.456,0.491,0.422,0.3,0.303,0.291,0.333,0.38,0.403,0.487,0.487,0.472
12:00:00,0.482,0.463,0.473,0.502,0.485,0.49,0.488,0.484,0.501,0.473,0.533,0.427,0.445,0.489,0.421,0.287,0.294,0.283,0.334,0.382,0.403,0.486,0.482,0.5
12:30:00,0.479,0.459,0.466,0.497,0.483,0.486,0.484,0.482,0.5,0.467,0.528,0.43,0.462,0.485,0.414,0.279,0.286,0.28,0.335,0.382,0.399,0.49,0.482,0.507
13:00:00,0.464,0.455,0.465,0.497,0.481,0.483,0.485,0.482,0.499,0.468,0.534,0.417,0.453,0.48,0.411,0.273,0.279,0.274,0.335,0.382,0.402,0.489,0.484,0.491
13:30:00,0.461,0.451,0.462,0.495,0.479,0.48,0.482,0.481,0.499,0.463,0.53,0.43,0.45,0.479,0.405,0.268,0.273,0.269,0.338,0.386,0.404,0.489,0.485,0.484
14:00:00,0.46,0.447,0.459,0.495,0.478,0.482,0.486,0.486,0.502,0.464,0.529,0.428,0.444,0.473,0.401,0.259,0.265,0.265,0.337,0.387,0.405,0.494,0.492,0.492
14:30:00,0.464,0.445,0.455,0.494,0.473,0.481,0.484,0.483,0.5,0.461,0.528,0.424,0.434,0.47,0.39,0.253,0.256,0.263,0.343,0.385,0.404,0.487,0.489,0.495
15:00:00,0.467,0.438,0.449,0.487,0.471,0.475,0.482,0.482,0.498,0.456,0.526,0.438,0.441,0.464,0.387,0.245,0.251,0.262,0.341,0.383,0.398,0.488,0.484,0.485
15:30:00,0.475,0.433,0.445,0.489,0.472,0.476,0.485,0.482,0.501,0.449,0.523,0.441,0.431,0.455,0.381,0.237,0.243,0.263,0.341,0.379,0.397,0.487,0.487,0.491
16:00:00,0.465,0.428,0.436,0.487,0.466,0.474,0.482,0.482,0.501,0.445,0.522,0.44,0.42,0.447,0.371,0.229,0.237,0.26,0.338,0.378,0.392,0.491,0.481,0.491
16:30:00,0.466,0.426,0.425,0.481,0.463,0.473,0.479,0.48,0.499,0.438,0.52,0.431,0.412,0.437,0.362,0.223,0.23,0.263,0.334,0.374,0.386,0.486,0.484,0.483
17:00:00,0.451,0.418,0.42,0.481,0.464,0.468,0.478,0.478,0.499,0.433,0.522,0.422,0.402,0.426,0.356,0.217,0.225,0.262,0.332,0.368,0.377,0.487,0.487,0.504
17:30:00,0.466,0.416,0.407,0.474,0.456,0.464,0.475,0.475,0.492,0.426,0.52,0.42,0.384,0.414,0.347,0.21,0.215,0.257,0.325,0.365,0.374,0.486,0.493,0.502
18:00:00,0.461,0.409,0.397,0.473,0.455,0.461,0.475,0.474,0.494,0.417,0.52,0.435,0.387,0.404,0.339,0.206,0.21,0.255,0.318,0.359,0.363,0.485,0.483,0.49
18:30:00,0.457,0.405,0.385,0.47,0.451,0.458,0.474,0.473,0.491,0.41,0.513,0.426,0.374,0.391,0.331,0.2,0.202,0.25,0.312,0.35,0.36,0.485,0.488,0.487
19:00:00,0.452,0.396,0.377,0.466,0.445,0.451,0.469,0.47,0.488,0.401,0.512,0.445,0.369,0.378,0.32,0.193,0.195,0.245,0.303,0.342,0.349,0.484,0.485,0.481
19:30:00,0.447,0.391,0.368,0.463,0.441,0.45,0.468,0.468,0.486,0.395,0.511,0.44,0.364,0.363,0.31,0.187,0.19,0.238,0.291,0.328,0.341,0.479,0.487,0.475
20:00:00,0.455,0.387,0.353,0.456,0.437,0.441,0.463,0.462,0.484,0.384,0.502,0.446,0.36,0.352,0.299,0.182,0.185,0.232,0.283,0.323,0.333,0.473,0.478,0.477
20:30:00,0.447,0.378,0.345,0.448,0.433,0.438,0.464,0.461,0.483,0.379,0.499,0.45,0.357,0.339,0.292,0.177,0.181,0.23,0.271,0.307,0.32,0.466,0.48,0.465
