mutants,conditions,deletions
partial3,50ng,0.067428571
partial3,200ng,0.132903226
lytA,50ng,0.071317829
lytA,200ng,0.206
ssbB,50ng,0.018062827
ssbB,200ng,0.056218905
partial3,200ng,0.101748252
lytA,200ng,0.125862069
ssbB,200ng,0.043005181
partial3,50ng,0.042272727
partial3,200ng,0.096818182
lytA,50ng,0.084485981
lytA,200ng,0.208648649
ssbB,50ng,0.010384615
ssbB,200ng,0.020970874
lytA,50ng,0.078511628
lytA,200ng,0.21511811
lytA,50ng,0.071157895
lytA,200ng,0.091034483
modified_partial1,50ng,0.007142857
modified_partial1,200ng,0.042105263
modified_partial1,50ng,0.027173913
modified_partial1,200ng,0.024154589
modified_partial1,50ng,0.045360825
modified_partial1,200ng,0.030379747
partial3,50ng,0.0544
partial3,200ng,0.049681529
lytA,50ng,0.12919708
lytA,200ng,0.24137931
ssbB,50ng,0.002631579
ssbB,200ng,0.01744186
partial3,50ng,0.023717949
partial3,200ng,0.073170732
lytA,50ng,0.13253012
lytA,200ng,0.362962963
ssbB,50ng,0.026946108
ssbB,200ng,0.033333333
modified_partial1,50ng,0.015841584
modified_partial1,200ng,0.049206349
partial3,50ng,0.0825
partial3,200ng,0.202631579
lytA,50ng,0.215789474
lytA,200ng,0.383333333
ssbB,50ng,0.009285714
ssbB,200ng,0.063953488
