mutants,deletions
gd_partial3,0.721698113
gd_lytA,0.904290429
gd_ssbB,0.529411765
gd_partial3,0.478873239
gd_lytA,0.652439024
gd_ssbB,0.617391304
gd_lytA,1.512195122
gd_ssbB,2.388059701
gd_partial3,1.56
gd_lytA,0.24375
gd_ssbB,0.604651163
gd_ssbB,1
gd_lytA,1.428571429
gd_modified1,0.444444444
gd_modified1,0.666666667
gd_modified1,0.318181818
gd_partial3,1.243243243
gd_ssbB,1.549019608
gd_lytA,0.74301676
gd_modified1,0.275362319
gd_partial3,1.4
gd_ssbB,0.157894737
gd_lytA,1.294117647
gd_partial3,0.5
gd_lytA,0.380530973
gd_ssbB,0.454545455
gd_modified1,0.666666667
