OD600,control,control,control,MMC,MMC,MMC,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,zinc_chloride,zinc_chloride,zinc_chloride,,,,,,,,,,,,
00:00:00,0.104,0.108,0.133,0.109,0.11,0.108,0.111,0.121,0.108,0.111,0.111,0.117,,,,,,,,,,,,
00:30:00,0.128,0.133,0.181,0.133,0.137,0.133,0.135,0.143,0.13,0.134,0.134,0.14,,,,,,,,,,,,
01:00:00,0.151,0.163,0.214,0.163,0.168,0.166,0.163,0.169,0.159,0.162,0.162,0.171,,,,,,,,,,,,
01:30:00,0.2,0.21,0.259,0.199,0.207,0.211,0.211,0.222,0.207,0.207,0.208,0.213,,,,,,,,,,,,
02:00:00,0.273,0.28,0.321,0.231,0.227,0.245,0.28,0.29,0.276,0.268,0.272,0.288,,,,,,,,,,,,
02:30:00,0.359,0.367,0.41,0.207,0.193,0.231,0.36,0.372,0.359,0.343,0.35,0.382,,,,,,,,,,,,
03:00:00,0.373,0.375,0.42,0.179,0.153,0.205,0.369,0.382,0.369,0.352,0.367,0.411,,,,,,,,,,,,
03:30:00,0.37,0.381,0.424,0.161,0.128,0.18,0.383,0.4,0.371,0.352,0.368,0.423,,,,,,,,,,,,
04:00:00,0.38,0.386,0.424,0.153,0.124,0.177,0.403,0.412,0.384,0.35,0.371,0.427,,,,,,,,,,,,
04:30:00,0.393,0.396,0.431,0.156,0.119,0.174,0.42,0.424,0.385,0.353,0.384,0.422,,,,,,,,,,,,
05:00:00,0.418,0.442,0.474,0.156,0.112,0.166,0.437,0.439,0.408,0.359,0.391,0.425,,,,,,,,,,,,
05:30:00,0.444,0.485,0.523,0.153,0.112,0.164,0.453,0.449,0.42,0.381,0.411,0.42,,,,,,,,,,,,
06:00:00,0.447,0.489,0.543,0.146,0.115,0.159,0.462,0.45,0.434,0.384,0.421,0.423,,,,,,,,,,,,
06:30:00,0.449,0.485,0.549,0.143,0.117,0.153,0.467,0.453,0.443,0.404,0.422,0.419,,,,,,,,,,,,
07:00:00,0.45,0.474,0.54,0.138,0.117,0.148,0.47,0.457,0.448,0.4,0.428,0.419,,,,,,,,,,,,
07:30:00,0.45,0.462,0.53,0.134,0.112,0.145,0.47,0.464,0.455,0.401,0.43,0.419,,,,,,,,,,,,
08:00:00,0.46,0.453,0.521,0.132,0.108,0.142,0.474,0.466,0.454,0.399,0.436,0.419,,,,,,,,,,,,
08:30:00,0.456,0.462,0.521,0.13,0.105,0.141,0.474,0.465,0.456,0.387,0.431,0.414,,,,,,,,,,,,
09:00:00,0.463,0.484,0.531,0.127,0.102,0.137,0.473,0.463,0.452,0.387,0.418,0.414,,,,,,,,,,,,
09:30:00,0.464,0.496,0.535,0.126,0.098,0.137,0.469,0.47,0.458,0.376,0.42,0.405,,,,,,,,,,,,
10:00:00,0.462,0.503,0.537,0.121,0.095,0.145,0.469,0.466,0.451,0.374,0.417,0.403,,,,,,,,,,,,
10:30:00,0.465,0.502,0.536,0.116,0.091,0.147,0.466,0.463,0.448,0.375,0.419,0.398,,,,,,,,,,,,
11:00:00,0.47,0.509,0.537,0.114,0.088,0.149,0.471,0.469,0.448,0.372,0.42,0.392,,,,,,,,,,,,
11:30:00,0.465,0.503,0.538,0.11,0.087,0.148,0.468,0.468,0.447,0.369,0.419,0.39,,,,,,,,,,,,
12:00:00,0.463,0.507,0.537,0.105,0.084,0.145,0.462,0.472,0.444,0.375,0.413,0.383,,,,,,,,,,,,
12:30:00,0.472,0.515,0.535,0.102,0.082,0.141,0.468,0.466,0.443,0.365,0.421,0.391,,,,,,,,,,,,
13:00:00,0.468,0.514,0.557,0.1,0.082,0.139,0.464,0.461,0.444,0.367,0.415,0.385,,,,,,,,,,,,
13:30:00,0.46,0.511,0.557,0.096,0.082,0.136,0.462,0.46,0.443,0.372,0.417,0.383,,,,,,,,,,,,
14:00:00,0.462,0.502,0.553,0.091,0.079,0.129,0.461,0.458,0.443,0.363,0.415,0.375,,,,,,,,,,,,
14:30:00,0.462,0.499,0.55,0.089,0.077,0.125,0.453,0.447,0.44,0.358,0.408,0.368,,,,,,,,,,,,
15:00:00,0.464,0.495,0.547,0.087,0.076,0.122,0.45,0.443,0.444,0.356,0.41,0.36,,,,,,,,,,,,
15:30:00,0.455,0.502,0.542,0.083,0.073,0.117,0.443,0.434,0.44,0.347,0.406,0.349,,,,,,,,,,,,
16:00:00,0.453,0.504,0.521,0.081,0.07,0.114,0.435,0.425,0.44,0.343,0.405,0.345,,,,,,,,,,,,
16:30:00,0.447,0.501,0.517,0.078,0.068,0.11,0.428,0.418,0.438,0.337,0.398,0.338,,,,,,,,,,,,
17:00:00,0.439,0.501,0.509,0.076,0.067,0.109,0.417,0.412,0.432,0.331,0.396,0.329,,,,,,,,,,,,
17:30:00,0.439,0.498,0.505,0.074,0.064,0.104,0.407,0.407,0.431,0.323,0.387,0.321,,,,,,,,,,,,
18:00:00,0.432,0.494,0.5,0.072,0.063,0.1,0.397,0.397,0.422,0.315,0.385,0.314,,,,,,,,,,,,
18:30:00,0.426,0.494,0.502,0.07,0.061,0.097,0.386,0.389,0.412,0.307,0.383,0.305,,,,,,,,,,,,
19:00:00,0.416,0.489,0.498,0.068,0.06,0.094,0.377,0.379,0.404,0.299,0.372,0.296,,,,,,,,,,,,
19:30:00,0.408,0.485,0.492,0.068,0.058,0.091,0.367,0.368,0.395,0.29,0.364,0.286,,,,,,,,,,,,
20:00:00,0.398,0.482,0.484,0.067,0.057,0.09,0.356,0.362,0.387,0.281,0.352,0.277,,,,,,,,,,,,
20:30:00,0.38,0.48,0.478,0.067,0.056,0.089,0.342,0.354,0.376,0.271,0.34,0.267,,,,,,,,,,,,
