OD600,control,control,control,zinc_chloride,zinc_chloride,zinc_chloride,Mn_chloride,Mn_chloride,Mn_chloride,citrate,citrate,citrate,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.143,0.146,0.151,0.147,0.149,0.148,0.152,0.147,0.147,0.148,0.139,0.143,0.148,0.154,0.151,0.153,0.151,0.151,0.147,0.149,0.145,0.145,0.144,0.143
00:30:00,0.171,0.17,0.177,0.172,0.174,0.172,0.175,0.169,0.171,0.179,0.172,0.176,0.168,0.172,0.17,0.177,0.178,0.176,0.173,0.173,0.171,0.171,0.171,0.174
01:00:00,0.222,0.228,0.234,0.228,0.232,0.226,0.216,0.217,0.217,0.232,0.228,0.228,0.215,0.219,0.223,0.243,0.241,0.238,0.221,0.224,0.222,0.229,0.228,0.226
01:30:00,0.288,0.307,0.318,0.303,0.311,0.309,0.294,0.297,0.291,0.322,0.32,0.315,0.289,0.285,0.294,0.316,0.311,0.304,0.286,0.279,0.287,0.309,0.301,0.306
02:00:00,0.38,0.39,0.407,0.39,0.394,0.398,0.386,0.372,0.372,0.41,0.414,0.407,0.353,0.349,0.364,0.365,0.355,0.348,0.356,0.354,0.353,0.377,0.376,0.389
02:30:00,0.383,0.4,0.42,0.398,0.41,0.406,0.404,0.392,0.386,0.419,0.41,0.415,0.37,0.379,0.388,0.366,0.358,0.348,0.396,0.397,0.392,0.391,0.379,0.38
03:00:00,0.389,0.396,0.418,0.401,0.408,0.403,0.398,0.391,0.382,0.413,0.405,0.414,0.372,0.374,0.392,0.362,0.345,0.339,0.402,0.402,0.399,0.384,0.379,0.375
03:30:00,0.382,0.403,0.417,0.399,0.406,0.402,0.395,0.386,0.385,0.412,0.405,0.422,0.361,0.367,0.382,0.358,0.332,0.331,0.399,0.4,0.393,0.378,0.371,0.378
04:00:00,0.382,0.399,0.412,0.396,0.406,0.399,0.397,0.388,0.379,0.416,0.407,0.418,0.353,0.361,0.377,0.342,0.318,0.313,0.407,0.406,0.398,0.377,0.366,0.363
04:30:00,0.383,0.4,0.412,0.399,0.407,0.397,0.396,0.38,0.381,0.412,0.405,0.427,0.34,0.362,0.364,0.326,0.304,0.299,0.402,0.399,0.396,0.375,0.36,0.366
05:00:00,0.379,0.403,0.405,0.4,0.4,0.395,0.387,0.373,0.375,0.407,0.399,0.423,0.346,0.357,0.355,0.322,0.296,0.291,0.403,0.401,0.394,0.377,0.354,0.353
05:30:00,0.39,0.4,0.409,0.39,0.397,0.392,0.392,0.382,0.378,0.411,0.402,0.422,0.336,0.34,0.34,0.311,0.284,0.278,0.396,0.395,0.39,0.383,0.35,0.357
06:00:00,0.397,0.393,0.412,0.396,0.391,0.392,0.39,0.378,0.38,0.409,0.406,0.424,0.339,0.318,0.322,0.302,0.276,0.272,0.397,0.395,0.389,0.396,0.345,0.35
06:30:00,0.397,0.391,0.411,0.397,0.398,0.388,0.388,0.369,0.374,0.405,0.4,0.416,0.354,0.302,0.308,0.293,0.268,0.264,0.394,0.393,0.383,0.398,0.341,0.339
07:00:00,0.395,0.391,0.409,0.39,0.388,0.386,0.384,0.376,0.371,0.397,0.392,0.411,0.364,0.288,0.295,0.286,0.262,0.257,0.389,0.384,0.378,0.401,0.334,0.334
07:30:00,0.399,0.391,0.409,0.391,0.389,0.382,0.388,0.373,0.377,0.393,0.4,0.416,0.35,0.277,0.283,0.276,0.252,0.247,0.379,0.379,0.372,0.401,0.328,0.334
08:00:00,0.393,0.383,0.408,0.391,0.393,0.382,0.384,0.369,0.375,0.395,0.399,0.411,0.352,0.268,0.275,0.269,0.245,0.237,0.377,0.374,0.368,0.398,0.323,0.326
08:30:00,0.397,0.384,0.408,0.388,0.383,0.375,0.387,0.375,0.372,0.392,0.393,0.407,0.345,0.258,0.264,0.261,0.238,0.232,0.372,0.37,0.365,0.401,0.32,0.321
09:00:00,0.394,0.384,0.408,0.39,0.377,0.375,0.386,0.375,0.382,0.397,0.389,0.405,0.334,0.249,0.257,0.253,0.229,0.225,0.366,0.364,0.356,0.401,0.322,0.318
09:30:00,0.393,0.386,0.411,0.385,0.377,0.373,0.395,0.374,0.369,0.395,0.39,0.401,0.326,0.244,0.247,0.245,0.223,0.218,0.361,0.362,0.352,0.401,0.327,0.311
10:00:00,0.39,0.379,0.406,0.383,0.378,0.374,0.398,0.375,0.367,0.393,0.389,0.391,0.32,0.237,0.243,0.238,0.218,0.209,0.353,0.351,0.342,0.395,0.34,0.307
10:30:00,0.391,0.379,0.404,0.389,0.373,0.371,0.403,0.382,0.377,0.398,0.393,0.389,0.318,0.232,0.235,0.231,0.21,0.203,0.347,0.342,0.336,0.394,0.366,0.307
11:00:00,0.379,0.382,0.397,0.384,0.367,0.374,0.404,0.377,0.374,0.387,0.383,0.375,0.313,0.224,0.232,0.226,0.203,0.197,0.342,0.338,0.33,0.387,0.386,0.308
11:30:00,0.368,0.371,0.395,0.377,0.365,0.36,0.398,0.382,0.376,0.384,0.364,0.362,0.303,0.223,0.226,0.216,0.195,0.189,0.332,0.331,0.319,0.372,0.392,0.314
12:00:00,0.355,0.351,0.388,0.366,0.359,0.353,0.403,0.377,0.372,0.375,0.359,0.357,0.294,0.218,0.217,0.205,0.187,0.183,0.32,0.317,0.309,0.361,0.39,0.321
12:30:00,0.341,0.331,0.369,0.35,0.342,0.342,0.395,0.38,0.386,0.361,0.357,0.34,0.295,0.213,0.218,0.203,0.182,0.177,0.313,0.314,0.304,0.355,0.384,0.326
13:00:00,0.323,0.315,0.356,0.333,0.325,0.323,0.39,0.379,0.376,0.344,0.334,0.333,0.295,0.209,0.21,0.196,0.176,0.171,0.302,0.3,0.291,0.34,0.37,0.326
13:30:00,0.31,0.306,0.338,0.324,0.314,0.309,0.404,0.389,0.371,0.329,0.319,0.315,0.293,0.205,0.203,0.19,0.169,0.165,0.29,0.289,0.279,0.331,0.353,0.33
14:00:00,0.299,0.292,0.323,0.305,0.3,0.295,0.395,0.387,0.379,0.312,0.306,0.304,0.288,0.202,0.201,0.185,0.166,0.161,0.281,0.276,0.271,0.325,0.34,0.325
14:30:00,0.293,0.279,0.304,0.297,0.286,0.284,0.4,0.386,0.373,0.295,0.291,0.292,0.283,0.196,0.197,0.181,0.162,0.157,0.269,0.267,0.26,0.312,0.326,0.331
15:00:00,0.281,0.271,0.294,0.278,0.276,0.276,0.389,0.379,0.368,0.282,0.277,0.279,0.273,0.195,0.193,0.176,0.158,0.154,0.261,0.261,0.252,0.309,0.319,0.314
15:30:00,0.274,0.252,0.284,0.267,0.26,0.265,0.397,0.384,0.362,0.27,0.263,0.269,0.27,0.19,0.189,0.173,0.156,0.151,0.25,0.249,0.242,0.298,0.307,0.302
16:00:00,0.269,0.238,0.273,0.261,0.252,0.258,0.392,0.376,0.367,0.259,0.254,0.261,0.259,0.186,0.185,0.168,0.153,0.15,0.242,0.24,0.233,0.292,0.3,0.298
16:30:00,0.263,0.247,0.265,0.252,0.247,0.252,0.39,0.38,0.362,0.252,0.243,0.251,0.249,0.184,0.18,0.168,0.151,0.147,0.233,0.232,0.225,0.282,0.292,0.287
17:00:00,0.256,0.238,0.253,0.245,0.242,0.248,0.387,0.379,0.36,0.242,0.235,0.245,0.247,0.183,0.18,0.165,0.15,0.147,0.227,0.226,0.218,0.282,0.292,0.273
17:30:00,0.255,0.232,0.251,0.236,0.236,0.242,0.379,0.371,0.358,0.236,0.23,0.24,0.241,0.18,0.179,0.164,0.148,0.145,0.218,0.219,0.211,0.276,0.292,0.265
18:00:00,0.251,0.228,0.247,0.233,0.232,0.237,0.377,0.37,0.35,0.23,0.222,0.233,0.238,0.179,0.175,0.16,0.146,0.142,0.211,0.21,0.206,0.271,0.293,0.256
18:30:00,0.249,0.223,0.242,0.231,0.23,0.233,0.372,0.367,0.346,0.225,0.217,0.229,0.236,0.179,0.171,0.159,0.145,0.142,0.206,0.205,0.199,0.268,0.299,0.246
19:00:00,0.247,0.217,0.238,0.226,0.23,0.235,0.364,0.363,0.344,0.219,0.213,0.222,0.233,0.181,0.17,0.158,0.143,0.141,0.199,0.2,0.193,0.264,0.301,0.24
19:30:00,0.251,0.215,0.233,0.223,0.228,0.23,0.362,0.366,0.342,0.214,0.208,0.217,0.232,0.18,0.167,0.157,0.143,0.139,0.195,0.194,0.19,0.26,0.297,0.236
20:00:00,0.246,0.213,0.226,0.224,0.225,0.226,0.359,0.362,0.339,0.21,0.204,0.213,0.227,0.176,0.165,0.157,0.142,0.139,0.19,0.19,0.186,0.257,0.29,0.229
20:30:00,0.243,0.213,0.228,0.222,0.22,0.223,0.356,0.361,0.334,0.207,0.199,0.209,0.223,0.175,0.165,0.154,0.14,0.138,0.186,0.185,0.181,0.255,0.282,0.224
